fk_id_oics,fk_id_sdg
95,79
95,8
95,12
95,16
95,20
97,8
97,12
97,16
97,20
114,102
114,104
116,36
116,83
163,79
164,8
164,12
164,16
164,20
164,101
164,103
165,25
165,62
165,70
166,71
166,81
166,94
166,95
166,96
166,98
166,105
166,39
166,41
166,56
167,24
167,25
168,61
168,69
168,25
180,29
180,33
180,8
180,12
180,16
180,20
181,65
181,66
181,29
181,33
182,1
182,4
182,26
182,30
184,10
184,14
184,18
184,22
187,74
187,76
187,78
187,100
189,34
189,86
189,88
191,28
191,32
191,39
191,41
191,56
192,102
192,104
192,54
194,84
195,74
195,76
195,78
195,100
195,9
195,13
195,17
195,21
195,80
196,39
196,41
196,56
196,1
196,4
196,26
196,30
197,25
197,62
197,70
198,25
198,62
198,70
199,25
199,7
199,11
199,15
199,19
200,25
200,7
200,11
200,15
200,19
201,40
201,42
201,57
201,58
201,74
201,76
201,78
201,100
202,40
202,42
202,57
202,58
202,74
202,76
202,78
202,100
203,40
203,42
203,57
203,58
203,102
203,104
204,74
204,76
204,78
204,100
205,39
205,41
205,56
205,28
205,32
206,40
206,42
206,57
206,58
206,74
206,76
206,78
206,100
207,74
207,76
207,78
207,100
208,40
208,42
208,57
208,58
208,23
208,48
209,40
209,42
209,57
209,58
210,23
210,48
210,102
210,104
211,71
211,81
211,94
211,95
211,96
211,98
211,105
211,34
211,86
212,1
212,4
212,26
212,30
212,74
212,76
212,78
212,100
214,74
214,76
214,78
214,100
214,29
214,33
216,101
216,103
216,102
216,104
217,44
217,45
217,46
217,67
218,23
218,48
218,71
218,81
218,94
218,95
218,96
218,98
218,105
219,27
219,31
219,43
219,60
219,59
220,63
220,87
221,28
221,32
221,63
221,87
222,23
222,48
222,3
222,6
223,23
223,48
223,3
223,6
227,29
227,33
227,7
227,11
227,15
227,19
228,28
228,32
228,63
228,87
229,84
229,29
229,33
230,28
230,32
230,63
230,87
241,28
241,32
241,9
241,13
241,17
241,21
241,80
242,28
242,32
242,59
243,59
243,62
243,70
244,61
244,69
244,25
245,8
245,12
245,16
245,20
245,102
245,104
246,71
246,81
246,94
246,95
246,96
246,98
246,105
246,72
246,82
246,97
246,99
246,106
248,63
248,87
248,39
248,41
248,56
249,44
249,45
249,46
249,67
249,74
249,76
249,78
249,100
250,44
250,45
250,46
250,67
250,27
250,31
250,43
250,60
255,40
255,42
255,57
255,58
255,24
257,35
257,51
257,52
257,53
257,68
258,8
258,12
258,16
258,20
259,84
259,40
259,42
259,57
259,58
260,89
260,91
260,92
261,89
261,91
261,92
262,9
262,13
262,17
262,21
262,80
262,79
263,29
263,33
263,84
264,29
264,33
265,59
265,27
265,31
265,43
265,60
271,61
271,69
272,59
272,74
272,76
272,78
272,100
274,72
274,82
274,97
274,99
274,106
274,9
274,13
274,17
274,21
274,80
276,28
276,32
276,29
276,33
277,28
277,32
277,29
277,33
278,8
278,12
278,16
278,20
278,37
278,38
279,74
279,76
279,78
279,100
280,74
280,76
280,78
280,100
280,71
280,81
280,94
280,95
280,96
280,98
280,105
281,25
281,62
281,70
282,59
282,25
283,24
283,65
283,66
284,59
284,23
284,48
285,2
285,5
285,64
285,44
285,45
285,46
285,67
286,28
286,32
286,29
286,33
287,65
287,66
289,24
289,25
290,59
290,29
290,33
291,54
291,29
291,33
292,28
292,32
292,35
292,51
292,52
292,53
292,68
293,24
1,71
1,81
1,94
1,95
1,96
1,98
1,105
1,72
1,82
1,97
1,99
1,106
2,3
2,6
2,74
2,76
2,78
2,100
3,44
3,45
3,46
3,67
3,27
3,31
3,43
3,60
4,74
4,76
4,78
4,100
4,2
4,5
4,64
5,8
5,12
5,16
5,20
5,1
5,4
5,26
5,30
7,79
8,28
8,32
8,27
8,31
8,43
8,60
9,39
9,41
9,56
10,28
10,32
10,9
10,13
10,17
10,21
10,80
11,61
11,69
11,8
11,12
11,16
11,20
12,27
12,31
12,43
12,60
12,59
13,61
13,69
13,59
14,74
14,76
14,78
14,100
15,7
15,11
15,15
15,19
15,3
15,6
16,7
16,11
16,15
16,19
17,74
17,76
17,78
17,100
17,37
17,38
18,79
19,71
19,81
19,94
19,95
19,96
19,98
19,105
20,7
20,11
20,15
20,19
20,25
21,8
21,12
21,16
21,20
22,74
22,76
22,78
22,100
23,74
23,76
23,78
23,100
24,71
24,81
24,94
24,95
24,96
24,98
24,105
24,74
24,76
24,78
24,100
25,7
25,11
25,15
25,19
25,1
25,4
25,26
25,30
26,27
26,31
26,43
26,60
26,59
27,74
27,76
27,78
27,100
27,102
27,104
28,74
28,76
28,78
28,100
28,89
28,91
28,92
29,89
29,91
29,92
30,89
30,91
30,92
31,62
31,70
31,3
31,6
32,40
32,42
32,57
32,58
32,74
32,76
32,78
32,100
33,72
33,82
33,97
33,99
33,106
33,102
33,104
34,27
34,31
34,43
34,60
34,44
34,45
34,46
34,67
35,25
35,23
35,48
36,39
36,41
36,56
37,71
37,81
37,94
37,95
37,96
37,98
37,105
38,71
38,81
38,94
38,95
38,96
38,98
38,105
39,71
39,81
39,94
39,95
39,96
39,98
39,105
39,39
39,41
39,56
40,62
40,70
40,3
40,6
41,62
41,70
41,74
41,76
41,78
41,100
42,24
42,25
43,61
43,69
43,25
44,29
44,33
45,1
45,4
45,26
45,30
45,7
45,11
45,15
45,19
46,29
46,33
46,28
46,32
47,74
47,76
47,78
47,100
47,71
47,81
47,94
47,95
47,96
47,98
47,105
48,29
48,33
48,28
48,32
49,23
49,48
49,71
49,81
49,94
49,95
49,96
49,98
49,105
50,61
50,69
51,61
51,69
51,25
52,23
52,48
52,61
52,69
53,59
53,54
54,63
54,87
54,36
54,83
55,34
55,86
55,84
56,61
56,69
56,54
57,34
57,86
57,84
58,3
58,6
58,23
58,48
59,3
59,6
59,23
59,48
84,1
84,4
84,26
84,30
85,101
85,103
86,28
86,32
