pk_id_innovation_info,version,date_from,date_to,project_innovation_id,"title","narrative","evidence_link","gender","youth","pdf","pk",number_of_innovations
0,1,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,241,"CLEANED-R (Comprehensive Livestock Environmental Assessment for Improved Nutrition, a Secured Environment and Sustainable Development along Livestock and Fish Value Chains) tool","Spatially explicit environmental ex-ante impact assessment tool for assessing changes from transforming livestock value chains","https://github.com/ilri/CLEANED-R  ",,,"https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=241&phaseID=60","241_60",1
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,245,"Global community seedbanks platform","Bioversity International, in collaboration with a number of research and development organizations from Austria, Brazil, China, Nepal, Peru, the Netherlands and Zimbabwe, established a global community seedbanks platform to facilitate connections among community seedbanks and community seedbank networks, scale out their activities and achievements and contribute to their sustainability. The platform will provide technical and organizational support, collect/share basic data; compile/share practical experiences and successes; support national and international policy development; and promote national networking.","https://www.bioversityinternational.org/news/detail/a-global-community-seedbank-platform/",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=245&phaseID=56","245_56",1
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,246,"New method for GHG measurements with closed chambers at night time","The standard closed chamber method for GHG measurements in rice has certain limitations (e.g. time, number of chambers, logistics). The newly proposed variation of this method with gas sampling being conducted at nighttime more chambers can be used at the same time over a longer closure duration. An analysis of a large Eddy Covariance data set showed a linear relationship between nocturnal fluxes and the full 24-hour fluxes.","https://doi.org/10.1371/journal. pone.0191352",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=246&phaseID=56","246_56",1
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,250,"Food security and drought monitoring and early warning tool considering local vulnerabilities ","Digital platform for food security and drought monitoring and evaluation at the community level, integrating mobile data collection, estimation of a municipal acute food insecurity index, data management, analysis and dissemination. ","https://github.com/BioversityCostaRica/SesanV1    http://190.111.0.168/",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=250&phaseID=56","250_56",1
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,251,"Out-yield hybrids selected for the three agricultural environments of Mexico: lowland tropical, subtropical and highlands.","47 hybrids were selected due to their competitive yield and favorable agronomic characteristics in comparison with commercial-testers (three-to-nine evaluation sites). In 2019, yield-validation-trials will be carried out in more than 40 locations. In 2020, the competitive hybrids from the validation-trials will be able to be released to the project seed-companies."," https://masagro.mx/es/2012-06-21-17-47-58/documentos",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=251&phaseID=63","251_63",47
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,252,"5 hybrids of high yield potential for the seed sector of Mexico","Five hybrids were selected to be released to the project (MasAgro Maize) seed companies. These hybrids are competitive in terms of yield and agronomic characteristics compared to commercial testers. The hybrids to be released are two for lowland tropical, two for subtropical and one for the highlands of Mexico´s mega-environments.","https://masagro.mx/es/2012-06-21-17-47-58/documentos",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=252&phaseID=63","252_63",5
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,253,"4 new out-yield hybrids of CIMMYT in the Mexican maize seed market.","The MasAgro-Maize project has released more than 40 maize hybrids and varieties to the Mexican seed sector . In 2018, 41 CIMMYT hybrids and varieties were produced and sold by the MasAgro-Maize seed companies, four hybrids, which were integrated for the first time into the Mexican maize seed market.","https://masagro.mx/es/2012-06-21-17-47-58/documentos",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=253&phaseID=63","253_63",4
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,254," improved multiple stress tolerant varieties that effectively address emerging and future production"," lines from which hybrids were released: MH50STR, MH51STR , MH52STR, AMANA-1 , AMANA-2, ACR06 TZL COMP3 C4  ,AFLATOXIN SYN2-YF2, PVA SYN 6,PVA SYN 13, TZL COMP4 C4  , Obatanpa/TZLCOMP1SYNW-1/TZLCOMP1SYNW-1,((TZL COMP1-W C6*2/(White DT STR Syn))-DT C1,MAQPMSYN-1,MASYN-VAR4 , MASYN-VAR5 ,CRI Apraku, ((TZL COMP1-W C6*2/(White DT STR Syn))-DT C1, EVDT 99-QPM , TZEE-W

","https://public.tableau.com/profile/jennifer2749#!/vizhome/MAIZEVarietyReleaseMap2018FinalJJ/Dashboard1?publish=yes",,,"https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=254&phaseID=63","254_63",18
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,261,"Innovation platforms for Climate Smart Agriculture in Honduras","CSA innovation platform is an institutional innovation to facilitate cross learning and coordination for innovation testing and implementation","https://ccafs.cgiar.org/publications/innovation-platforms-climate-smart-agriculture-honduras#.XHcyDbh7lEY",,,"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=261&phaseID=56","261_56",1
