pk_id_srf,version,date_from,date_to,id_sub_ido,id_slo,"slo",id_ido,"ido","sub_ido"
0,1,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,1,"Reduce Poverty",1,"Increased resilience of the poor to climate change and other shocks","Increased household capacity to cope with shocks"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,1,"Reduce Poverty",1,"Increased resilience of the poor to climate change and other shocks","Reduced smallholders production risk"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,1,"Reduce Poverty",2,"Enhanced smallholder market access","Improved access to financial and other services"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,1,"Reduce Poverty",2,"Enhanced smallholder market access","Reduced market barriers"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,1,"Reduce Poverty",3,"Increased incomes and employment","Diversified enterprise opportunities"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,1,"Reduce Poverty",3,"Increased incomes and employment","Increased livelihood opportunities"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,1,"Reduce Poverty",3,"Increased incomes and employment","Increased value capture by producers"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,1,"Reduce Poverty",3,"Increased incomes and employment","More efficient use of inputs"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,2,"Improve food and nutrition security for health",4,"Increased productivity","Reduce pre- and post-harvest losses, including those caused by climate change"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,2,"Improve food and nutrition security for health",4,"Increased productivity","Closed yield gaps through improved agronomic and animal husbandry practices"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,2,"Improve food and nutrition security for health",4,"Increased productivity","Adoption of CGIAR materials with enhanced genetic gains"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,2,"Improve food and nutrition security for health",4,"Increased productivity","Increased conservation and use of genetic resources"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,2,"Improve food and nutrition security for health",4,"Increased productivity","Increased access to productive assets, including natural resources"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,2,"Improve food and nutrition security for health",5,"Improved diets for poor and vulnerable people","Increased availability of diverse nutrient-rich foods"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,2,"Improve food and nutrition security for health",5,"Improved diets for poor and vulnerable people","Increased access to diverse nutrient-rich foods"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,2,"Improve food and nutrition security for health",5,"Improved diets for poor and vulnerable people","Optimized consumption of diverse nutrient-rich foods"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,2,"Improve food and nutrition security for health",6,"Improved food security","Reduced biological and chemical hazards in the food system"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,2,"Improve food and nutrition security for health",6,"Improved food security","Appropriate regulatory environment for food safety"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,2,"Improve food and nutrition security for health",7,"Improved human and animal health through better agricultural practices","Improved water quality"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,2,"Improve food and nutrition security for health",7,"Improved human and animal health through better agricultural practices","Reduced livestock and fish disease risks associated with intensification and climate change"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,2,"Improve food and nutrition security for health",7,"Improved human and animal health through better agricultural practices","Increased safe use of inputs"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,3,"Improve Natural resources and ecosystem services",8,"Natural capital enhanced and protected, especially from climate change","Land, water and forest degradation (Including deforestation) minimized and reversed"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,3,"Improve Natural resources and ecosystem services",8,"Natural capital enhanced and protected, especially from climate change","Enhanced conservation of habitats and resources"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,3,"Improve Natural resources and ecosystem services",8,"Natural capital enhanced and protected, especially from climate change","Increased genetic diversity of agricultural and associated landscapes"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,3,"Improve Natural resources and ecosystem services",9,"Enhanced benefits from ecosystem goods and services","More productive and equitable management of natural resources"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,3,"Improve Natural resources and ecosystem services",9,"Enhanced benefits from ecosystem goods and services","Agricultural systems diversified and intensified in ways that protect soils and water"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,3,"Improve Natural resources and ecosystem services",9,"Enhanced benefits from ecosystem goods and services","Enrichment of plant and animal biodiversity for multiple goods and services"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,3,"Improve Natural resources and ecosystem services",10,"More sustainably managed agroecosystems","Increased resilience of agro-ecosystems and communities, especially those including smallholders"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,3,"Improve Natural resources and ecosystem services",10,"More sustainably managed agroecosystems","Enhanced adaptive capacity to climate risks (More sustainably managed agro-ecosystems)"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,3,"Improve Natural resources and ecosystem services",10,"More sustainably managed agroecosystems","Reduced net greenhouse gas emissions from agriculture, forests and other forms of land-use (More sustainably managed agro-ecosystems)"
