fk_id_innovation_info,fk_id_ext_partner,"role"
962,292,"Contibutor"
962,118,"Leader"
963,292,"Contibutor"
963,118,"Leader"
964,2628,"Contibutor"
964,118,"Leader"
965,2629,"Contibutor"
965,118,"Leader"
966,2629,"Contibutor"
966,118,"Leader"
967,1667,"Contibutor"
967,118,"Leader"
968,118,"Leader"
969,973,"Contibutor"
969,118,"Leader"
970,951,"Contibutor"
970,979,"Contibutor"
970,118,"Leader"
971,994,"Contibutor"
971,314,"Contibutor"
971,118,"Leader"
972,994,"Contibutor"
972,314,"Contibutor"
972,118,"Leader"
973,1181,"Contibutor"
973,105,"Leader"
974,105,"Leader"
975,105,"Leader"
1098,93,"Contibutor"
1098,2582,"Contibutor"
1098,2573,"Contibutor"
1098,109,"Contibutor"
1098,2310,"Leader"
1099,1633,"Contibutor"
1099,1024,"Contibutor"
1099,481,"Contibutor"
1099,3991,"Contibutor"
1099,109,"Contibutor"
1099,1631,"Leader"
1100,739,"Contibutor"
1100,109,"Leader"
1101,163,"Contibutor"
1101,93,"Contibutor"
1101,109,"Leader"
1102,1631,"Contibutor"
1102,109,"Leader"
1103,1631,"Contibutor"
1103,109,"Leader"
1104,2573,"Contibutor"
1104,93,"Contibutor"
1104,163,"Contibutor"
1104,109,"Leader"
1105,109,"Leader"
1106,109,"Contibutor"
1106,947,"Contibutor"
1106,2573,"Contibutor"
1106,109,"Leader"
1107,2031,"Contibutor"
1107,109,"Leader"
1108,2582,"Contibutor"
1108,109,"Leader"
1109,462,"Contibutor"
1109,93,"Contibutor"
1109,1039,"Contibutor"
1109,2581,"Contibutor"
1109,966,"Contibutor"
1109,632,"Contibutor"
1109,109,"Leader"
1110,93,"Contibutor"
1110,462,"Contibutor"
1110,458,"Contibutor"
1110,109,"Leader"
1111,1847,"Contibutor"
1111,109,"Leader"
1112,948,"Contibutor"
1112,966,"Contibutor"
1112,1137,"Contibutor"
1112,109,"Leader"
1113,109,"Leader"
1114,80,"Contibutor"
1114,2625,"Contibutor"
1114,109,"Leader"
1115,1847,"Contibutor"
1115,105,"Contibutor"
1115,104,"Contibutor"
1115,109,"Leader"
1116,2573,"Contibutor"
1116,109,"Leader"
1117,1631,"Contibutor"
1117,1022,"Contibutor"
1117,1032,"Contibutor"
1117,109,"Leader"
1118,109,"Contibutor"
1118,109,"Leader"
1119,1032,"Contibutor"
1119,109,"Leader"
1120,109,"Leader"
1121,109,"Leader"
1122,1032,"Contibutor"
1122,109,"Leader"
1123,1032,"Contibutor"
1123,109,"Leader"
1124,109,"Leader"
1125,2588,"Contibutor"
1125,109,"Leader"
1126,2588,"Contibutor"
1126,109,"Leader"
1127,2591,"Contibutor"
1127,2575,"Contibutor"
1127,2250,"Contibutor"
1127,2583,"Contibutor"
1127,109,"Leader"
1128,2739,"Contibutor"
1128,960,"Contibutor"
1128,945,"Contibutor"
1128,2588,"Contibutor"
1128,1024,"Contibutor"
1128,109,"Leader"
1129,721,"Contibutor"
1129,739,"Contibutor"
1129,109,"Leader"
1130,945,"Contibutor"
1130,2575,"Contibutor"
1130,1024,"Contibutor"
1130,1207,"Contibutor"
1130,109,"Leader"
1131,2583,"Contibutor"
1131,109,"Leader"
1132,1024,"Contibutor"
1132,4065,"Contibutor"
1132,4064,"Contibutor"
1132,109,"Leader"
1133,945,"Contibutor"
1133,4068,"Contibutor"
1133,4069,"Contibutor"
1133,109,"Leader"
1134,292,"Contibutor"
1134,481,"Contibutor"
1134,2731,"Contibutor"
1134,109,"Leader"
1135,2116,"Contibutor"
1135,106,"Leader"
1136,967,"Contibutor"
1136,106,"Leader"
1137,119,"Leader"
1138,951,"Contibutor"
1138,305,"Contibutor"
1138,119,"Leader"
1139,2343,"Contibutor"
1139,119,"Leader"
1140,815,"Contibutor"
1140,2106,"Contibutor"
1140,284,"Contibutor"
1140,646,"Contibutor"
1140,1631,"Contibutor"
1140,107,"Leader"
1141,110,"Contibutor"
1141,4161,"Contibutor"
1142,815,"Contibutor"
1142,284,"Contibutor"
1142,945,"Contibutor"
1142,1631,"Contibutor"
1142,107,"Leader"
1143,113,"Contibutor"
1143,79,"Leader"
1144,1128,"Contibutor"
1144,119,"Leader"
1145,119,"Contibutor"
1145,119,"Leader"
1146,646,"Contibutor"
1146,2343,"Contibutor"
1146,983,"Contibutor"
1146,4163,"Contibutor"
1146,4086,"Contibutor"
1146,4165,"Contibutor"
1146,119,"Leader"
1147,1015,"Contibutor"
1147,104,"Leader"
1148,2587,"Contibutor"
1148,951,"Contibutor"
1148,1768,"Contibutor"
1148,9,"Contibutor"
1148,104,"Leader"
1149,110,"Contibutor"
1149,110,"Leader"
1150,110,"Contibutor"
1150,110,"Leader"
1151,380,"Contibutor"
1151,110,"Leader"
1152,105,"Contibutor"
1152,110,"Leader"
1153,674,"Contibutor"
1153,2343,"Contibutor"
1153,983,"Contibutor"
1153,4120,"Contibutor"
1153,4163,"Contibutor"
1153,119,"Leader"
1154,556,"Contibutor"
1154,104,"Leader"
1155,273,"Contibutor"
1155,104,"Contibutor"
1155,1018,"Contibutor"
1155,28,"Leader"
1156,113,"Contibutor"
1156,1192,"Contibutor"
1156,1197,"Contibutor"
1156,1645,"Contibutor"
1156,1673,"Contibutor"
1156,107,"Leader"
1157,11,"Contibutor"
1157,983,"Contibutor"
1157,119,"Leader"
1158,113,"Contibutor"
1158,2577,"Contibutor"
1158,111,"Contibutor"
1158,105,"Contibutor"
1158,108,"Contibutor"
1158,113,"Leader"
1159,673,"Contibutor"
1159,517,"Contibutor"
1159,500,"Contibutor"
1159,112,"Leader"
1160,1192,"Contibutor"
1160,117,"Contibutor"
1160,107,"Leader"
1161,108,"Contibutor"
1161,104,"Contibutor"
1161,107,"Contibutor"
1161,113,"Leader"
1162,106,"Contibutor"
1162,1810,"Contibutor"
1162,1849,"Leader"
979,113,"Contibutor"
979,2296,"Contibutor"
979,1847,"Contibutor"
979,659,"Contibutor"
979,1878,"Contibutor"
1163,1022,"Contibutor"
1163,105,"Leader"
1164,681,"Contibutor"
1164,2145,"Contibutor"
1164,109,"Leader"
1165,481,"Contibutor"
