pk_melia_info,version,date_from,date_to,"pk",id,"title","description","commissioning_study","melia_publications","link"
0,1,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"231_104",231,"Evaluation of mobile phone technology based nutrition and agriculture advisory services in Tanzania","This study is part of the mNutrition global initiative. The impact evaluation, led by A4NH strategic partner the Institute of Development Studies (IDS), along with IFPRI and Gamos, is assessing the impact, cost effectiveness and commercial viability of mNutrition. There are three integrated components: a quantitative impact evaluation, a qualitative evaluation focusing on implementation fidelity, pathways of impact and external validity, and an evaluation of the sustainability of the business model. The 2019 report makes explicit use of the mNutrition theory of change to draw conclusions about whether and how mNutrition may lead to the desired impact in Tanzania. ","mNutrition, a global initiative funded by the UK Department for International Development (DFID)","https://opendocs.ids.ac.uk/opendocs/handle/20.500.12413/14340
https://opendocs.ids.ac.uk/opendocs/bitstream/handle/20.500.12413/14323/Mixed_Methods_Baseline_report_Tanzania_FINAL_APPROVED.pdf?sequence=1&isAllowed=y","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=231&cycle=Reporting&year=2019"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"251_104",251,"Evaluation of an integrated package of preventive interventions on nutritional status of young children in Burkina Faso and Mali","This study was conducted under the Innovative Approaches for the Prevention of Childhood Malnutrition (PROMIS) program (2014-2018) with Helen Keller International, which contributed to the integration of preventive and curative strategies aimed at child acute malnutrition through health facility and community-based platforms in West Africa. The intervention embeds a preventive package of behavior change modification and small-quantity lipid-based nutrient supplements (SQ-LNS) for young children. IFPRI evaluated the impact on participation in screening and referral, uptake of, and adherence to treatment; the prevalence and incidence of acute malnutrition; feeding practices and appropriate use of SQ-LNS; and linear growth and anemia.
","Global Affairs Canada","https://www.ifpri.org/publication/impact-child-acute-malnutrition-integrating-small-quantity-lipid-based-nutrient
https://www.ifpri.org/publication/impact-child-acute-malnutrition-integrating-preventive-nutrition-package-facility-based
https://www.ifpri.org/publication/impact-integrated-prevention-and-treatment-child-malnutrition-and-health-promis-project
https://www.ifpri.org/blog/incorporating-prevention-community-based-management-acute-malnutrition-insights-mali-and","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=251&cycle=Reporting&year=2019"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"281_104",281,"Impact evaluation to assess the impact of incorporating a health and nutrition behavior change communication strategy into an agricultural credit program in Bangladesh","Targeting and Realigning Agriculture for Improved Nutrition (TRAIN) is being implemented by IFPRI and BRAC from 2015 through 2020 in Bangladesh. TRAIN’s objective is to address evidence gaps related to the effects of agricultural interventions on maternal and child nutrition. The project is using a randomized control trial to assess the impact of incorporating a maternal and child health and nutrition behaviour change communication strategy into a well-established agricultural credit program targeted to women that promotes production diversity and income generation. ","Bill and Melinda Gates Foundation and UK Department for International Development",,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=281&cycle=Reporting&year=2019"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"311_104",311," Evaluation to assess the feasibility of integrating a package of maternal nutrition interventions in existing health services in India","Evaluation carried out by IFPRI assessed changes in the individual and household use of services provided through India's Integrated Child Development Services program over the continuum of care from pregnancy up to early childhood between 2006 and 2016. Equity gaps and factors associated with use of services were assessed. Analysis has policy implications for India, but also lessons learned for other countries embarking on scaling up integrated programs to address maternal and child health, nutrition and child development.
","Bill & Melinda Gates Foundation (BMGF)","http://ebrary.ifpri.org/cdm/singleitem/collection/p15738coll5/id/6605/rec/1","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=311&cycle=Reporting&year=2019"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"341_104",341,"Evaluation research to strengthen understanding of pathways through which self-help groups can improve nutrition through agriculture-nutrition interventions in India","This study is conducted under Women Improving Nutrition through Group-based Strategies (WINGS), a larger project which aims to build the evidence base on the pathways through which self help groups (SHGs) can improve women's and children's nutrition and health in India. IFPRI is evaluating the impact of nutrition-intensification intervention activities carried out by one of the largest NGOs in India. Publications in 2019 examined how SHG membership is associated with political participation, awareness, and use of government entitlement schemes and the correlates of women’s membership in SHGs. The process evaluation (2019, not published) examined social network outcomes, including women's empowerment. 


","Bill & Melinda Gates Foundation","http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/6580
https://www.ifpri.org/publication/helping-oneself-helping-each-other-correlates-womens-participation-self-help-groups","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=341&cycle=Reporting&year=2019"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"381_104",381,"Process evaluation of a nutrition and healthy services mobile phone innovation (mHealth) in the Integrated Child Development Services program in India","This IFPRI-led study is an evaluation of the Integrated Child Development Services - Common Application Software (ICDC-CAS), a mobile-based application installed on smartphones of community health workers in order to provide comprehensive multi-level nutrition and health service delivery. The evaluation of ICDC-CAS includes an impact evaluation to estimate the impacts of CAS on frontline worker service delivery and maternal knowledge and practices; a process evaluation to understand and document pathways to impact the CAS intervention and identify facilitators and barriers to implementation and scale up; a cost analysis; and technology evaluation to assess user experience. Link to 2019 study protocol. ","Bill & Melinda Gates Foundation","https://bmjopen.bmj.com/content/9/3/e025774.info","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=381&cycle=Reporting&year=2019"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"391_104",391,"Maternal nutrition evaluation to gain insights on diets and nutritional practices during pregnancy in India","This ongoing impact evaluation is examining determinants for a diverse set of maternal nutrition practices together and will offer insights in understanding the role of dominant factors associated with maternal nutrition practices. The IFPRI-led study will provide evidence of ways to improve the supply of interventions and to create adequate demand through behaviour change communication and counseling for mothers and their supportive social networks.  
","Bill & Melinda Gates Foundation","https://onlinelibrary.wiley.com/doi/full/10.1111/mcn.12839","https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=391&cycle=Reporting&year=2019"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"511_101",511," Midline surveys at household, village and organizational levels in Ghana Climate Smart Village","This is a pilot test of conducting a midline survey using the same tools/instruments as used in the baseline. It was done to assess whether doing it in more sites would be useful. The survey results will be used to examine what kinds of changes are happening in the CSV site (beyond CCAFS's activities) to look at development trends, natural resource trends, etc. that are being experienced by the communities and households. ","CCAFS","https://hdl.handle.net/10568/100217
https://hdl.handle.net/10568/105836","https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=511&cycle=Reporting&year=2019"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"641_104",641,"Cluster randomized controlled trial to assess health and nutrition benefits of an informal dairy sector intervention in Nairobi","This study was co-designed by IFPRI and ILRI and is called MoreMilk (2016-2021). The evaluation will assess the health and nutrition benefits of a successfully piloted approach which focuses on training milk traders to improve their milk handling (for better consumer safety and nutrition) and business practices (for improved trader livelihoods) in Nairobi. The overall objective of the project is to improve child health and nutrition outcomes through milk consumption and aims to enhance milk safety and child nutrition. The study is also looking at the gendered opportunities and constraints in informal milk trading.","Bill & Melinda Gates Foundation (BMGF)",,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=641&cycle=Reporting&year=2019"
