fk_id_oics;fk_id_ext_partner
39;86
39;202
39;715
39;1604
39;1608
39;677
39;341
39;400
40;1614
43;652
46;195
46;956
46;292
47;670
49;363
49;947
49;691
49;541
49;1756
49;1662
49;1043
49;1626
49;108
50;642
51;108
51;122
51;12
51;723
51;269
51;965
51;471
51;467
52;1645
52;698
52;1209
53;1626
53;688
53;1817
53;111
53;106
53;119
53;118
53;110
53;105
53;114
53;104
53;116
53;107
53;109
53;108
53;112
53;2014
53;695
53;115
55;122
55;108
55;12
55;723
56;1375
57;297
58;1664
58;973
58;889
58;87
58;1871
59;79
59;539
59;1564
60;1842
60;646
61;202
61;1419
61;669
61;806
61;809
61;1565
62;941
62;1626
62;184
62;185
62;949
62;950
62;951
62;186
62;811
62;1200
62;187
62;188
62;104
62;1631
62;642
62;962
62;479
62;707
62;1724
62;481
62;510
63;1679
63;1691
64;471
64;2006
64;642
64;122
64;12
64;269
64;191
64;963
64;467
64;470
65;154
65;511
66;346
66;669
66;1957
66;2032
66;113
67;1626
68;255
68;292
68;372
68;349
71;655
72;1609
73;594
74;340
74;349
74;970
74;1722
74;93
74;669
74;79
74;513
74;640
75;148
75;1691
75;1193
76;514
77;297
78;693
79;693
79;575
80;195
81;481
81;1854
81;106
82;1866
82;1845
83;642
83;1615
83;515
83;411
83;202
84;310
84;159
84;291
84;1281
86;294
86;646
87;693
87;1107
87;294
88;646
88;670
88;642
89;956
89;410
92;1697
92;104
92;93
92;315
92;1573
93;863
93;1782
95;968
96;111
96;106
96;108
96;105
96;785
96;1612
96;304
96;500
97;1118
97;304
97;292
98;941
98;1664
98;584
98;518
98;2036
98;2037
98;936
98;799
98;488
98;519
98;937
99;1207
99;559
99;568
99;583
99;1784
99;356
99;349
99;1591
99;1592
99;517
99;935
100;111
100;1741
100;571
100;524
100;1612
100;785
100;618
100;615
100;578
100;2038
101;1692
101;530
101;800
101;517
101;938
101;144
