fk_id_location;fk_id_oics
274;39
274;40
61;43
60;43
72;43
117;43
134;43
135;43
187;43
207;43
260;43
256;43
272;43
82;46
117;46
187;46
220;46
260;47
104;49
274;50
11;51
50;51
100;51
145;51
185;51
198;51
72;52
138;52
135;52
207;52
220;52
274;53
239;54
157;55
104;56
72;57
256;58
117;59
274;60
117;61
37;62
26;62
60;62
54;62
92;62
181;62
207;62
256;62
207;63
50;64
92;64
100;64
185;64
50;65
67;66
72;67
72;68
85;68
187;68
181;68
181;69
274;70
72;71
175;72
3;73
19;73
27;73
61;73
40;73
50;73
66;73
92;73
105;73
104;73
117;73
39;73
134;73
135;73
186;73
185;73
181;73
198;73
199;73
247;73
260;73
232;73
72;74
274;75
234;76
72;77
175;78
19;79
37;79
41;79
241;79
67;79
72;79
259;79
85;79
87;79
92;79
95;79
107;79
104;79
111;79
113;79
117;79
122;79
127;79
131;79
138;79
135;79
153;79
186;79
187;79
182;79
181;79
193;79
207;79
223;79
220;79
245;79
260;79
256;79
261;79
267;79
230;79
272;79
246;79
82;80
220;80
207;81
267;82
117;83
117;84
72;85
19;86
19;87
274;88
117;89
37;91
24;91
60;91
40;91
72;91
85;91
82;91
134;91
138;91
186;91
187;91
207;91
223;91
220;91
247;91
260;91
104;92
19;93
198;95
187;96
260;96
187;97
66;98
256;98
72;99
117;99
135;99
7;100
37;100
38;100
24;100
61;100
72;100
85;100
117;100
134;100
135;100
153;100
187;100
207;100
260;100
256;100
230;100
61;101
