fk_id_srf;fk_id_oics;Contribution
4;46;0.5
17;46;0.5
;47;0.3333333333
13;47;0.3333333333
2;49;0.5
3;49;0.5
;51;0.3333333333
10;51;0.3333333333
29;51;0.3333333333
29;52;1.0
4;53;0.3333333333
;53;0.3333333333
10;53;0.3333333333
;55;0.3333333333
10;55;0.3333333333
2;56;0.5
5;56;0.5
4;57;0.5
6;57;0.5
5;58;0.5
6;58;0.5
20;59;0.5
1;60;0.5
1;61;1.0
;62;0.3333333333
12;62;0.3333333333
29;63;1.0
29;64;0.5
1;66;0.5
15;66;0.5
2;67;1.0
1;71;0.5
3;71;0.5
4;72;0.5
6;72;0.5
22;74;0.5
22;75;1.0
22;76;1.0
16;77;0.5
4;80;0.5
17;80;0.5
15;81;0.5
18;82;0.5
20;83;0.5
20;84;0.5
16;86;0.5
16;87;0.5
14;88;0.5
15;88;0.5
5;89;0.5
15;89;0.5
;91;0.5
11;91;0.5
1;92;0.5
3;92;0.5
1;93;1.0
;95;0.25
10;95;0.25
;95;0.25
11;95;0.25
;97;0.25
10;97;0.25
;97;0.25
11;97;0.25
5;99;1.0
5;100;0.5
15;100;0.5
5;101;0.5
