pk_id_crp;version;date_from;date_to;id;global_unit_type_id;"name";"acronym";is_active
0;1;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1;1;"Climate Change, Agriculture and Food Security";"CCAFS";Y
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;3;1;"Policies, Institutions, and Markets";"PIM";Y
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;4;1;"Water, Land and Ecosystems";"WLE";Y
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;5;1;"Agriculture for Nutrition and Health";"A4NH";Y
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;7;1;"Livestock";"Livestock";Y
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;8;1;"Aquatic Agricultural Systems";" ";N
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;9;1;"Dryland Cereals";" ";N
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;10;1;"Dryland Systems";" ";N
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;11;1;"Forests, Trees and Agroforestry";"FTA";Y
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;12;1;"Grain Legumes";" ";N
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;13;1;"Integrated Systems for the Humid Tropics";" ";N
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;16;1;"Rice";"Rice";Y
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;17;1;"Roots, Tubers and Bananas";"RTB";Y
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;20;1;"Genebank";" ";N
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;21;1;"Wheat";"Wheat";Y
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;22;1;"Maize";"Maize";Y
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;27;1;"Fish";"Fish";Y
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;28;1;"Grain Legumes and Dryland Cereals";"GLDC";Y
