pk_id_ext_partner;version;date_from;date_to;id;"name";"acronym";"website_link";"type"
0;1;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;13;"Office du Niger";"ON";"http://www.on-mali.org/joomla/index.php/";"Agricultural advisory and/or extension services"
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;412;"Agence Nationale de Conseil Agricole et Rural (Senegal)";"ANCAR";;"Agricultural advisory and/or extension services"
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;533;"Department of Agricultural, Technical and Extension Services";"AGRITEX";"http://www.agritex.gov.zw/";"Agricultural advisory and/or extension services"
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;626;"Agence Nationale de la Promotion Rurale et du Conseil Agricole";"ANPROCA";;"Agricultural advisory and/or extension services"
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;731;"Cambodian Centre for Study and Development in Agriculture";"CEDAC";"http://www.cedac.org.kh/";"Agricultural advisory and/or extension services"
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1156;"District Agriculture and Forestry Extension Offices - Phonhong District";"DAFO";;"Agricultural advisory and/or extension services"
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1338;"Akwa Ibom State Agricultural Development Programme";"AKADEP";;"Agricultural advisory and/or extension services"
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1780;"Institut Technique Agricole de Kazenze";"ITAK";;"Agricultural advisory and/or extension services"
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2059;"Precision Agriculture for Development";"PAD";"http://www.precisionag.org/";"Agricultural advisory and/or extension services"
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;56;"Fundación para la Promoción e Investigación de Productos Andinos";"PROINPA";"http://www.proinpa.org/VallesNorte/";"Associations (other than regional organizations, extension, and farmer/community level)"
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;60;"International Union for Conservation of Nature";"IUCN";"http://www.iucn.org/";"Associations (other than regional organizations, extension, and farmer/community level)"
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;140;"Federación nacional de arroceros";"FEDEARROZ";"http://www.fedearroz.com.co/";"Associations (other than regional organizations, extension, and farmer/community level)"
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;224;"Association of Agricultural Research Institutions in the Near East and North Africa";"AARINENA";;"Associations (other than regional organizations, extension, and farmer/community level)"
