pk_id_innovation_info;version;date_from;date_to;project_innovation_id;"title";"narrative";"evidence_link";"gender";"youth";"pdf"
0;1;;;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;13;"Dynamical forecast model skill in the Colombian agricultural context, joint work between Fedearroz, IDEAM, CIAT-CCAFS and University of Leeds";"We evaluated multiple approaches to developing robust and highly skilled forecasts of dynamical models in the Colombian context and with the leadership from FEDEARROZ, on the assessment of WRF model was implemented in their servers. Strong ties with UK-Met-Office. The WRF that is implemented as part of the CSRD-Colombia effort.";"https://www.dropbox.com/s/ja9h0b52h8x1hd4/Dynamical%20Models.zip?dl=0";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=13&phaseID=11"
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;15;"‘Contour bunding’ preserves soils and boosts farmers’ incomes by 20% in Mali – new study";"In Mali  contour bunding technique retained moisture and nutrients while preventing soil erosion also brings as much as 20% increase in net income. The technology reduces water runoff and controls soil erosion through ridges covered with perennial grasses such as Andropogon and Vetiver. Farmers use the ridges for crop production. 
";"http://www.icrisat.org/contour-bunding-preserves-soils-and-boosts-farmers-incomes-by-20-in-mali-new-study/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=15&phaseID=13"
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;16;"Policy augmented scaling model for a fully validated CSAP-the happy seeder technology to curb air pollution and build resilience.";"To maximise impact, the innovation is inter-connected& coherent reflecting the priorities of the national economy. Supports culturing socio-economic-environmental development wherein collaborators bringing their comparative advantages to strengthen science of scaling for accelerated uptake of happyseeder via models favouring sustainable development with policy oriented towards leveraging technology base for site-specific use.";"https://economictimes.indiatimes.com/news/environment/pollution/fighting-air-pollution-rs-1151-crore-fund-to-boost-in-situ-management-of-crop-residue-in-delhi-and-ncr/articleshow/63207851.cms; https://timesofindia.indiatimes.com/city/chandigarh/4-institutions-hold-talks-on-crop-residue-mgmt/articleshow/61523028.cms; https://economictimes.indiatimes.com/news/environment/pollution/4-fold-rise-in-green-solution-to-burning-of-paddy-stubble/articleshow/62111233.cms; www.cimmyt.org/advice-for-indias-rice-wheat-farmers-put-aside-the-plow-and-save-straw-to-fight-pollution; https://www.nature.org/science-in-action/the-evergreen-revolution.pdf; http://naasindia.org/CropBurning.pdf; ";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=16&phaseID=11"
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;17;"Iron Beans: INTA BIODOR (SMR 88)";"New variety of iron beans.  As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=17&phaseID=14"
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;19;"Monitoring and Evaluation of Land in Africa (MELA) framework";"The MELA framework is being piloted by 12 countries in Africa.  This allows tracking of progress on commitments made under the AU Declaration on Land Governance in Africa, including commitments to land rights for women and special groups, e.g. pastoralists.";"http://foodsecuritypolicy.msu.edu/uploads/files/Malawi/MELA_-_2017_Malawi_Land_Symposium-Hosaena_Ghebru.pdf";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=19&phaseID=12"
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;21;"Multi-level ICT-based Smart Monitoring to track CSA performance and outcomes ";"This novel ICT-based instrument allows to track performance and outcomes of CSA options across multiple levels, providing sound metrics to address:
- synergies and trade-offs at plot level, 
- effects on Food/Livelihood Security, Adaptation  and Gender dimensions at household level, 
- and adoption enablers and constraints at community level.
";"See deliverables below";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=21&phaseID=11"
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;23;"ClimMob, a digital platform for large-N on-farm experimentation with climate adaptation options";"Digital platform for scaled on-farm farmer-participatory evaluations of agricultural technologies";"climmob.net";"1 - Significant objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=23&phaseID=11"
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;25;"Mobile data entry for manual data";"We developed Google Forms based online data entry app that our field assistants have been using to provide manually measured daily discharge data. Previously manual data was only available after 4-6 months because data was only recorded in data registers that had to be transported to and transcribed in Kathmandu. ";"https://docs.google.com/forms/d/1JwaUr6v47Z_g2avY6_fKzkqb61LWcPYqsCUf0E2NBUs/edit#responses";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=25&phaseID=13"
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;26;"A new global data set on farm size distribution by country";"As part of a study on ""Farming and the geography of nutrient production for human use: a transdisciplinary analysis"", we developed a new set of global datasets on production of vitamin A, vitamin B₁₂, folate, iron, zinc, calcium, calories, and protein, and the relative contribution of farms of different sizes";"https://www.sciencedirect.com/science/article/pii/S2542519617300074";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=26&phaseID=11"
