pk_id_oics;version;date_from;date_to;id_oics;"title_oics";id_project;"title_project";"scope_comments";"outcome_impact_statement";"gender_relev";"youth_relev";"capdev_relev";"pdf"
0;1;;;;;;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1;"World Food Program Adopts Use of Mobile-Based Monitoring for Nutrition";56;"(GLO-EA-WA- ICRAF) Partnerships for scaling climate-smart agriculture (P4S-CSA)";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=1&cycle=Reporting&year=2018"
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;21;"CR4D (Climate Research for Development) ";266;"[Flagship Leader] FP4: Engagement, synthesis and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=21&cycle=Reporting&year=2018"
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;31;"Index-Based Livestock Insurance ";266;"[Flagship Leader] FP4: Engagement, synthesis and support";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=31&cycle=Reporting&year=2018"
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;51;"Kick starting MLS implementation for climate change adaptation in Kenya, Tanzania and Uganda";66;"Global policy support for biologically diverse, climate resilient agriculture";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=51&cycle=Reporting&year=2018"
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;81;"outcome study ";785;"[IITA EA] Stimulating adoption of nutrition sensitive climate smart agriculture by aligning national level agenda with implementation
";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=81&cycle=Reporting&year=2018"
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;101;"Towards a national network of community seed banks in South Africa";66;"Global policy support for biologically diverse, climate resilient agriculture";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=101&cycle=Reporting&year=2018"
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;121;"Outcome harvesting study to understand what have been the changes from policy all the way to institutions as a result of AgroClimas.";42;"Tailored Agro-Climate Services and food security information for better decision making in Latin America";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=121&cycle=Reporting&year=2018"
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;151;"How will the food security and drought information system be accepted by users? What are possible changes to the decision making cycle at tha sub-national and national level? How will information and information use change?";42;"Tailored Agro-Climate Services and food security information for better decision making in Latin America";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=151&cycle=Reporting&year=2018"
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;171;"Improved insurance scheme for one sate of India ";259;"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services Across South Asia";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=171&cycle=Reporting&year=2018"
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;181;"Scaling out CSA-CSV approach by at least one local government in Nepal ";259;"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services Across South Asia";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=181&cycle=Reporting&year=2018"
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;191;"Greater integration of solar cooperative research into government of India's solar pump scheme ";259;"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services Across South Asia";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=191&cycle=Reporting&year=2018"
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;201;"Utilization of Guinayangan CSV experience in the development of AMIA villages and DA's 2019-2022 CSA/CRA mainstreaming program";55;"Generating evidence base for upscaling local adaptation through Climate-Smart Agriculture";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=201&cycle=Reporting&year=2018"
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;371;"Stories of Change, state-level in India";347;"Evidence on enabling environments, effective decision making processes and impacts of nutrition-sensitive agricultural policies";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=371&cycle=Reporting&year=2018"
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;431;"Stories of Change study in Rwanda";350;"Understanding the role of capacity in impact pathways in nutrition-sensitive agricultural policies and programs";;;;;;"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=431&cycle=Reporting&year=2018"
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;441;"Outcome case study of no-burning management solutions for rice crop residues";25;"Developing, adapting and targeting portfolios of CSA practices for sustainable intensification of smallholder and vulnerable farming systems in South Asia";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=441&cycle=Reporting&year=2018"
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;491;"Kenya Climate Smart Agriculture Policy";56;"(GLO-EA-WA- ICRAF) Partnerships for scaling climate-smart agriculture (P4S-CSA)";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=491&cycle=Reporting&year=2018"
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;521;"CSA options based on Big Data analysis that are then available to FLAR members, technicians, researchers and growers through FLAR`s networks";58;"Putting climate into extension services: Climate-Site-Specific Management Systems (CSMS) for grounding climate smart agriculture to farm rice systems";;;;;;"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=521&cycle=Reporting&year=2018"
