pk_id_phases;version;date_from;date_to;id;"description";year;upkeep;start_date;end_date;editable;visible;next_phase;global_unit_id
0;1;;;;;;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;3;"Reporting";2016;;2017-01-15 00:00:00;2017-03-15 00:00:00;N;N;1;1
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1;"Planning";2017;;2016-10-01 00:00:00;2016-11-30 00:00:00;N;Y;11;1
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;11;"Reporting";2017;;2018-04-01 00:00:00;2018-06-15 00:00:00;N;Y;26;1
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;26;"Planning";2018;;2018-01-01 00:00:00;2018-04-01 00:00:00;N;Y;41;1
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;41;"Planning";2018;;2018-07-01 00:00:00;2018-09-01 00:00:00;N;Y;56;1
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;56;"Reporting";2018;;2019-01-01 00:00:00;2019-04-01 00:00:00;N;N;71;1
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;71;"Planning";2019;;2018-09-01 00:00:00;2018-12-31 00:00:00;Y;Y;86;1
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;86;"Planning";2019;;2019-01-01 00:00:00;2019-09-01 00:00:00;N;N;101;1
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;101;"Reporting";2019;;2020-01-01 00:00:00;2020-04-01 00:00:00;N;N;116;1
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;116;"Planning";2020;;2019-09-01 00:00:00;2019-12-31 00:00:00;N;N;131;1
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;131;"Planning";2020;;2020-01-01 00:00:00;2020-09-01 00:00:00;N;N;146;1
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;146;"Reporting";2020;;2021-01-01 00:00:00;2021-04-01 00:00:00;N;N;161;1
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;161;"Planning";2021;;2020-09-01 00:00:00;2020-12-31 00:00:00;N;N;293;1
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;293;"Planning";2021;;2021-01-01 00:00:00;2021-09-01 00:00:00;N;N;294;1
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;294;"Reporting";2021;;2022-01-01 00:00:00;2022-04-01 00:00:00;N;N;295;1
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;295;"Planning";2022;;2021-09-01 00:00:00;2021-12-31 00:00:00;N;N;296;1
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;296;"Planning";2022;;2022-01-01 00:00:00;2022-09-01 00:00:00;N;N;297;1
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;297;"Reporting";2022;;2023-01-01 00:00:00;2023-04-01 00:00:00;N;N;;1
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;4;"Planning";2017;;2016-10-01 00:00:00;2016-11-30 00:00:00;N;Y;12;3
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;12;"Reporting";2017;;2018-04-01 00:00:00;2018-06-15 00:00:00;Y;Y;27;3
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;27;"Planning";2018;;2018-01-01 00:00:00;2018-04-01 00:00:00;Y;Y;42;3
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;42;"Planning";2018;;2018-07-01 00:00:00;2018-09-01 00:00:00;N;N;57;3
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;57;"Reporting";2018;;2019-01-01 00:00:00;2019-04-01 00:00:00;N;N;72;3
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;72;"Planning";2019;;2018-09-01 00:00:00;2018-12-31 00:00:00;N;N;87;3
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;87;"Planning";2019;;2019-01-01 00:00:00;2019-09-01 00:00:00;N;N;102;3
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;102;"Reporting";2019;;2020-01-01 00:00:00;2020-04-01 00:00:00;N;N;117;3
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;117;"Planning";2020;;2019-09-01 00:00:00;2019-12-31 00:00:00;N;N;132;3
28;1;1900-01-01 00:00:00;2199-12-31 23:59:59;132;"Planning";2020;;2020-01-01 00:00:00;2020-09-01 00:00:00;N;N;147;3
29;1;1900-01-01 00:00:00;2199-12-31 23:59:59;147;"Reporting";2020;;2021-01-01 00:00:00;2021-04-01 00:00:00;N;N;162;3
30;1;1900-01-01 00:00:00;2199-12-31 23:59:59;162;"Planning";2021;;2020-09-01 00:00:00;2020-12-31 00:00:00;N;N;298;3
31;1;1900-01-01 00:00:00;2199-12-31 23:59:59;298;"Planning";2021;;2021-01-01 00:00:00;2021-09-01 00:00:00;N;N;299;3
32;1;1900-01-01 00:00:00;2199-12-31 23:59:59;299;"Reporting";2021;;2022-01-01 00:00:00;2022-04-01 00:00:00;N;N;300;3
33;1;1900-01-01 00:00:00;2199-12-31 23:59:59;300;"Planning";2022;;2021-09-01 00:00:00;2021-12-31 00:00:00;N;N;301;3
34;1;1900-01-01 00:00:00;2199-12-31 23:59:59;301;"Planning";2022;;2022-01-01 00:00:00;2022-09-01 00:00:00;N;N;302;3
35;1;1900-01-01 00:00:00;2199-12-31 23:59:59;302;"Reporting";2022;;2023-01-01 00:00:00;2023-04-01 00:00:00;N;N;;3
36;1;1900-01-01 00:00:00;2199-12-31 23:59:59;5;"Planning";2017;;2017-01-01 00:00:00;2017-12-31 00:00:00;N;Y;13;4
37;1;1900-01-01 00:00:00;2199-12-31 23:59:59;13;"Reporting";2017;;2018-04-01 00:00:00;2018-06-15 00:00:00;N;Y;28;4
38;1;1900-01-01 00:00:00;2199-12-31 23:59:59;28;"Planning";2018;;2018-01-01 00:00:00;2018-04-01 00:00:00;N;Y;43;4
39;1;1900-01-01 00:00:00;2199-12-31 23:59:59;43;"Planning";2018;;2018-07-01 00:00:00;2018-09-01 00:00:00;Y;Y;58;4
40;1;1900-01-01 00:00:00;2199-12-31 23:59:59;58;"Reporting";2018;;2019-01-01 00:00:00;2019-04-01 00:00:00;N;N;73;4
41;1;1900-01-01 00:00:00;2199-12-31 23:59:59;73;"Planning";2019;;2018-09-01 00:00:00;2018-12-31 00:00:00;N;N;88;4
42;1;1900-01-01 00:00:00;2199-12-31 23:59:59;88;"Planning";2019;;2019-01-01 00:00:00;2019-09-01 00:00:00;N;N;103;4
43;1;1900-01-01 00:00:00;2199-12-31 23:59:59;103;"Reporting";2019;;2020-01-01 00:00:00;2020-04-01 00:00:00;N;N;118;4
