pk_id_publication_info;version;date_from;date_to;id;"citation";"url";is_ISI_journal;is_open_access;phase_id
0;1;;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;3;"Ritzema RS, Frelat R, Douxchamps S, Silvestri S, Rufino MC, Herrero M, Giller KE, López-Ridaura S, Teufel N, Birthe P, van Wijk MT. 2017. Is production intensification likely to make farm households food-adequate? A simple food availability analysis across smallholder farming systems from East and West Africa. Food Security 9(1): 115–131.";"https://doi.org/10.1007/s12571-016-0638-y";1;1;11
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;4;"Arias-Navarro C, Díaz-Pinés E, Zuazo P, Rufino MC, Verchot LV, Butterbach-Bahl K. 2017. Quantifying the contribution of land use to N2O, NO and CO2 fluxes in a montane forest ecosystem of Kenya. Biogeochemistry 134(1-2): 95–114.";"https://doi.org/10.1007/s10533-017-0348-3";1;1;11
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;5;"Hergoualc’h K, Hendry DT, Murdiyarso D, Verchot LV. 2017. Total and heterotrophic soil respiration in a swamp forest and oil palm plantations on peat in Central Kalimantan, Indonesia. Biogeochemistry 135(3): 203-220.";"https://doi.org/10.1007/s10533-017-0363-4";1;1;11
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;6;"Arias-Navarro C, Díaz-Pinés E, Klatt S, Brandt P, Rufino MC, Butterbach-Bahl K, Verchot LV. 2017. Spatial variability of soil N2O and CO2 fluxes in different topographic positions in a tropical montane forest in Kenya. Journal of Geophysical Research: Biogeosciences 122(3):514–527.";"https://doi.org/10.1002/2016JG003667";1;1;11
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;7;"Hyman G, Espinosa H, Camargo P, Abreu D, Devare M, Arnaud E, Porter C, Mwanzia L, Sonder K, Traore S. 2017. Improving agricultural knowledge management: The AgTrials experience [version 1; referees: 2 approved] . F1000Research  6:317.";"https://doi.org/10.12688/f1000research.11179.1";1;0;11
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;8;"Sain G, Loboguerrero AM, Corner-Dolloff C, Lizarazo M, Nowak A, Martínez-Barón D, Andrieu N. 2016. Costs and benefits of climate-smart agriculture: The case of the dry corridor in Guatemala . Agricultural Systems 151: 163-173.";"https://doi.org/10.1016/j.agsy.2016.05.004";0;1;11
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;9;"Patterson J, Schulz K, Vervoort J, van der Held S, Widerberg O, Adler C, Hurlbert M, Andertong K, Sethi M, Barauj A. 2017. Exploring the governance and politics of transformations towards sustainability. Environmental Innovation and Societal Transitions 24: 1-16.";"https://doi.org/10.1016/j.eist.2016.09.001";1;1;11
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;10;"van Soesbergen A, Arnell AP, Sassen M, Stuch B, Schaldach R, Göpel J, Vervoort J, Mason-D'Croz D, Islam S, Palazzo A. 2017. Exploring future agricultural development and biodiversity in Uganda, Rwanda and Burundi: a spatially explicit scenario-based assessment. Regional Environmental Change 17(5): 1409–1420.";"https://doi.org/10.1007/s10113-016-0983-6";1;1;11
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;11;"Feliciano D, Nayak DR, Vetter SH, Hillier J. 2017. CCAFS-MOT - A tool for farmers, extension services and policy-advisors to identify mitigation options for agriculture. Agriculture Systems 154:100-111.";"https://doi.org/10.1016/j.agsy.2017.03.006";1;1;11
