pk_id_srf;version;date_from;date_to;id_sub_ido;id_slo;"slo";id_ido;"ido";"sub_ido"
0;1;;;;;;;;
1;1;1900-01-01 00:00:00;2199-12-31 23:59:59;1;1;"Reduce Poverty";1;"Increased resilience of the poor to climate change and other shocks";"Adoption of CGIAR materials with enhanced genetic gains"
2;1;1900-01-01 00:00:00;2199-12-31 23:59:59;2;1;"Reduce Poverty";1;"Increased resilience of the poor to climate change and other shocks";"Reduced smallholders production risk"
3;1;1900-01-01 00:00:00;2199-12-31 23:59:59;3;1;"Reduce Poverty";2;"Enhanced smallholder market access";"Improved access to financial and other services"
4;1;1900-01-01 00:00:00;2199-12-31 23:59:59;4;1;"Reduce Poverty";2;"Enhanced smallholder market access";"Reduced market barriers"
5;1;1900-01-01 00:00:00;2199-12-31 23:59:59;5;1;"Reduce Poverty";3;"Increased incomes and employment";"Diversified enterprise opportunities"
6;1;1900-01-01 00:00:00;2199-12-31 23:59:59;6;1;"Reduce Poverty";3;"Increased incomes and employment";"Increased livelihood opportunities"
7;1;1900-01-01 00:00:00;2199-12-31 23:59:59;7;1;"Reduce Poverty";3;"Increased incomes and employment";"Increased value capture by producers"
8;1;1900-01-01 00:00:00;2199-12-31 23:59:59;8;1;"Reduce Poverty";3;"Increased incomes and employment";"More efficient use of inputs"
9;1;1900-01-01 00:00:00;2199-12-31 23:59:59;9;2;"Improve food and nutrition security";4;"Increased productivity";"Reduce pre- and post-harvest losses, including those caused by climate change"
10;1;1900-01-01 00:00:00;2199-12-31 23:59:59;10;2;"Improve food and nutrition security";4;"Increased productivity";"Closed yield gaps through improved agronomic and animal husbandry practices"
11;1;1900-01-01 00:00:00;2199-12-31 23:59:59;11;2;"Improve food and nutrition security";4;"Increased productivity";"Adoption of CGIAR materials with enhanced genetic gains"
12;1;1900-01-01 00:00:00;2199-12-31 23:59:59;12;2;"Improve food and nutrition security";4;"Increased productivity";"Increased conservation and use of genetic resources"
13;1;1900-01-01 00:00:00;2199-12-31 23:59:59;13;2;"Improve food and nutrition security";4;"Increased productivity";"Increased access to productive assets, including natural resources"
14;1;1900-01-01 00:00:00;2199-12-31 23:59:59;14;2;"Improve food and nutrition security";5;"Improved diets for poor and vulnerable people";"Increased availability of diverse nutrient-rich foods"
15;1;1900-01-01 00:00:00;2199-12-31 23:59:59;15;2;"Improve food and nutrition security";5;"Improved diets for poor and vulnerable people";"Increased access to diverse nutrient-rich foods"
16;1;1900-01-01 00:00:00;2199-12-31 23:59:59;16;2;"Improve food and nutrition security";5;"Improved diets for poor and vulnerable people";"Optimized consumption of diverse nutrient-rich foods"
17;1;1900-01-01 00:00:00;2199-12-31 23:59:59;17;2;"Improve food and nutrition security";6;"Improved food security";"Reduced biological and chemical hazards in the food system"
18;1;1900-01-01 00:00:00;2199-12-31 23:59:59;18;2;"Improve food and nutrition security";6;"Improved food security";"Appropriate regulatory environment for food safety"
19;1;1900-01-01 00:00:00;2199-12-31 23:59:59;19;2;"Improve food and nutrition security";7;"Improved human and animal health through better agricultural practices";"Improved water quality"
20;1;1900-01-01 00:00:00;2199-12-31 23:59:59;20;2;"Improve food and nutrition security";7;"Improved human and animal health through better agricultural practices";"Reduced livestock and fish disease risks associated with intensification and climate change"
21;1;1900-01-01 00:00:00;2199-12-31 23:59:59;21;2;"Improve food and nutrition security";7;"Improved human and animal health through better agricultural practices";"Increased safe use of inputs"
22;1;1900-01-01 00:00:00;2199-12-31 23:59:59;22;3;"Improve Natural resources and ecosystem services";8;"Natural capital enhanced and protected, especially from climate change";"Land, water and forest degradation (Including deforestation) minimized and reversed"
23;1;1900-01-01 00:00:00;2199-12-31 23:59:59;23;3;"Improve Natural resources and ecosystem services";8;"Natural capital enhanced and protected, especially from climate change";"Enhanced conservation of habitats and resources"
24;1;1900-01-01 00:00:00;2199-12-31 23:59:59;24;3;"Improve Natural resources and ecosystem services";8;"Natural capital enhanced and protected, especially from climate change";"Increased genetic diversity of agricultural and associated landscapes"
25;1;1900-01-01 00:00:00;2199-12-31 23:59:59;25;3;"Improve Natural resources and ecosystem services";9;"Enhanced benefits from ecosystem goods and services";"More productive and equitable management of natural resources"
26;1;1900-01-01 00:00:00;2199-12-31 23:59:59;26;3;"Improve Natural resources and ecosystem services";9;"Enhanced benefits from ecosystem goods and services";"Agricultural systems diversified and intensified in ways that protect soils and water"
27;1;1900-01-01 00:00:00;2199-12-31 23:59:59;27;3;"Improve Natural resources and ecosystem services";9;"Enhanced benefits from ecosystem goods and services";"Enrichment of plant and animal biodiversity for multiple goods and services"
28;1;1900-01-01 00:00:00;2199-12-31 23:59:59;28;3;"Improve Natural resources and ecosystem services";10;"More sustainably managed agroecosystems";"Increased resilience of agro-ecosystems and communities, especially those including smallholders"
29;1;1900-01-01 00:00:00;2199-12-31 23:59:59;29;3;"Improve Natural resources and ecosystem services";10;"More sustainably managed agroecosystems";"Enhanced adaptive capacity to climate risks (More sustainably managed agro-ecosystems)"
30;1;1900-01-01 00:00:00;2199-12-31 23:59:59;30;3;"Improve Natural resources and ecosystem services";10;"More sustainably managed agroecosystems";"Reduced net greenhouse gas emissions from agriculture, forests and other forms of land-use (More sustainably managed agro-ecosystems)"
