fk_id_crp;fk_id_pol_inv_typ;fk_id_smo_org_types;fk_id_stg_maturity;fk_id_stage_processes;fk_id_geo_scopes;fk_id_phases;fk_id_oics
13;0;0;2;0;4;122;101
13;0;0;2;0;3;122;100
13;0;0;2;0;3;122;99
13;0;0;1;0;3;122;98
13;0;0;3;0;4;122;97
13;0;0;1;0;3;122;96
13;0;0;3;0;4;122;95
12;0;0;2;0;4;105;93
12;0;0;2;0;4;105;92
12;0;0;3;0;3;105;91
5;3;8;2;2;4;71;61
5;1;8;2;2;4;71;59
5;4;5;2;1;4;71;58
5;3;10;2;1;4;71;57
4;0;0;1;0;5;54;89
4;0;0;2;0;1;54;88
4;1;8;2;2;4;54;87
4;1;8;2;2;4;54;86
4;0;0;1;0;4;54;85
4;0;0;2;0;4;54;84
4;0;0;2;0;4;54;83
4;1;8;2;2;4;54;82
4;0;0;1;0;4;54;81
4;1;6;2;2;3;54;80
4;1;8;2;2;3;54;79
4;3;7;2;2;2;54;78
4;1;8;2;2;4;54;77
4;0;0;3;0;3;54;46
3;1;8;2;2;4;37;76
3;1;8;2;1;1;37;75
3;1;8;1;1;4;37;74
2;1;8;2;1;3;20;73
2;1;10;3;1;2;20;72
2;1;8;1;1;4;20;71
2;1;3;1;1;1;20;70
2;1;8;1;1;4;20;69
2;1;8;1;1;3;20;68
2;1;8;1;1;4;20;66
2;4;8;1;1;4;20;54
2;0;0;1;0;1;20;53
2;1;8;2;2;4;20;47
2;1;3;2;2;3;20;43
2;1;10;1;1;1;20;40
1;0;0;2;0;4;3;67
1;1;8;1;1;4;3;65
1;1;4;1;2;3;3;64
1;1;1;2;2;4;3;63
1;1;8;3;2;3;3;62
1;0;0;3;0;1;3;60
1;1;8;1;2;4;3;56
1;1;4;1;2;2;3;55
1;1;8;2;2;3;3;52
1;1;1;3;2;3;3;51
1;1;10;1;2;1;3;50
1;3;8;2;2;4;3;49
1;1;8;2;2;1;3;39
