fk_id_cci,fk_id_oics,Contribution
2,1,0.5
1,1,0.5
10,2,0.5
13,2,0.5
13,4,0.3333333333
9,6,1.0
15,9,1.0
6,10,0.3333333333
13,14,0.5
10,15,0.5
13,17,0.3333333333
5,19,0.5
2,19,0.5
13,22,1.0
13,23,1.0
13,24,0.5
2,24,0.5
13,27,0.5
3,27,0.5
13,28,0.5
10,31,0.5
16,32,0.5
13,32,0.5
1,33,0.5
3,33,0.5
11,35,0.5
15,36,0.5
2,37,0.5
2,38,0.5
15,39,0.5
2,39,0.5
10,40,0.5
13,41,0.5
13,47,0.5
2,47,0.5
11,49,0.5
2,49,0.5
11,52,0.5
10,58,0.5
11,58,0.5
10,59,0.5
11,59,0.5
4,85,1.0
3,114,1.0
9,115,0.5
5,115,0.5
9,116,0.5
4,164,0.5
15,39,0.5
2,39,0.5
9,182,0.5
5,184,0.5
14,184,0.5
13,187,1.0
15,191,0.3333333333
3,192,0.5
5,194,0.5
6,195,0.5
13,195,0.5
15,196,0.5
16,201,0.5
13,201,0.5
16,202,0.5
13,202,0.5
16,203,0.5
3,203,0.5
13,204,1.0
15,205,0.3333333333
16,206,0.5
13,206,0.5
13,207,1.0
11,208,0.5
16,208,0.5
16,209,0.5
11,210,0.5
3,210,0.5
2,211,0.5
13,212,0.5
13,214,0.25
4,216,0.5
3,216,0.5
11,218,0.5
2,218,0.5
9,220,0.5
10,222,0.5
11,222,0.5
10,223,0.5
11,223,0.5
6,241,0.3333333333
3,245,0.5
2,246,0.5
1,246,0.5
15,248,0.5
13,249,0.5
16,255,0.5
16,259,0.5
6,262,0.5
13,272,0.5
6,274,0.5
1,274,0.5
13,279,1.0
13,280,0.5
2,280,0.5
11,284,0.5
