fk_id_oics,fk_id_flagship
95,1
114,2
115,4
115,2
116,3
18,1
164,2
20,8
20,6
39,16
39,19
42,16
42,19
43,16
180,42
180,43
181,43
181,42
182,3
184,1
184,2
187,4
189,9
191,5
192,7
194,1
195,5
196,5
197,8
198,8
198,6
199,8
199,6
200,8
200,6
201,6
202,6
202,8
203,6
204,6
205,6
205,5
206,6
207,6
208,10
209,5
210,10
210,8
211,9
212,31
214,31
216,24
216,25
217,18
218,19
219,5
219,6
219,7
220,33
221,31
221,33
222,41
223,45
227,31
227,35
228,33
229,41
229,43
229,44
229,42
230,31
230,33
241,44
242,25
242,23
243,19
244,16
245,12
246,20
247,18
247,20
248,32
248,33
249,18
250,18
255,17
257,12
258,12
259,11
260,11
261,14
262,14
263,47
263,45
263,46
264,45
264,46
264,47
264,48
265,26
271,22
272,25
273,22
274,29
276,37
276,40
277,37
277,40
279,37
279,38
280,37
280,39
281,39
282,72
283,72
284,71
285,75
286,75
287,76
288,76
289,76
290,73
291,74
292,75
293,76
1,10
2,9
3,18
4,9
5,2
5,3
6,3
6,4
6,2
7,1
8,5
10,2
11,2
11,3
11,4
12,25
13,22
13,23
13,25
14,22
14,24
15,2
16,24
17,4
17,2
18,1
19,2
20,8
21,2
22,6
23,6
24,6
25,8
25,6
26,7
27,9
28,11
28,12
29,11
30,13
31,19
32,19
33,19
34,18
35,17
36,18
37,20
38,20
39,16
40,19
41,19
42,16
43,16
44,31
44,35
45,31
46,36
46,37
47,39
47,37
48,37
48,38
48,39
48,40
49,40
50,37
51,37
51,39
52,40
52,39
