pk_id_srf_target,version,date_from,date_to,id,"title",slo_id,"slo_title"
0,1,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"# of more farm households have adopted improved varieties, breeds or trees",1,"Reduce Poverty"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"# of people, of which 50% are women, assisted to exit poverty",1,"Reduce Poverty"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"Increased rate of yield for major food staples from current <1%/year",2,"Improve food and nutrition security for health"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"# of more people, of which 50% are women, meeting minimum dietary energy requirements",2,"Improve food and nutrition security for health"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"# of more people, of which 50% are women, without deficiencies of one or more of the following essentials micronutrients: iron, zinc, iodine, vitamin A, folate and vitamin B12",2,"Improve food and nutrition security for health"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"Reduction in woman of reproductive age who are consuming less than the adequate number of food groups ",2,"Improve food and nutrition security for health"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"Increase in water and nutrient (inorganic, biological) use efficiency in agro-ecosystems, including through recycling and reuse",3,"Improve Natural resources and ecosystem services"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"Reduce agriculturally related greenhouse gas emissions compared to business-as-usual scenario 2022",3,"Improve Natural resources and ecosystem services"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"# of hectares degraded land area restored",3,"Improve Natural resources and ecosystem services"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"# of hectares of forest saved from deforestation",3,"Improve Natural resources and ecosystem services"
