fk_id_innovation_info,fk_id_cci,is_primary
1580,6,0
1103,6,1
1111,9,0
1115,9,0
1587,9,1
1125,12,1
1591,12,1
1126,12,1
1592,12,1
1127,12,1
1593,12,1
1128,12,1
1594,12,1
1130,12,1
1596,12,1
1143,13,1
1143,3,0
1146,5,0
1601,5,0
1147,3,0
1154,5,0
1154,3,0
1155,15,0
1155,3,0
1157,5,0
1602,5,0
1158,7,0
1158,15,0
1159,13,0
1159,4,0
1160,16,0
1160,4,0
1161,4,1
1603,4,1
979,10,1
979,11,0
1163,7,1
1164,12,1
1167,15,1
1604,15,0
1168,15,1
1170,13,1
1173,9,1
1173,2,0
1174,5,0
1174,2,0
1179,4,1
1179,1,0
1179,2,0
1180,1,1
1180,2,0
1181,7,0
1181,4,1
1182,2,1
1182,1,0
1183,1,1
1183,2,0
1184,1,1
1184,2,0
1190,1,0
1192,1,1
1192,2,0
1193,1,1
1193,2,0
1194,1,1
1195,11,0
1199,10,0
1199,11,1
1200,10,1
1200,11,0
1203,10,0
1209,6,0
1217,6,1
1219,12,0
1223,3,1
1224,15,0
1237,7,1
1605,7,1
1238,7,0
1239,4,1
1241,7,1
1242,13,1
1244,5,1
1244,7,0
1249,4,0
1251,3,0
1252,7,1
1253,1,0
1254,1,1
1254,2,0
1255,2,1
1607,5,0
1607,6,0
1263,6,1
1264,6,1
1264,5,0
1265,10,1
1265,11,0
1268,7,1
1269,14,0
1270,15,1
1609,3,0
1276,16,0
1278,7,1
1279,11,0
1279,13,0
1284,10,0
1286,13,0
1287,3,0
1288,2,0
1290,14,1
1291,5,1
1291,6,0
1292,4,0
1293,15,0
1294,10,0
1294,11,1
1295,16,1
1295,14,0
1296,7,1
1297,2,1
1297,1,0
1298,6,1
1307,10,1
1328,13,1
1328,3,0
1329,6,1
1329,7,0
1331,5,1
1333,7,1
1334,1,0
1335,1,0
1337,13,1
1610,13,1
1339,15,0
1340,13,0
1341,11,0
1611,11,0
1343,10,1
1353,15,1
1354,7,1
1355,7,1
1356,7,1
1357,13,1
1362,3,0
1612,3,0
1365,3,0
1367,12,1
1368,3,0
1369,7,0
1369,2,0
1613,7,0
1613,2,0
1370,2,0
1371,5,0
1373,7,1
1373,2,0
1614,7,0
1614,2,1
1374,13,1
1376,9,1
1376,13,0
1378,15,1
1378,2,0
1379,15,0
1616,15,0
1380,15,1
1381,5,1
1381,7,0
1382,5,1
1382,7,0
1383,10,0
1391,16,1
1398,13,0
1401,5,0
1404,7,0
1406,6,0
1406,5,1
1407,2,1
1617,2,1
1410,7,0
1410,2,0
1411,13,1
1412,13,1
1413,9,1
1413,6,0
1415,9,1
1415,6,0
1418,3,0
1420,3,0
1422,2,1
1422,1,0
1432,15,1
1620,15,1
1434,2,1
1439,3,1
1622,3,1
1440,3,1
1441,4,1
1441,3,0
1623,4,1
1623,3,0
1445,2,0
1624,2,0
1454,1,0
1627,1,0
1455,1,1
1457,1,1
1462,10,1
1629,10,1
1465,12,0
1471,16,1
1471,15,0
1472,4,1
1475,7,0
1475,15,1
1475,13,0
1632,7,0
1632,15,1
1632,13,0
1478,10,0
1479,10,0
1480,10,1
1480,11,0
1634,10,1
1634,11,0
1481,10,1
1481,11,0
1489,4,1
1489,1,0
1489,2,0
1492,3,0
1548,15,1
1548,13,0
1548,16,0
1496,2,1
1638,2,1
1497,3,0
1639,3,0
1498,10,0
1500,13,0
1502,15,1
1504,6,1
1640,6,1
982,15,1
1505,9,0
1528,3,1
1539,1,1
1543,6,0
1643,5,1
1643,6,0
1643,2,0
1644,9,1
1644,3,0
1645,3,1
1646,6,1
1646,4,0
1646,3,0
1647,12,1
1648,14,0
1650,5,0
1655,4,0
1662,2,1
1663,6,1
1666,6,1
1668,11,1
1669,11,1
1669,10,0
983,2,1
1684,6,0
1684,14,0
1685,11,1
1707,6,0
1713,11,1
1718,5,0
1719,5,0
1720,5,0
1721,5,0
1722,5,0
1726,1,1
1739,5,0
1748,6,1
1754,2,0
1757,1,1
1771,14,0
1774,6,1
1775,6,1
1788,13,1
1790,5,0
1791,5,0
1792,5,0
1793,5,0
1794,15,0
1795,10,1
1803,4,1
1804,2,1
1806,4,1
1807,4,1
1808,2,1
1809,2,1
1810,4,1
1812,13,1
1814,11,1
1815,15,1
1816,1,0
1816,2,0
1818,10,1
1819,10,1
1822,5,1
1822,12,0
1823,11,1
1827,4,1
1829,3,0
1832,15,1
1833,11,1
1833,13,0
1834,3,0
1835,13,0
1835,14,1
1836,2,0
1837,2,1
1838,10,1
1838,11,0
1839,13,0
1840,6,1
1840,13,0
1546,10,1
1843,13,1
1843,3,0
1843,2,0
1850,2,0
1851,4,1
1853,5,0
1853,13,1
1854,13,0
1854,14,1
1854,2,0
1857,10,1
1858,1,0
1861,3,1
1862,13,1
1863,7,1
1865,2,1
1867,15,1
1870,15,0
1870,3,1
1870,2,0
1872,4,1
1872,1,0
1876,3,1
1877,10,1
1877,11,0
1878,10,0
1878,11,0
1879,13,0
1882,10,0
1883,6,1
1907,13,1
1908,4,1
1908,3,0
1909,13,1
1910,13,1
1912,11,1
1918,3,0
1919,3,0
1920,3,1
1922,15,0
1923,10,0
1924,13,1
1929,13,1
1937,1,1
1940,15,1
1940,2,0
1940,3,0
1941,4,0
1942,11,0
1942,3,1
1946,13,1
1947,2,0
1948,9,1
1949,16,1
1950,3,1
1951,3,1
1953,4,1
1953,1,0
1954,3,1
1955,3,1
1956,3,1
1957,13,1
1959,16,1
1960,16,1
1961,3,1
1962,6,1
1964,3,1
1965,10,0
1965,11,0
1966,10,0
1966,11,0
1967,10,0
1968,10,0
1968,11,0
1969,15,0
1973,14,0
1975,5,1
1975,12,0
1980,3,0
1981,12,1
2014,10,1
2017,15,1
2020,4,0
2025,4,1
2026,13,0
2030,5,0
2037,6,0
2041,3,1
2043,1,1
2043,3,0
2044,15,0
2057,14,1
2063,11,1
2066,10,0
2073,10,1
2074,3,1
2076,4,0
2078,3,0
2081,4,0
2084,1,0
2091,15,1
2091,2,0
2091,1,0
2101,2,0
2102,10,0
2102,4,1
2103,15,1
2104,11,1
2104,12,0
2105,14,1
2107,6,1
2111,13,0
985,11,0
988,13,1
989,13,0
990,2,1
990,4,0
991,2,1
1555,11,1
992,13,1
992,2,0
1556,13,1
1556,2,0
993,2,0
996,7,1
996,15,0
976,16,1
976,13,0
1003,6,1
1559,6,1
1004,9,0
1560,9,0
1006,15,0
1007,14,1
1007,2,0
1008,6,1
1008,15,0
1014,2,0
1018,2,1
1019,4,1
1020,16,1
1022,13,0
1022,3,0
1022,2,1
1023,15,0
1023,3,1
1024,15,0
1024,3,1
1025,4,1
1561,10,1
1561,15,0
1562,15,1
1026,15,0
1026,3,1
1027,6,1
1563,6,1
1029,15,0
1030,15,0
1031,13,1
1031,2,0
1031,3,0
1565,4,1
1032,15,0
1033,15,0
1034,15,0
1036,1,1
1037,10,0
1044,15,0
1045,15,0
1046,15,0
1051,12,1
1053,3,1
1060,12,1
1062,6,0
1067,13,1
1573,13,1
1069,10,1
1074,13,1
1576,13,1
1081,1,1
1577,1,0
977,11,1
1090,4,1
1091,2,0
1092,4,1
1094,12,0
1096,12,1
978,3,0
