fk_id_oics,fk_id_ext_partner
95,269
95,471
95,2011
95,470
95,711
95,191
95,122
95,12
95,184
95,467
97,815
97,954
97,372
114,677
116,467
116,192
116,191
116,79
306,279
306,556
324,1373
324,862
711,202
711,106
711,110
711,115
711,112
711,400
163,1684
163,1696
163,106
164,552
164,25
164,105
164,106
165,346
165,673
165,1962
165,2037
165,113
712,346
712,673
712,1962
712,2037
712,113
712,291
326,298
167,650
167,674
167,646
168,960
168,132
328,563
328,203
330,491
330,2504
330,79
330,695
330,2746
330,951
341,203
180,194
180,210
180,306
180,79
181,90
181,1076
181,973
181,396
181,2109
181,1638
181,195
181,106
181,462
181,767
181,951
181,1859
182,93
182,439
182,407
184,203
187,193
187,2206
717,193
717,2206
717,2246
189,500
189,674
189,598
395,4123
395,598
395,2484
395,4164
395,4121
395,674
395,679
191,146
191,1775
191,315
192,610
192,1683
194,1254
194,1181
195,271
195,1692
195,1825
195,1826
396,271
196,1669
196,1936
196,1789
196,481
196,2148
196,2303
196,146
196,110
196,581
718,1669
718,1936
718,1789
718,481
718,2148
718,2303
718,146
718,110
718,581
718,756
718,543
718,1380
718,7573
197,693
197,302
197,673
198,650
198,707
198,525
199,650
199,294
199,673
200,650
200,294
200,146
200,436
201,1002
201,79
201,636
202,79
202,650
203,79
397,79
204,187
204,356
205,348
205,356
206,675
206,2183
206,2386
206,2539
207,2242
207,210
207,79
207,329
208,79
208,1889
209,1135
209,2189
719,1135
719,2189
719,356
210,2296
210,1847
210,659
210,1878
398,2296
398,1847
398,659
398,1878
398,657
398,291
720,349
720,110
211,646
211,679
211,674
211,1614
211,1732
212,273
400,273
214,186
214,246
216,112
216,107
216,694
401,112
401,107
401,694
217,291
217,146
218,93
218,86
219,513
219,2410
721,513
721,2410
721,349
220,1018
220,273
220,439
220,203
221,1018
221,273
221,305
402,439
402,2464
402,2597
402,394
402,203
227,1078
228,203
229,513
229,974
229,63
229,297
229,349
229,1859
403,944
722,944
722,2606
722,1039
722,2582
722,5220
404,803
242,960
242,581
243,673
243,587
243,301
244,971
244,320
244,1864
244,1810
245,79
246,1847
246,291
246,785
246,1297
246,1718
247,202
248,93
248,1599
248,1460
248,439
248,651
249,195
249,79
249,1610
249,518
249,500
249,517
249,2389
249,2391
250,195
250,79
250,298
250,500
250,2388
405,195
405,79
405,262
405,292
405,2635
405,2066
405,2259
405,960
405,202
405,419
405,2701
405,255
405,254
405,314
723,195
723,79
723,262
723,292
723,2635
723,2066
723,2259
723,960
723,202
723,419
723,2701
723,255
723,254
723,314
723,7445
723,2260
723,1579
723,356
255,118
255,1878
255,1736
255,1859
257,93
257,349
257,286
257,2026
257,1012
258,363
258,2387
258,2466
258,2499
258,2448
258,83
258,1379
259,79
259,373
260,148
260,1696
260,1197
260,2193
260,585
260,2500
261,646
261,781
262,951
262,79
262,286
263,974
407,268
407,257
407,904
271,739
271,2202
273,739
273,2202
274,126
274,1669
274,646
415,93
415,2582
415,2680
724,93
724,2582
724,2680
416,1780
416,1018
416,238
417,1606
418,1606
420,1780
420,1676
420,2597
421,305
421,2587
725,739
725,109
423,2585
423,273
423,1018
424,1606
427,305
427,1768
427,2574
429,2332
429,1780
429,238
429,2593
434,1780
434,238
434,1018
434,2590
435,1078
435,146
276,973
276,954
276,980
276,2626
277,954
278,1697
278,117
279,105
279,111
279,646
279,960
279,1689
279,196
279,698
279,1778
279,1734
280,106
280,105
280,108
280,111
280,1617
280,789
280,304
280,500
282,2602
282,2608
282,2643
283,116
283,104
284,2627
284,83
285,1758
285,945
285,1300
285,2609
286,363
289,948
289,951
289,1663
289,979
289,973
289,954
289,1203
289,1667
289,2605
289,2628
289,2629
289,2631
290,105
290,1631
290,1922
290,2018
290,1643
291,2641
291,2640
292,363
293,951
293,789
727,93
727,2725
727,7548
727,7553
727,7547
727,543
728,951
728,2674
728,462
728,673
728,426
728,650
728,4547
728,4039
728,4792
728,7140
728,7141
728,7142
728,7143
728,7144
728,217
728,7153
438,2127
439,1034
439,1030
442,203
443,4164
443,2484
443,4121
443,4123
443,674
443,598
446,546
447,1061
447,2343
447,93
447,399
449,4161
450,3986
450,4123
450,4164
450,349
450,4166
774,3986
774,4123
774,4164
774,349
774,4166
774,563
453,945
453,2410
453,67
453,2107
454,1205
454,527
454,846
454,1395
455,2259
455,195
455,79
455,2635
455,1514
455,1521
456,195
456,636
456,4589
456,298
456,4577
456,4541
1,1619
2,656
3,195
3,960
3,292
4,674
5,363
5,951
5,695
5,545
5,1761
5,1667
5,1047
5,1631
5,108
6,646
7,1650
7,702
7,1213
8,1631
8,692
8,1822
8,111
8,106
8,119
8,118
8,110
8,105
8,114
8,104
8,116
8,107
8,109
8,108
8,112
8,2019
8,699
8,115
10,122
10,108
10,12
10,727
11,1379
12,297
13,1669
13,977
13,893
13,87
13,1876
14,79
14,543
14,1568
15,1847
15,650
16,202
16,1423
16,673
16,810
16,813
16,1569
17,945
17,1631
17,184
17,185
17,953
17,954
17,955
17,186
17,815
17,1204
17,187
17,188
17,104
17,1636
17,646
17,966
17,479
17,711
17,1729
17,481
17,510
18,1684
18,1696
19,154
19,511
20,346
20,673
20,1962
20,2037
20,113
21,1631
22,255
22,292
22,372
22,349
