fk_id_oics,fk_id_flagship
95,1
114,2
115,4
115,2
116,3
306,4
306,2
324,4
711,4
711,2
163,1
164,2
165,8
165,6
712,8
712,6
326,6
166,16
166,19
167,16
167,19
168,16
330,4
330,2
341,4
341,2
341,3
341,1
180,42
180,43
181,43
181,42
182,3
184,1
184,2
187,4
717,4
189,9
395,9
191,5
192,7
194,1
195,5
396,5
196,5
718,5
197,8
198,8
198,6
199,8
199,6
200,8
200,6
201,6
202,6
202,8
203,6
397,6
204,6
205,6
205,5
206,6
207,6
208,10
209,5
719,5
210,10
210,8
398,10
398,8
720,47
720,45
211,9
212,31
400,31
214,31
216,24
216,25
401,24
401,25
217,18
218,19
219,5
219,6
219,7
721,5
721,6
721,7
220,33
221,31
221,33
222,41
223,45
402,32
402,33
402,35
402,31
227,31
227,35
228,33
229,41
229,43
229,44
229,42
230,31
230,33
403,33
403,31
722,33
722,31
404,31
404,35
241,44
242,25
242,23
243,19
244,16
245,12
246,20
247,18
247,20
248,32
248,33
249,18
250,18
405,18
723,18
255,17
257,12
258,12
259,11
260,11
261,14
262,14
263,47
263,45
263,46
264,45
264,46
264,47
264,48
265,26
407,29
271,22
272,25
273,22
274,29
415,33
415,31
724,33
724,31
416,32
417,32
418,32
419,35
420,32
725,32
423,31
423,33
424,32
427,33
429,33
429,32
434,32
435,35
276,37
276,40
277,37
277,40
279,37
279,38
280,37
280,39
281,39
282,72
283,72
284,71
285,75
286,75
287,76
288,76
289,76
290,73
291,74
292,75
293,76
727,12
728,14
438,51
438,49
731,33
731,35
760,47
439,2
441,1
442,3
443,24
444,22
444,25
446,24
447,23
449,24
450,24
774,24
453,4
455,18
456,18
458,2
459,24
465,18
466,18
467,4
467,2
468,2
468,4
469,6
469,10
470,7
470,10
472,31
472,33
472,32
472,35
473,1
474,1
476,5
477,19
478,6
479,6
480,31
481,31
481,35
482,14
488,2
492,11
493,6
494,5
496,31
496,33
496,32
496,35
500,18
501,21
502,21
503,21
505,31
505,32
505,33
507,5
508,34
511,6
511,7
512,42
512,43
513,43
513,42
514,44
514,41
514,43
515,20
516,17
518,42
518,43
520,16
521,9
522,9
523,6
526,25
527,25
528,25
529,5
530,9
531,1
537,7
538,45
538,47
538,46
539,45
539,47
539,48
540,46
540,47
540,48
541,9
542,29
549,9
551,11
552,15
553,15
561,2
561,3
562,12
564,18
566,29
569,14
570,12
571,13
572,14
574,29
575,26
575,30
646,38
647,37
778,37
648,37
648,39
649,38
650,40
650,39
779,40
779,39
651,39
652,36
653,38
658,72
659,72
660,71
780,71
661,71
781,71
662,71
782,71
663,71
664,71
783,71
665,71
666,71
667,71
784,71
668,71
669,71
670,71
671,72
785,72
672,72
786,72
673,72
787,72
674,72
788,72
675,72
789,72
676,72
790,72
678,77
678,76
791,77
791,76
679,73
680,75
680,73
680,76
681,73
682,76
792,76
683,79
793,79
684,27
686,30
687,27
693,44
805,3
806,4
806,2
807,1
814,1
815,2
815,3
815,1
816,51
817,1
817,2
820,3
821,2
823,31
824,51
825,31
825,35
828,31
828,32
830,32
833,12
835,7
838,1
839,51
841,25
843,44
844,44
845,79
847,9
848,11
849,13
850,11
851,12
852,12
853,5
854,86
855,84
856,12
856,14
857,11
861,9
869,26
877,41
877,44
878,41
878,43
880,45
880,46
880,47
886,15
893,43
897,55
898,6
899,43
899,44
900,43
901,41
901,44
903,4
904,48
904,45
905,6
906,44
907,48
908,45
908,46
908,47
909,15
911,46
911,47
914,28
915,16
921,27
925,6
926,5
927,6
928,6
928,5
929,5
930,6
931,17
932,17
934,6
935,9
936,5
936,6
937,12
937,11
938,6
939,11
941,6
941,8
942,6
946,29
947,30
948,29
949,27
951,26
951,27
963,29
963,30
974,75
975,1
975,71
976,1
977,71
978,71
979,71
980,40
981,40
982,38
983,37
984,38
985,37
985,36
986,37
987,37
988,37
989,37
990,40
991,39
992,39
993,40
994,40
995,37
996,5
996,79
997,79
998,79
999,37
1000,37
1000,36
1000,40
1000,75
1000,39
1000,77
1000,73
1000,38
1000,71
1,10
2,9
3,18
4,9
5,2
5,3
6,3
6,4
6,2
7,1
8,5
10,2
11,2
11,3
11,4
12,25
13,22
13,23
13,25
14,22
14,24
15,2
16,24
17,4
17,2
18,1
19,2
20,8
21,2
22,6
23,6
24,6
25,8
25,6
26,7
27,9
28,11
28,12
29,11
30,13
31,19
32,19
33,19
34,18
35,17
36,18
37,20
38,20
39,16
40,19
41,19
42,16
43,16
44,31
44,35
45,31
46,36
46,37
47,39
47,37
48,37
48,38
48,39
48,40
49,40
50,37
51,37
51,39
52,40
52,39
1000,72
1000,74
1000,76
1000,79
1001,71
1002,72
1059,37
1059,38
