fk_id_milestone,fk_id_oics,is_primary
1271,324,1
1572,326,1
1202,328,1
1179,341,1
1609,395,1
1519,396,1
1593,397,1
1613,398,1
1391,402,1
1385,403,1
1310,405,1
1385,415,1
1377,416,1
1377,417,1
1377,418,1
1402,419,1
1403,419,0
1377,420,1
1385,421,1
1385,423,1
1377,424,1
1391,429,1
1391,434,1
1359,438,1
1420,439,1
1302,441,1
1216,442,1
3034,443,1
1456,443,0
1431,446,1
3034,449,0
1456,449,0
3034,450,0
1456,450,0
1302,453,1
1194,454,1
1310,455,0
1311,455,1
1466,458,1
1456,459,0
3034,459,1
2413,467,1
1622,468,1
1612,469,1
1613,470,0
1611,470,1
1236,473,1
2028,474,1
1519,476,1
1593,479,1
1562,488,1
1366,492,1
1593,493,1
1370,496,1
1307,500,1
1279,501,1
1372,505,1
1525,507,1
1400,508,1
1399,508,0
1599,511,1
2377,516,1
1285,520,1
1609,521,1
1607,521,0
1609,522,1
1564,523,1
1593,523,0
1609,530,1
1607,530,0
1610,541,1
1607,549,1
1610,549,0
1379,551,1
1180,561,1
1622,561,0
1393,562,1
1312,564,1
1421,569,1
1406,570,1
1409,571,1
1566,674,1
1179,306,1
