fk_id_oics,fk_id_sdg
95,158
95,8
95,12
95,16
95,20
97,8
97,12
97,16
97,20
114,177
114,179
116,116
116,159
306,152
306,154
306,175
324,3
324,6
324,107
324,123
711,152
711,154
711,175
163,158
164,8
164,12
164,16
164,20
164,176
164,178
165,109
165,25
165,137
165,150
712,109
712,25
712,137
712,150
326,138
326,140
326,163
166,147
166,156
166,170
166,171
166,173
166,180
166,182
166,184
166,41
166,118
166,131
166,132
167,108
167,24
167,109
167,25
168,136
168,149
168,109
168,25
328,116
328,159
328,148
328,157
328,172
328,174
328,181
328,183
328,185
328,107
328,123
330,160
330,10
330,14
330,18
330,22
341,8
341,12
341,16
341,20
341,10
341,14
341,18
341,22
341,152
341,154
341,175
180,33
180,113
180,8
180,12
180,16
180,20
181,142
181,33
181,113
182,1
182,4
182,30
182,110
184,10
184,14
184,18
184,22
187,152
187,154
187,175
717,152
717,154
717,175
189,114
189,162
189,164
189,165
395,160
395,114
395,162
395,2
395,5
395,139
395,141
191,32
191,112
191,41
191,118
191,131
191,132
192,177
192,179
192,128
194,160
195,152
195,154
195,175
195,9
195,13
195,17
195,21
195,155
396,152
396,154
396,175
396,136
396,149
196,41
196,118
196,131
196,132
196,1
196,4
196,30
196,110
718,41
718,118
718,131
718,132
718,1
718,4
718,30
718,110
718,32
718,112
197,109
197,25
197,137
197,150
198,109
198,25
198,137
198,150
199,109
199,25
199,7
199,11
199,15
199,19
200,109
200,25
200,7
200,11
200,15
200,19
201,42
201,119
201,133
201,152
201,154
201,175
202,42
202,119
202,133
202,152
202,154
202,175
203,42
203,119
203,133
203,177
203,179
397,152
397,154
397,175
397,177
397,179
204,152
204,154
204,175
205,41
205,118
205,131
205,132
205,32
205,112
206,42
206,119
206,133
206,152
206,154
206,175
207,152
207,154
207,175
208,42
208,119
208,133
208,107
208,123
209,42
209,119
209,133
719,42
719,119
719,133
719,33
719,113
210,107
210,123
210,177
210,179
398,107
398,123
398,3
398,6
720,115
720,52
720,53
720,125
720,126
720,127
720,144
720,146
211,147
211,156
211,170
211,171
211,173
