fk_id_policy_info,fk_id_sdg,is_primary
25,152,0
25,154,0
25,175,0
25,9,0
25,13,0
25,17,0
25,21,0
25,155,0
26,152,0
26,154,0
26,175,0
27,134,0
27,158,0
28,152,0
28,154,0
28,175,0
29,177,0
29,179,0
30,116,0
30,159,0
31,177,0
31,179,0
31,134,0
33,177,0
33,179,0
33,152,1
33,154,1
33,175,1
32,177,0
32,179,0
32,42,0
32,119,0
32,133,0
34,152,0
34,154,0
34,175,0
35,42,0
35,119,0
35,133,0
35,152,0
35,154,0
35,175,0
36,152,0
36,154,0
36,175,0
38,147,0
38,156,0
38,170,0
38,171,0
38,173,0
38,180,0
38,182,0
38,184,0
38,137,1
38,150,1
37,147,0
37,156,0
37,170,0
37,171,0
37,173,0
37,180,0
37,182,0
37,184,0
39,109,0
39,25,0
39,108,0
39,24,0
40,108,0
40,24,0
40,109,0
40,25,0
41,152,0
41,154,0
41,175,0
42,176,0
42,178,0
43,108,0
43,24,0
43,42,0
43,119,0
43,133,0
44,152,0
44,154,0
44,175,0
45,10,0
45,14,0
45,18,0
45,22,0
46,152,0
46,154,0
46,175,0
47,152,0
47,154,0
47,175,0
48,152,0
48,154,0
48,175,0
49,107,0
49,123,0
49,42,0
49,119,0
49,133,0
50,41,0
50,118,0
50,131,0
50,132,0
50,32,0
50,112,0
51,42,0
51,119,0
51,133,0
51,152,0
51,154,0
51,175,0
52,42,0
52,119,0
52,133,0
52,152,0
52,154,0
52,175,0
53,152,0
53,154,0
53,175,0
54,3,0
54,6,0
55,116,0
55,159,0
56,109,0
56,25,0
56,7,0
56,11,0
56,15,0
56,19,0
57,152,0
57,154,0
57,175,0
59,158,0
59,116,0
59,159,0
60,33,0
60,113,0
60,152,0
60,154,0
60,175,0
404,33,0
404,113,0
404,152,1
404,154,1
404,175,1
404,115,0
404,52,0
404,53,0
404,125,0
404,126,0
404,127,0
404,144,0
404,146,0
61,152,0
61,154,0
61,175,0
61,9,0
61,13,0
61,17,0
61,21,0
61,155,0
62,152,0
62,154,0
62,175,0
405,31,1
405,111,1
405,120,1
405,135,1
405,134,0
63,31,0
63,111,0
63,120,0
63,135,0
63,134,0
64,3,0
64,6,0
65,152,0
65,154,0
65,175,0
1,152,1
1,154,1
1,175,1
66,147,0
66,156,0
66,170,0
66,171,0
66,173,0
66,180,0
66,182,0
66,184,0
67,109,0
67,25,0
67,137,0
67,150,0
69,152,0
69,154,0
69,175,0
69,32,0
69,112,0
70,45,0
70,46,0
70,121,0
70,143,0
70,145,0
71,152,0
71,154,0
71,175,0
71,9,0
71,13,0
71,17,0
71,21,0
71,155,0
72,107,0
72,123,0
72,42,0
72,119,0
72,133,0
73,107,0
73,123,0
73,42,0
73,119,0
73,133,0
74,107,0
74,123,0
74,42,0
74,119,0
74,133,0
