fk_id_srf_target,fk_id_oics
1,97
3,97
1,115
8,115
8,116
1,18
1,164
2,20
4,20
6,39
6,42
6,43
1,180
3,180
1,181
3,181
8,182
1,184
9,189
3,191
2,197
4,197
2,198
4,198
2,199
4,199
2,200
4,200
1,205
3,205
10,211
4,212
2,212
1,219
3,219
7,220
8,220
3,221
7,221
2,222
2,223
1,227
2,227
3,228
2,228
1,229
3,229
3,230
2,230
8,241
4,245
7,248
8,248
7,257
2,258
7,259
7,261
2,262
1,263
2,263
3,264
4,264
1,276
1,277
1,278
5,280
5,281
1,284
2,284
1,286
5,289
1,290
3,291
1,292
5,293
2,2
1,3
2,4
3,5
7,5
8,5
8,6
1,7
3,8
4,8
3,10
7,11
8,11
2,12
2,13
2,14
4,15
2,16
1,17
1,18
2,19
2,20
1,21
2,25
3,26
2,28
9,28
9,29
7,30
4,31
5,32
5,33
1,34
5,35
1,36
1,37
1,38
6,39
5,40
5,41
6,42
6,43
1,44
2,44
2,45
1,46
5,47
1,48
2,48
2,49
1,51
5,51
2,52
