pk_id_milestone,version,date_from,date_to,"pk","milestone_id","milestone_title",milestone_year,"outcome_description",outcome_target_year
0,1,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10017_62","10017","Improve consumer acceptability of high flour extraction rate and whole grain flour",2018,"4.10 Smallholder farmers adopted and adapted SI practices and products",2022
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10029_62","10029","Smart mechanization lessons learnt routinely applied in other FP4 projects",2018,"4.10 Smallholder farmers adopted and adapted SI practices and products",2022
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10053_61","10053","Valuing tree genetic resources and feasibility of conservation for more productive and resilient tropical agroforest landscapes and their importance for delivering SDGs with 3-5 institutions in three regions",2018,"Managers and policy makers adopt effective monitoring methods, tools and practices to mitigate threats to valuable tree genetic resources, and implement suitable safeguarding strategies in line with international initiatives, such as the Global Plan of Action for Forest Genetic Resources and the Global Strategy on Conservation and Use of Cacao Genetic Resources",2022
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10125_61","10125","Integrating new and orphan food trees into evolving African food systems using optimum domestication approaches with 3-5 institutions in three regions",2018,"Agricultural and horticultural research partners adopt cost-effective domestication approaches for priority tree species, based on impacts and maximizing efficiency, and considering trade-offs involved in intensification",2022
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10197_61","10197","Policy measures,  regulatory frameworks, decision support tools, and mass breeding of reproductive material in support of application of appropriate tree genetic resource portfolios in production systems, for landscape restoration and biodiversity conservation with 3-5 institutions in three regions",2018,"National governments, extension services and private partners adopt cost-effective and equitable tree planting material delivery pipelines, with appropriate decision-support tools, to supply high quality site-appropriate tree planting material to smallholders and other growers",2022
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10269_61","10269","Return on investment in ecological infrastructure through market based agroforestry demonstrated in at least two countries.",2018,"Improved food security and livelihood opportunities for 20 million smallholder households (100 million people) and more productive and equitable management of natural resources over an area of at least 50 million ha. This outcome integrates some outputs from other research clusters through their scaling.",2022
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10341_61","10341","National and community level farm-forest policy innovations generated in at least three countries.",2018,"Improved livelihood opportunities involving timber, fruit and NTFPs contributing a 25% increase in income for over 5 million people and more equitable management of natural resources, including a 25% increase in women’s participation in decisions involving tree and forest management and utilization and improvement in substantive representation of women in community forest management institutions.",2022
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10413_61","10413","Diversification options for tree crop commodity production systems and participatory trials to evaluate them designed in at least two countries.",2018,"Diversified tree-crop production systems covering 5 million ha and improving diets and livelihood opportunities for 20 million people in smallholder producer households.",2022
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10485_61","10485","Models predicting impacts of agroecological intensification options on livelihood outcomes in dryland systems developed for scaling domains in at least two countries.",2018,"Increased access to diverse, nutrient-rich food for 20 million people by closing yield gaps by trees in agricultural systems, improving and maintaining soil health, intensifying system interactions (fodder and fuelwood), directly contributing to production, reducing and reversing land degradation, and increasing the resilience of smallholder livelihoods.",2022
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10557_61","10557","Strategy for development of climate smart silvopastoral systems developed.",2018,"Reducing yield gaps through improved pasture management and animal husbandry on over 15 million ha and 1 million animals and contributing to reducing and reversing land degradation on over 5 million ha.",2022
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10629_61","10629","Completed assessment of the implementation gaps, challenges and opportunities in sustainable value chain governance with analysis social, economic and environmental impacts (based on key select indicators) in at least five landscapes",2018,"Public and private actors adopt effective governance arrangements, mechanisms and tools for ensuring sustainable, inclusive, equitable commodity supply in at least three countries.",2022
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10701_61","10701","Platforms that involve private sector actors from three sectors relevent to our research are informed about the socio-environmental performance of value chain and business models ",2018,"Five business platforms and 20 businesses and service providers develop and implement business models that are more inclusive, economically viable and environmentally sustainable.",2022
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1072_56","1072","Structural & functional farm household and farming systems typologies developed across/within sites for targeting CSA technologies and practices and potential domains for targeting CSA options identified and refined in EA and SA",2018,"50 site-specific targeted CSA options (technologies, practices and services) tested and examined for their gender implications",2022
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10773_61","10773","Developed a conceptual framework for inclusive financing of landscapes and value chains taking stock of current development of financing landscape initiatives, approaches and modes of operation for inclusive landscape financing",2018,"At least 30% of financial service providers lending to timber, tree and agricultural crops adopt ESG criteria, and increase in 25% the lending to models that integrate smallholders and SMEs.",2022
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10845_61","10845","Adjustments to portfolio of sentinel landscapes for round-2 characterization based on explicit account of represen-tativeness for wider domains, track record of connecting results to local development planning (local governments and external supporting agencies) and interventions balancing livelihood opportunities and reversal of land degradation and deforestation. Decision support tools for prioritizing sites and defining objectives for restoration of forests, at the landscape and local scale, tested and adopted in three priority countries.
",2018,"(Sub)national governance systems in at least 10 countries use contextualized theories of change to guide transitions to integral achievement of sustainable development goals through restoration, conservation and management of landscape multi-functionality, using similarity domains based on patterns and intensities of forest and tree cover change in space and time in sentinel landscapes understood on the basis of 'drivers' that operate at larger scales.",2022
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1085_56","1085","Participatory ex-ante scenario assessment conducted to understand possible trajectories towards incorporation of CSAP portfolios within gender differentiated livelihoods, Multi-temporal scale prediction of best CSP in LAM",2018,"50 site-specific targeted CSA options (technologies, practices and services) tested and examined for their gender implications",2022
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10917_61","10917","Synthesis of options for achieving Aichi targets of biodiversity conservation through managed transition zones around protected areas, landscape connectivity and ecological corridors and development zoning utiizing full spectrum of FTA land use systems",2018,"(Sub)national governance systems in landscapes covering 100 M ha and inhabited by 70 M people use quantified and valued functions of FT&A for biodiversity, full hydrological cycle and ecosystem services analyzed across knowledge domains and available for policy-level synthesis and planning.",2022
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"10989_61","10989","Evidence on the contribution of nutritious foods from forests, trees and mosaic landscapes to healthy diets produced and shared at national levels, in international fora, and to general audiences.",2018,"Diverse diets from tree cover in mosaic landscapes recognized and enhanced as contributions to balanced diets through Increase of availability, and access to, nutrient-rich wild and cultivated food products from these landscapes (10 sentinel landscapes 10 M people).",2022
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11061_61","11061","Reflection on the multi-scale character of the 'common but differentiated responsibility' phrase that so far is primarily used at international negotiation tables but that may increase space for local adaptive landscape management.",2018,"Adaptive landscape institutions empowered and supported on 6 M ha inhabited by 4 M people to manage changing landscape mosaics towards more balanced and adaptive multifunctionality and successful 'forest landscape restoration' through 'action research' and inclusive, participatory learning. This is aligned with efforts in PIM.5.2 -oe6 million hectares of shared landscapes under more productive and equitable management.",2022
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"110_56","110","State of the art multi-level scenarios methodology is tested by downscaling scenarios to national/state levels and including food and nutrition security modelling outputs tools are developed for different audiences",2018,"# of organisations and institutions in selected countries/states adapting plans and directing investment to optimise consumption of diverse nutrient-rich foods, with all plans and investments examined for their gender implications",2022
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11133_61","11133","Research on avoided emissions from deforestation/degradation, forest restoration and enhanced forest carbon sink capacity, and their development implications, available and used (e.g. in the Bonn Challenge; NDCs, REDD+)",2018,"Efficient, effective and equitable climate national and international mitigation policies and funding, aligned with development objectives (3E+ goals).",2022
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11205_61","11205","Approaches and tools for risk and vulnerability assessment for both people and forests to climate change made available and used, e.g. in the 'loss and damage' debate",2018,"Risk-assessed ecosystem-based adaptation (EbA) policy and practice in place including joint mitigation and adaptation approaches.",2022
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11277_61","11277","Analysis of options for  bioenergy production to understand land allocation to bioenergy production concluded and used in national policies",2018,"Food and bioenergy production policy and practice integrated more visibly in the intervention areas.",2022
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11349_61","11349","Performance assessment of carbon and non-carbon outcomes of mitigation policies and practices carried out, and methods refined, e.g. for use in multi-stakeholder platforms.",2018,"Performance assessment of mitigation and adaptation policy and practice widely implemented following good evaluation practice.",2022
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"11481_62","11481","Rapid value chain assessments with proper gender lens conducted to identify opportunities and bottlenecks in WHEAT",2018,"1.9 Last mile provider (extension partners, farmers organizations, community-based organizations, private sector) increased access and promotion of technologies to farmers",2022
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1228_56","1228","CSA technologies/practices successfully piloted in 1000 out-scale sites in SA by 2 sub-national governments and private sector agencies and 3 strategic public-private partnerships established in East and West Africa for wide scale adoption for at least 300,000 farmers)",2018,"6 million farm households receiving incentives (training, financial, programmatic, policy-related) for adopting CSA related practices and technologies that potentially reduce production risks with increased benefits for women",2022
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"123_56","123","Combined climate and food and nutrition security scenarios are developed and being used for multilevel policy development in selected countries/states, with the process started in 1 country to effect relevant policy change that takes into account gender dimensions with appropriate MEL systems on policy effectiveness in place",2018,"# of organisations and institutions in selected countries/states adapting plans and directing investment to optimise consumption of diverse nutrient-rich foods, with all plans and investments examined for their gender implications",2022
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1241_56","1241","Climate sensitive extension schemes and climate-site-specific advisory systems for farmers tested across CSVs in WA, EA, SA and LAM.",2018,"6 million farm households receiving incentives (training, financial, programmatic, policy-related) for adopting CSA related practices and technologies that potentially reduce production risks with increased benefits for women",2022
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1358_56","1358","Piloting of livestock intensification options in Brazil with analysis of producer incentives",2018,"# of million hectares targeted by research-informed initiatives for restoring degraded land or preventing deforestation",2022
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1475_56","1475","Piloting of economic and social incentives to adopt mitigation practices (livestock, rice, fertilizer, soil management )",2018,"# of low emissions plans developed that have significant mitigation potential for 2030, i.e. will contribute to at least 5% GHG emissions reduction or reach at least 10,000 farmers, with all plans examined for their gender implications",2022
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1488_56","1488","Proof of concept of mitigation practices for N management, rice, and livestock provided to focal countries based on field trials and scenarios",2018,"# of low emissions plans developed that have significant mitigation potential for 2030, i.e. will contribute to at least 5% GHG emissions reduction or reach at least 10,000 farmers, with all plans examined for their gender implications",2022
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1501_56","1501","Improved options for global donors to support LED and agricultural climate readiness, with options examined for gender implications",2018,"# of low emissions plans developed that have significant mitigation potential for 2030, i.e. will contribute to at least 5% GHG emissions reduction or reach at least 10,000 farmers, with all plans examined for their gender implications",2022
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1618_56","1618","Comparison of LED-related livelihood options for women and their mitigation co-benefits (e.g. in dairy sector)",2018,"# of organisations adapting their plans or directing investment to increase women's participation in decision-making about LED in agriculture",2022
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16594_57","16594","Use of insurance products developed by PIM expands in 1 country",2018,"New insurance products are being used by smallholder farmers in 3 countries",2022
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16622_60","16622","GHG baseline emissions are published for Kenya and Vietnam by the end of 2018.",2018,"4.1 Environmental concerns are considered in decision making across at least 10 priority countries and other locations, by national and international development partners, government agencies and extension systems, including technology developers seeking to improve cattle, small ruminant and pig production. ",2022
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16632_60","16632","Three forage intensification options adapted to climate change are disseminated in Tanzania, Kenya and Ethiopia by the end of 2018.",2018,"4.2 Targeted solutions are used by research and development partners, across at least 10 priority countries and other locations, to increase the productivity of cattle, small ruminants and pigs in the face of ongoing environmental changes. ",2022
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16642_60","16642","Five sustainable rangelands interventions in Kenya, Tanzania, Tunisia and Ethiopia are identified, tested and disseminated to livestock producers by the end of 2018.",2018,"4.3 Government agencies and development partners at local and national levels across at least 10 priority countries and other locations are promoting environmental management options.",2022
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16652_60","16652","Dissemination of manuals, tools and land use planning processes for rangeland management in Tunisia, Kenya and Tanzania.",2018,"4.5 National government agencies across at least 5 priority countries design and implement key policies to improve the environmental management of livestock systems",2022
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16662_60","16662","Research and development partners, decision makers and input suppliers use at least 2 tools designed or promoted by the CRP (e.g. Legume CHOICE) for regional and national feed supply and demand scenarios in 2 priority countries (Vietnam, Ethiopia). Awareness of research partners increased through promotion of CRP generated knowledge through 3 issues of the Tropical Grasslands journal.",2018,"Outcome 3.1 - Local, national and international research and development partners, the private sector, decision-makers and livestock producers are able to diagnose feed constraints and opportunities and to effectively prioritize and target feed and forage interventions, resulting in: a 10% improvement in utilization of feeds and forages, a 20% increase in animal production using improved feed and forage technologies, a 10% accuracy increase for biomass and quality estimation and at least 250,000 annual visitors to global databases, repositories, interactive tools and maps and the Tropical Grasslands/Forrajes Tropicales journal website.",2022
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16673_60","16673","1 Urochloa hybrid commercialized by the private sector. Already available forage hybrids scaled with private sector partner in at least 15 countries on 100,000 hectares.",2018,"Outcome 3.3 - National and international research and development partners and the private sector are using CRP developed forage and rangeland resources (with enhanced traits), in 30 countries and reaching producers who plant over 2 million ha, to increase the rate of genetic gain and exploit the genetic diversity of forages and rangeland species to enhance stress-tolerance, biomass productivity and nutritive value.",2022
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"16674_60","16674","3 forage ontologies established and accessible to research partners and the private sector to advance selection and breeding of forages.",2018,"Outcome 3.3 - National and international research and development partners and the private sector are using CRP developed forage and rangeland resources (with enhanced traits), in 30 countries and reaching producers who plant over 2 million ha, to increase the rate of genetic gain and exploit the genetic diversity of forages and rangeland species to enhance stress-tolerance, biomass productivity and nutritive value.",2022
