pk_id_milestone_status_info,version,date_from,date_to,id,"outcome_sumary","milestone_evidence","other_reason","gender_justification","youth_justification","capdev_justification","climate_justification"
0,1,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,88,"Official document from Andhra Pradesh, India, State Level Coordination Committee on Crop Insurance (SLCCI) in 2018 mentioned IRRI Satellite based rice monitoring system to be used to support the ‘Pradhan Mantri Fasal Bima Yojana’ (PMFBY) crop insurance program for paddy. SLCCI is a legal entity in India responsible for elaborating and implementing crop insurance schemes in that state.&nbsp;IRRI’s key partner in Tamil Nadu, Tamil Nadu Agricultural University, registered as member of the State Level Coordination Committee on Crop Insurance. This allow for continued contribution of satellite-based rice monitoring technology in the PMFBY crop insurance program.","http://news.irri.org/2017/02/satellite-based-monitoring-system-to.html

https://www.asean-agrifood.org/press-release-satellite-technology-expedites-insurance-payouts-in-indias-crop-insurance-programme/

http://news.irri.org/2017/02/satellite-based-monitoring-system-to.html
",,"NA","NA","Trainin provided to partners to manage teh system","Crop insurance and food security aim to alleviate effects of climate change"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,89,"Evidence in Ecuador for female participation in adoption and sowing of improved rice varieties.&nbsp;In Cote d’Ivoire and Madagascar empowering the rural women not only make them economically empowered, but also help them to get credit for productive work. In Nigeria, it is possible for women to run profitable businesses, but some constraints remain: lack of awareness, skills, capital, basic business tools/equipment and the perception of gender-specific nature of some activities.","https://cgspace.cgiar.org/handle/10568/78294. This is only for the Ecuador component; no evidence published yet for Nigeria and Madagascar",,"see title; explicit focus on understanding and strengthening the role of women in rice value chain/production","see title; explicit focus on understanding and strengthening the role of youth in rice value chains/production","NA","NA"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,90,"The Economic Rice Observatory has incorporated additional indicators to track rice value chain information and withdraw policy lessons across the region. This initiative is supported by the Latin American Confederation of Entities of Rice (CELARROZ) which is interested into diverse market-related research topics. Well-functioning multi-stakeholder innovation platforms (IP) with active local IP coordination and facilitation teams have been established in Nigeria, Benin, Uganda and Madagascar. IPs have also been initiated in Senegal, Ghana and Cote D’Ivoire and are being facilitated to refine their governance structures. Key lessons on IP governance published in peer-reviewed journal articles.","https://flar.org/

Innovation platform and governance of local rice value chains in Benin: Between game of power and internal democracy?; 
doi.org/10.1080/23311932.2018.1433346
",,"NA","NA","NA","NA"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,91,"558 scholars (47% female) were enrolled in long-term degree programs. Around 75,000 people (37% female) participated in short-term training courses and capacity-development events.","http://www.grisp.net/file_cabinet/folders/270452",,"30% women","Young scholars","purpose of scholars!","NA"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,92,"18 tons of foundation seed delivered to seed Small and Medium Enterprises (SMEs) for onward multiplication to certified seed which will eventually be made available to farmers. With an expected production of 1,080 tons of certified seed this can potentially reach 43,200 farmers.&nbsp;Seed and variety dissemination roadmaps were developed for Burkina Faso, Gambia, Guinea, Mali, Nigeria, Sierra Leone, Ethiopia, Uganda and Madagascar. In Cote d’Ivoire and Guinea, 20 tons of quality seeds were produced and disseminated.&nbsp;In Bangladesh, in 2017-2018 8.7 ton seeds of improved and stress-tolerant rice varieties were distributed to 2000 farmers.&nbsp;","https://www.researchgate.net/publication/326263766_Impact_of_Submergence-Tolerant_Rice_Varieties_on_Smallholders'_Income_and_Expenditure_Farm-Level_Evidence_from_Bangladesh",,"50% women targeted","young farmers reached","NA","Stress-tolerant variety seed disseminated"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,93,"Too many results to synthesize in this box; see sections on MELIA in RICE synthesis report. Examples: Adoption of Rice Crop Manager recommendations produced an income gain of 100-200 US$/ha in Asia, with about 1.3 M recommendations in Philippines and 55,000 in India. RiceAdvice in Sub-Saharan Africa has been used about 40,000 times. In Africa, the adoption of the ‘smart-valley approach’ increased yield by 0.9 t/ha and income by 267 US$/ha. Surveys conducted among rice chain actors in the Bouake region of Cote d’Ivoire revealed that about 44% of farmers have adopted/used at least one variety from AfricaRice in 2018.","https://csisa.org/wp-content/uploads/sites/2/2018/12/CSISA-III-BD-NP-USAID-annual-report_2017-18.pdf

http://congresos-rohr.com/arroz-en/index_htm_files/KAZUKI%20SAITO.pdf

http://www.grisp.net/file_cabinet/files/941898/download/2018_AnnualProgressReport%20CORIGAP.pdf?m=1551320606

https://www.sciencedirect.com/science/article/pii/S0378429018300868

https://ageconsearch.umn.edu/record/274356/files/Abstracts_18_05_22_22_08_07_70__202_123_56_189_0.pdf

https://link.springer.com/chapter/10.1007%2F978-3-319-77878-5_11

http://data.africarice.org/RiceStatistics.php
",,"G and Y are specifically targeted in delivery of NRM","G and Y are specifically targeted in delivery of NRM","Training to farmers","Most NRM technologies are climate-smart options"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,94,"The RICE CRP has adopted in 2018 the MARLO system as platform of management information system for planning and reporting. MARLO Training for senior RICE staff was organized during the MELIAG workshop in September, 2018.  

The RICE progress indicator report was completed in 2018 and is now available at www.grisp.net.

IRRI initiated an institute wide impact oriented Monitoring and Evaluation strategy (IOMEL). The strategy is still at its early stage of implementation.

On September 3-6, 2018 the Monitoring Evaluation, Learning, impact assessment and gender annual workshop was held in Bangkok.
","https://marlo.cgiar.org/Rice/crpDashboard.do?edit=true (accessible to RICE members)

http://www.grisp.net/file_cabinet/folders/267850

http://www.grisp.net/file_cabinet/files/954866/download/2018-Sep%203%20to%206%20MELIAG%20Meeting%20Bangkok%20final.pdf?m=1560072408",,"NA","NA","Training is needed to learn MARLO; learning components makes capdev implicit","NA"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,95,"This milestone has made significant progress in West Africa but has been extended because not all the sites have been covered particularly in East Africa. Also, one of the scientists involved in this task resigned and has just been recently replaced.","Insufficient finances to complete Also, one of the scientists involved in this task resigned and has just been recently replaced.",,"Many women and youth are explicitly targeted","Many women and youth are explicitly targeted","At this stage, NA","NA"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,96,"This milestone has made significant progress in West Africa but has been extended because not all the sites have been covered particularly in East Africa. Also, one of the scientists involved in this task resigned and has just been recently replaced.","Insufficient finances to complete Also, one of the scientists involved in this task resigned and has just been recently replaced.",,"see title","Many youth entrepreneurs targeted","Training on improved system is required","NA"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,97,"This milestone has made significant progress in West Africa but has been extended because not all the sites have been covered particularly in East Africa. Also, one of the scientists involved in this task resigned and has just been recently replaced.","Insufficient finances to complete Also, one of the scientists involved in this task resigned and has just been recently replaced.",,"Many women explicitly targeted","See title of milestone","Training on agribusiness development is required and provided","NA"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,98,"The development of the improved parboiling technology called Grain quality-enhancer, Energy efficient and durable Material (GEM) parboiling technology and piloting in sites in West Africa reduced losses and increased the value of rice by adopters.The coupling of the GEM technology to a rice husk gasifier to create the Mini-GEM has increased the value of rice husk in sites by using it as a parboiling fuel. This activity has been extended because publications on this are being prepared.
","Lack of internal resources (personpower; finances)",,"Parboiling is mainly done by women","Youth are explicitly targeted","training is required and provided to operate the the parbpoilers","NA"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,99,"Prototypes of grain quality-enhancer, energy efficient and durable material (GEM) parboiling technologies using rice husk as fuel and rice husk gasifier stoves for household use with increased gas burning time have been developed. However, testing has been done only for Mini-GEM system in Cote d’Ivoire. Therefore, this activity has been extended to allow for testing in other sites in West and East Africa.","Lack of internal resources (personpower; finances)",,"Mainly women involved in parboiling and cooking at home","Youth are explicitly targeted","training is required and provided to test the new technologies","NA"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,100,"Crop management practices for enhancing rice yield identified in Africa including (1) fertilizer application (Nitrogen, Phosphorus, Potassium; micro-nutrients, zinc, gypsum), (2) water management, and (3) other crop management. Effect of phosphorus and sulphur application on yield and nitrogen use efficiency confirmed, and technologies for improving phosphorus cycling tested in Madagascar.&nbsp;Farmers reached in Asia for improved management practices for irrigated lowland rice increased from 379,000 in 2017 to 612,800 in 2018. Of these 125,000 have reduced their yield gap by &gt;10%.","https://doi.org/10.1016/j.geoderma.2018.11.036
https://doi.org/10.1080/03650340.2018.1552785
https://doi.org/10.1016/j.fcr.2018.02.016
https://doi.org/10.1007/s10705-017-9898-y
https://doi.org/10.3390/w10060711 
https://doi.org/10.1016/j.fcr.2017.02.014
https://doi.org/10.1007/s10333-018-0666-7
http://www.tropentag.de/2018/proceedings/proceedings.pdf
Presentation in IRC
https://doi.org/10.1016/j.fcr.2017.02.005
https://doi.org/10.1016/j.fcr.2018.10.001

",,"Young and female farmers are especially targeted","Young and female farmers are especially targeted","Training on new crop management technologies","New crop management technologies are developed to be climate smart"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,101,"Situations of fertilizer recommendations for rice-based systems in SSA including Senegal reviewed, and farmers’ inputs use including fertilizer quantified in West Africa

Nutrient (NPK) gap for rice yield quantified in Africa&nbsp;&nbsp;
Baseline input use efficiencies quantified, and constraints and opportunities identified using SRP standard/performance indicators in Nigeria

In Vietnam and Myanmar, outreach of increased input use efficiency has been mediated through two World Bank projects that require farmer organizations to meet best practice guidelines before they can avail of financial support for machinery and infra-structure. 
","https://doi.org/10.1007/s10333-018-0649-8
https://doi.org/10.1016/j.fcr.2017.02.014
https://doi.org/10.1016/j.geoderma.2018.11.036
http://www.grisp.net/file_cabinet/folders/271258
https://csisa.org/wp-content/uploads/sites/2/2018/12/CSISA-III-BD-NP-USAID-annual-report_2017-18.pdf

http://www.grisp.net/file_cabinet/files/941898/download/2018_AnnualProgressReport%20CORIGAP.pdf?m=1551320606
",,"Young and female farmers are especially targeted","Young and female farmers are especially targeted","Training on new crop management technologies","New crop management technologies are developed to be climate smart"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,102,"Promising diversification options identified in Cote d’Ivoire, Madagascar, Rwanda, SenegalRice-legumes rotation systems (pigeon pea, mung bean, and stylosanthes) tested, Cote d’IvoireOver 10 short duration vegetables and legumes identified for further development of rice-veg systems in MadagascarA multi-criteria approach revealed the best rotation options for upland rice ecological intensification in MadagascarStylosanthes managed as a living mulch in rice crops showed to be less competitive while controlling the strigaIntroduction of cover/relay crops after wet season rice on the hydromorphic plains, rainfed lowlands and irrigated scheme in CambodiaResearch on rice-fish systems established at three sites Myanmar.","http://www.tropentag.de/2018/abstracts/links/Rajaona_ux7lSiYh.pdf
https://www.scienceforum2018.org/sites/default/files/2018-09/SF18_case_study_irrigated_rice_senegal_0.pdf
http://www.grisp.net/file_cabinet/folders/271258
http://www.ewrs2018.org/programme/book-of-abstracts/
https://doi.org/10.1016/j.agee.2017.12.005
http://www.agroecology-europe.org/abstratcts-talks-posters/
http://gsdm-mg.org/wp-content/files/JAE_6.pdf
",,"Young and female farmers are especially targeted","Young and female farmers are especially targeted","Training on new farming systems technologies","New farming systems are developed to be climate smart"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,103,"Baseline on-farm diets characterized at Madagascar","Partially completed (Madagascar only)",,"Young and female farmers are especially targeted","Young and female farmers are especially targeted","Training on new farming systems technologies","New farming systems are developed to be climate smart"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,104,"Promotion of rice management practices, particularly alternate wetting and drying, in Vietnam, Philippines, and Bangladesh will lead to reduced emission of the greenhouse gas methane as well as to reduced water use","https://csisa.org/wp-content/uploads/sites/2/2018/12/CSISA-III-BD-NP-USAID-annual-report_2017-18.pdf

http://www.grisp.net/file_cabinet/files/941898/download/2018_AnnualProgressReport%20CORIGAP.pdf?m=1551320606
",,"Young and female farmers are especially targeted","Young and female farmers are especially targeted","Farmer and stakeholder training is a major effort of this FP/CoA","Aim of activities is to promote climate-smart crop management practices"
