pk_id_policy_info,version,date_from,date_to,id,"policy_title","pdf","pk","Gender","Youth","CapDev","Climate","description"
0,1,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"Reform of Agricultural Mechanisation Services Enterprise Centers program in Ghana",,"19_102","0 - Not Targeted","0 - Not Targeted","1 - Significant","0 - Not Targeted","Recommendations from PIM were adopted to make Ghana’s main agricultural mechanization program (Ghana's Agricultural Mechanization Service Enterprise Centers) more efficient and inclusive."
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"Egypt's Takaful and Karama Cash Transfer Program (improved targeting criteria)",,"26_57","1 - Significant","0 - Not Targeted","1 - Significant","0 - Not Targeted",
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"Local Technical Agroclimatic Committees as an implementing tool of the Regional Strategy for Disaster Risk Management in the Agriculture Sector and Food and Nutrition Security in Latin America and the Caribbean (2018–2030)",,"41_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","1 - Significant",
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"Mbale District (Uganda) counterfeit agricultural inputs (prohibition) ordinance, 2018. Passed to stem the influx of fake agricultural inputs which was discouraging farmer use and reducing trust in the market.",,"42_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal",
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,47,"Implementation guidelines approved in Benin and Madagascar to operationalize laws adopted in 2017 governing access and benefit sharing of plant genetic resources. National partners in the two countries developed guidelines for the day-to-day operation of these laws, including details about processes, decision making, relationships between agencies with different, but related, responsibilities under the laws",,"47_56","0 - Not Targeted","0 - Not Targeted","2 - Principal","1 - Significant",
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,48,"Two community biocultural protocols aimed at promoting farmers as managers, providers and recipients of genetic materials and developing expertise for climate change adaptation approved by municipal governments in Benin",,"48_56","2 - Principal","0 - Not Targeted","2 - Principal","2 - Principal",
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,49,"Kenya Climate Smart Agriculture Implementation Framework (2018 - 2027)",,"49_56","1 - Significant","1 - Significant","N/A - Not applicable","2 - Principal",
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,54,"National Council on Food Security (CONASAN) approves a community-based food security monitoring and early warning system developed using CCAFS science",,"54_56","1 - Significant","0 - Not Targeted","1 - Significant","2 - Principal",
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,64,"Guideline for mainstreaming climate change adaptation and mitigation in national and sub-national agricultural sector policies and plans in Uganda",,"64_56","2 - Principal","2 - Principal","2 - Principal","2 - Principal",
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,73,"Investment by two Nepalese states in the ""Chief Minister's Climate Smart Agriculture Village Model Program""",,"73_56","1 - Significant","1 - Significant","2 - Principal","2 - Principal",
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,73,"Investment by two Nepalese states in the ""Chief Minister's Climate Smart Agriculture Village Model Program""",,"73_101","0 - Not Targeted","1 - Significant","1 - Significant","2 - Principal","Two state governments in Nepal (State 5 and Gandaki) have so far made an allocation of 700+ million NPR investments for scaling climate-smart villages"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,74,"Supporting Directives and Circulars of the Ministry of Agriculture and Rural Development of Vietnam (MARD) and the Department Crop Production for implementation of Climate-Related Risk Maps and Adaptation Plans (CS-MAP) particularly the adjustment of planting dates",,"74_56","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal",
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,74,"Vietnam government strategy for implementation of Climate-Smart Maps and Adaptation Plans (CS MAP)",,"74_101","0 - Not Targeted","0 - Not Targeted","1 - Significant","2 - Principal","Ministry of Agriculture and Rural Development of Vietnam (MARD) and the Department of Crop Production have supported the implementation of CS-MAP, specifically planting date adjustment in the Mekong River Delta"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,75,"World Bank agricultural investments for improved climate change resilience in the ag sector and reduced contributions to GHG emissions rise from 28% (2016) to 45% (2018) of committed budgets of new agriculture projects ",,"75_56","1 - Significant","1 - Significant","1 - Significant","2 - Principal",
