pk_id_powb_milestone,version,date_from,date_to,id,"pk","title"
0,1,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"1_29","8 stakeholders in relevant policy processes across the 4 focus countries are made aware of A4NH evidence on dietary trends"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"2_29","Food system policies and narratives/discourses thoroughly analyzed in at least 2 focus countries, contributing to an improved understanding of the current research agenda on food systems"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"3_29","Validated metrics and tools for assessing diet quality and characterizing food systems applied by 10 research organizations (partner and external organizations) across the 4 focus countries"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"4_29","At least 2 partners, including value chain actors, participate in the identification and design of at least 2 gender-sensitive interventions aligned with findings from CoA1 to improve diets in Bangladesh and Nigeri"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"5_29","Systematic approach to be used to engage private sector stakeholders in FSHD focus countries"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"6_29","2.5% annual increase in mainstreaming as a percentage of total CGIAR Center efforts for target crop/agroecology"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"7_29","Biofortification included in 3 national/regional policies and 3 country grants/loans from IFIs"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"8_29","Partner and implementing organizations use lessons learned about factors (e.g., gender, equity) facilitating and hindering adoption and consumption of biofortified crops to develop equitable and cost-effect delivery plans"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"9_29","7.5 million HH in HarvestPlus priority countries growing and consuming biofortified crops"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"10_29","Recommendations of molecular marker external review implemented"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"11_29","At least 40 farm-based organizations obtain 5% premium or more from sale of Aflasafe maize and groundnut due to market linkages created by innovation platforms"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"12_29","Policy stakeholders endorse or commit to approaches that draw on A4NH evidence on food safety in informal markets to consider improvements to specific value chain(s)"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"13_29","No milestone in 2018"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"14_29","At least 3 implementing organizations use evidence generated in Phase 1 of A4NH in programming of nutrition- and gender-sensitive agriculture programs"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"15_29","Gender-sensitive diagnostic and priority-setting tools developed and applied in 3 focal countries"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"16_29","No milestone in 2018"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"17_29","FP4 researchers with key partners from SUN, CAADP and others host at least one regional learning event involving participants from at least four focal countries and other CGIAR/CRP researchers"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,"18_29","Stakeholders (farmers and field veterinarians) have access to a validated and semicommercialized pen-side diagnostic assay for cysticercosis"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"19_29","Workshop convening senior national and subregional experts from the health, agriculture and environmental communities to discuss research priorities, including gender and equity issues"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,"20_29","At least 10 research organizations representing natural and social scientists from health and agriculture participate in theme-based workshops which recognize gender and equity issues, and build on partnerships identified in 2015 A4NH regional consultations"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,"21_29","CGIAR antimicrobial resistance platform compiling agricultural-associated antimicrobial resistance research data established, maintained, and used by internal and external stakeholders"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,"22_35","Prototype data analytics environment developed and tested"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,"23_35","GARDIAN (Global Agricultural Research Data Innovation and Acceleration Network) launched with tools for data cataloging and visualization and services to accommodate data privacy, ethics, and licensing issues"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,"24_35","CG Core Metadata Schema v.2.0 finalized and implemented, and/or mapped across Center publications and data repositories"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,"25_35","Materials and webinars developed and/or shared with appropriate CGIAR communities on licensing resources, data privacy and ethics, and data management and standards for maximizing FAIRness (Findability, Accessibility, Interoperability and Reuse) of CGIAR resources"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"26_35","Communities of Practice around geospatial data, socioeconomic data, ontologies, data-driven agronomy, livestock data, and crop modelling establish CoP networks across CGIAR and produce outputs addressing key constraints in data and analytics"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,"27_35","Identify and produce high priority, high impact new data products and develop methodological plan to produce them with initial implementation"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"28_35","Map out CGIAR needs for common big data related computing and storage infrastructure"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"29_35","New Pilot Inspire projects around Big Data related innovations"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"30_26","Training materials are developed and workshops held to strengthen national/state capacities for scenario-based strategic planning, as well as targeted materials for other partner organisations (e.g. NGOs) developed (linked to CoA 1.2)"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"31_26","State of the art multi-level scenarios methodology is tested by downscaling scenarios to national/state levels and including food and nutrition security modelling outputs tools are developed for different audiences"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"32_26","Global and regional models are applied in 2 particular countries facilitating cross-level analyses and used to analyse relationships with other sectors this includes integrating other datasets from household or other levels joint cross-CRP analysis on specific AFS topics are initiated"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"33_26","Gender and social inclusion focused components in CSA priority setting developed and tested; improved modules related to gender and sex-disaggregated output data from the integrated assessment models developed and tested"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"34_26","Novel tools employed in comparative analyses of the effectiveness of current and emerging climate-related food and nutrition security policies, and of science-policy exchange processes and other engagement mechanisms that support climate-smart outcomes and gender equity"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"35_26","10 country profiles in SSA and South Asia developed strategic engagement with subnational government, capacity building and training plan co-developed with Alliance for CSA in Africa (ACSAA) workshops on climate-smart local development planning"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"36_26","Evidence on the gender and youth related motivations, aspirations, opportunities, challenges, and associated benefits related to specific technologies and practices informing subnational adaptation plans and development initiatives addressing gender equity"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"37_26","Multi-stakeholder platforms established including representatives from different groups and actors of the value chain and participatory modeling workshops held with decision makers to create investment portfolios"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"38_26","Structural & functional farm household and farming systems typologies developed across/within sites for targeting CSA technologies and practices and potential domains for targeting CSA options identified and refined in EA and SA"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"39_26","CSA technologies/practices successfully scaled-out in 1000 out-scale sites in SA by 2 sub-national governments and private sector agencies, and 3 strategic (value chains) public-private partnerships identified in West and East Africa to further incentivize wide scale adoption for at least 100,000 farmers"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"40_26","No milestone in 2018"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"41_26","Piloting of economic and social incentives to adopt mitigation practices (livestock, rice, fertilizer, soil management)"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"42_26","Comparison of LED-related livelihood options for women and their mitigation co-benefits (e.g. in dairy sector)"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,43,"43_26","MRV methodology for livestock available to partner countries"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,44,"44_26","Analysis of LED (livestock systems, rice, fertilizer) synergies with food security development and suitability by geographic region, production system and farmer characteristics in 5-8 countries"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,45,"45_26","National planners in at least one country supported to incorporate CCAFS-informed climate services, insurance and/or safety nets into CSA/adaptation investment portfolios for international climate finance providers that meet funding requirements"
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,46,"46_26","Based on assessment of current FP4 project portfolio and opportunities, an adjusted project portfolio will target research and engagement that will lead to increased efforts, by at least 10 additional development organizations, to increase women's participation in decision-making about climate services and safety nets"
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,47,"47_26","National meteorological services and regional climate institutions implement new climate information or climate-related early warning products/platforms targeting agricultural decision-makers, national agricultural research and extension systems, and other farmer intermediary organizations implement new participatory and ICT-based communication channels scaled up for rural climate services"
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,48,"48_26","National/sub-national initiatives incorporate flood insurance products in DRR financing solutions in collaboration with insurance industry and, governments"
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,49,"49_26","Science-policy engagement processes, guidance policy briefs inform new climate service investments in CCAFS regions"
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,50,"50_36","Center leadership and participating breeding programs sign membership agreement documenting commitment to the EiB modernization proces"
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,51,"51_36","Recommendations for strategic and structural division of resources (and activities) between pre-breeding and core breeding activities will be developed. This will include a clear description of the distinction between these activities. These will be posted to the toolbox, presented to senior management during a specific meeting targeting senior management and also to breeding teams during regional visits"
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,52,"52_36","Implementation plans developed and executed for all green-light MAS and GS applications"
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,53,"53_36","Community of practice for highthroughput phenotyping and NIRS established."
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,54,"54_36","(i) Report on the current landscape of databases, bioinformatics capabilities/software, and biometric capabilities/software; (ii) Documented gap analysis for the Year 1-2 case studies; (iii) Existing databases and tools assessed and updated; (iv) Development or acquisition of new database and tools"
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,55,"55_36","Development of best practice documentation for e-learning based on materials used at regional workshops"
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,56,"56_267","New public/private sector partnerships established for tilapia genetic improvement and dissemination in 2 focal countries, one in Asia (Myanmar) and one in Africa (Zambia)."
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,57,"57_267","The benefits of better management practices (disease, feed and husbandry) are assessed and yield limiting factors identified for further improvement in 4 focal countries."
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,58,"58_267","Environmental improvement plans prepared from FISH research to be adopted by public and/or private sector partners in 3 countries; 1 in Africa [Egypt] and 2 in Asia [Bangladesh, Indonesia]."
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,59,"59_267","FISH research has identified business and entrepreneurship approaches and models with potential for scaling within focal countries."
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,60,"60_267","Adaptive management, technology and livelihood interventions identified in marine and inland small-scale fisheries systems in at least 3 FISH focal and/or scaling countries"
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,61,"61_267","New knowledge on gender-sensitive models and gender transformative approaches to livelihood innovations for focal countries"
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,62,"62_267","New knowledge and collaboration on cross-scale governance mechanism, accounting for impacts of external drivers and resource competition"
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,63,"63_31","Valuing tree genetic resources and feasibility of conservation for more productive and resilient tropical agroforest landscapes and their importance for delivering SDGs"
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,64,"64_31","Integrating new and orphan food trees into evolving African food systems using enhanced domestication approaches"
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,65,"65_31","Policy measures, regulatory frameworks, decision support tools, and mass breeding of reproductive material in support of application of appropriate tree genetic resource portfolios in production systems, for landscape restoration and biodiversity conservation"
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,66,"66_31","Options for managing intensive rubber production systems in environmentally sustainable ways in China"
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,67,"67_31","Livelihood system models and predictions of impact from better use of tree resources for at least five countries in Africa, Asia and Latin America"
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,68,"68_31","Impacts of forest policy on socially and economically differentiated groups of actors collated across at least six countries and three regions"
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,69,"69_31","Governance models required to reconcile free grazing of animals with tree regeneration across sub-Saharan Africa evaluated"
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,70,"70_31","Strategy for development of climate smart silvopastoral systems developed"
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,71,"71_31","No milestone in 2018"
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,72,"72_31","Adjustments to portfolio of sentinel landscapes for round-2 characterization based on explicit account of representativeness for wider domains, track record of connecting results to local development planning (local governments and external supporting agencies) and interventions balancing livelihood opportunities and reversal of land degradation and deforestation. Decision support tools for prioritizing sites and defining objectives for restoration of forests, at the landscape and local scale, tested and adopted in three priority countries."
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,73,"73_31","Synthesis of options for achieving Aichi targets of biodiversity conservation through managed transition zones around protected areas, landscape connectivity and ecological corridors and development zoning utilizing full spectrum of FTA land use systems"
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,74,"74_31","Reflection on the multi-scale character of the 'common but differentiated responsibility' phrase that so far is primarily used at international negotiation tables but that may increase space for local adaptive landscape management"
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,75,"75_31","Evidence on the contribution of nutritious foods from forests, trees and mosaic landscapes to healthy diets produced and shared at national levels, in international fora, and to general audiences"
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,76,"76_31","Research on avoided emissions from deforestation/ degradation, forest restoration and enhanced forest carbon sink capacity, and their development implications, available and used (e.g. in the Bonn Challenge; NDCs, REDD+)"
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,77,"77_31","Analysis of options for bioenergy production to understand land allocation to bioenergy production concluded and used in national policies"
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,78,"78_31","Performance assessment of carbon and noncarbon outcomes of mitigation policies and practices carried out, and methods refined, e.g. for use in multi-stakeholder platforms"
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,79,"79_31","Approaches and tools for risk and vulnerability assessment for both people and forests to climate change made available and used, e.g. in the 'loss and damage' debate"
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,80,"80_372","75% clonal accessions safety duplicated"
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,81,"81_372","500 accessions successfully introduced into cryobanks"
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,82,"82_372","100% accessions with DOIs"
