pk_id_powb_outcome,version,date_from,date_to,id,"crp_program_outcome_description"
0,1,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"Key partners, stakeholders, and institutions (including national and local policy makers, private sector, consumer organizations, and other CRPs) are effectively implementing the evidence and lessons learned at scale in their food system related strategies and policy agenda"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"Partners and other CRPs incorporate nutrition, health and gender in agri-food value chains and food systems programs"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"Partners, including value chain actors, use evidence from impact evaluations when making operational and investment decisions"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"Public-private partnerships formed to promote implementation of A4NH strategies for agri-food value chain/food system innovations"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"Biofortification mainstreamed into CGIAR and NARS breeding efforts"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"Biofortification supported by global institutions and incorporated into plans and policies by stakeholders"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"Evidence on nutritional efficacy and impact informs value chain actors, as well as national and international investors"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"High-yielding micronutrient enhanced varieties delivered at scale in priority countries"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"High-yielding micronutrient enhanced varieties developed and released in priority contries"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"Biocontrol and GAP delivered at scale in key countries along with understanding of their impact and appropriate use"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"Key food safety evidence users (donors, academics, INGOs, national policymakers, civil society, and industry) are aware of and use evidence in the support, formulation and/or implementation of pro-poor and risk-based food safety approaches"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"Market-based food safety innovations delivered at scale in key countries along with understanding of their impact and appropriate use"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"Development program implementers and investors (governments, NGOs, UN institutions) use evidence, tools and methods to design and"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"National policymakers and shapers, and stakeholders from different sectors, civil society and industry use evidence to design effective nutrition-sensitive policies, and ensure quality implementation"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"Regional, international and UN agencies and initiatives and investors use evidence, tools and methods to inform decisions and investment strategies to guide and support nutrition-sensitive agricultural programming and nutrition-sensitive policies"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"Researchers and evaluators, including in CGIAR and other CRPs, use evidence, tools and methods to design high-quality evaluations of a range of nutrition-sensitive agricultural and other multisectoral programs, and continue to build evidence"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"Stakeholders from different sectors, governments, UN institutions, civil society and industry, including CGIAR and other CRPs, have improved capacity to generate and use evidence to improve nutrition-sensitive agricultural programming, nutrition-sensitive policymaking and implementation."
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,"Agricultural and public health policymakers and implementers deliver coordinated and effective solutions to cysticercosis and other zoonotic threats"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"Agricultural practices modified to reduce health risks"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,"Agricultural research and funding institutions initiate collaboration with public health counterparts to solve complex intersectoral problems"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,"Public and private sector policymakers implement measures to reduce human and animal health risks from antimicrobial resistance and other interactions"
