pk_id_publication_info,version,date_from,date_to,id,"title","citation","Journal",year,"authors",is_ISI_journal,is_open_access,"pk","volume","issue","pages","DOI","Handle","deliverable_group"
0,1,,,,,,,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000001,"Is production intensification likely to make farm households food-adequate? A simple food availability analysis across smallholder farming systems from East and West Africa.","Ritzema RS, Frelat R, Douxchamps S, Silvestri S, Rufino MC, Herrero M, Giller KE, López-Ridaura S, Teufel N, Birthe P, van Wijk MT. 2017. Is production intensification likely to make farm households food-adequate? A simple food availability analysis across smallholder farming systems from East and West Africa. Food Security 9(1): 115–131."," Food Security 9(1): 115–131.",2017,"Ritzema RS, Frelat R, Douxchamps S, Silvestri S, Rufino MC, Herrero M, Giller KE, López-Ridaura S, Teufel N, Birthe P, van Wijk MT.",1,1,"201700000001_11",,,,"https://doi.org/10.1007/s12571-016-0638-y",,"201700000001"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000002,"Quantifying the contribution of land use to N2O, NO and CO2 fluxes in a montane forest ecosystem of Kenya.","Arias-Navarro C, Díaz-Pinés E, Zuazo P, Rufino MC, Verchot LV, Butterbach-Bahl K. 2017. Quantifying the contribution of land use to N2O, NO and CO2 fluxes in a montane forest ecosystem of Kenya. Biogeochemistry 134(1-2): 95–114."," Biogeochemistry 134(1-2): 95–114.",2017,"Arias-Navarro C, Díaz-Pinés E, Zuazo P, Rufino MC, Verchot LV, Butterbach-Bahl K.",1,1,"201700000002_11",,,,"https://doi.org/10.1007/s10533-017-0348-3",,"201700000002"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000003,"Total and heterotrophic soil respiration in a swamp forest and oil palm plantations on peat in Central Kalimantan, Indonesia.","Hergoualc’h K, Hendry DT, Murdiyarso D, Verchot LV. 2017. Total and heterotrophic soil respiration in a swamp forest and oil palm plantations on peat in Central Kalimantan, Indonesia. Biogeochemistry 135(3): 203-220."," Biogeochemistry 135(3): 203-220.",2017,"Hergoualc’h K, Hendry DT, Murdiyarso D, Verchot LV.",1,1,"201700000003_11",,,,"https://doi.org/10.1007/s10533-017-0363-4",,"201700000003"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000004,"Spatial variability of soil N2O and CO2 fluxes in different topographic positions in a tropical montane forest in Kenya.","Arias-Navarro C, Díaz-Pinés E, Klatt S, Brandt P, Rufino MC, Butterbach-Bahl K, Verchot LV. 2017. Spatial variability of soil N2O and CO2 fluxes in different topographic positions in a tropical montane forest in Kenya. Journal of Geophysical Research: Biogeosciences 122(3):514–527."," Journal of Geophysical Research: Biogeosciences 122(3):514–527.",2017,"Arias-Navarro C, Díaz-Pinés E, Klatt S, Brandt P, Rufino MC, Butterbach-Bahl K, Verchot LV.",1,1,"201700000004_11",,,,"https://doi.org/10.1002/2016JG003667",,"201700000004"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000005,"Improving agricultural knowledge management: The AgTrials experience [version 1; referees: 2 approved] .","Hyman G, Espinosa H, Camargo P, Abreu D, Devare M, Arnaud E, Porter C, Mwanzia L, Sonder K, Traore S. 2017. Improving agricultural knowledge management: The AgTrials experience [version 1; referees: 2 approved] . F1000Research  6:317."," F1000Research  6:317.",2017,"Hyman G, Espinosa H, Camargo P, Abreu D, Devare M, Arnaud E, Porter C, Mwanzia L, Sonder K, Traore S.",1,1,"201700000005_11",,,,"https://doi.org/10.12688/f1000research.11179.1",,"201700000005"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000006,"Costs and benefits of climate-smart agriculture: The case of the dry corridor in Guatemala .","Sain G, Loboguerrero AM, Corner-Dolloff C, Lizarazo M, Nowak A, Martínez-Barón D, Andrieu N. 2016. Costs and benefits of climate-smart agriculture: The case of the dry corridor in Guatemala . Agricultural Systems 151: 163-173."," Agricultural Systems 151: 163-173.",2017,"Sain G, Loboguerrero AM, Corner-Dolloff C, Lizarazo M, Nowak A, Martínez-Barón D, Andrieu N.",0,1,"201700000006_11",,,,"https://doi.org/10.1016/j.agsy.2016.05.004",,"201700000006"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000007,"Exploring the governance and politics of transformations towards sustainability.","Patterson J, Schulz K, Vervoort J, van der Held S, Widerberg O, Adler C, Hurlbert M, Andertong K, Sethi M, Barauj A. 2017. Exploring the governance and politics of transformations towards sustainability. Environmental Innovation and Societal Transitions 24: 1-16."," Environmental Innovation and Societal Transitions 24: 1-16.",2017,"Patterson J, Schulz K, Vervoort J, van der Held S, Widerberg O, Adler C, Hurlbert M, Andertong K, Sethi M, Barauj A.",1,1,"201700000007_11",,,,"https://doi.org/10.1016/j.eist.2016.09.001",,"201700000007"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000008,"Exploring future agricultural development and biodiversity in Uganda, Rwanda and Burundi: a spatially explicit scenario-based assessment.","van Soesbergen A, Arnell AP, Sassen M, Stuch B, Schaldach R, Göpel J, Vervoort J, Mason-D'Croz D, Islam S, Palazzo A. 2017. Exploring future agricultural development and biodiversity in Uganda, Rwanda and Burundi: a spatially explicit scenario-based assessment. Regional Environmental Change 17(5): 1409–1420."," Regional Environmental Change 17(5): 1409–1420.",2017,"van Soesbergen A, Arnell AP, Sassen M, Stuch B, Schaldach R, Göpel J, Vervoort J, Mason-D'Croz D, Islam S, Palazzo A.",1,1,"201700000008_11",,,,"https://doi.org/10.1007/s10113-016-0983-6",,"201700000008"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000009,"CCAFS-MOT - A tool for farmers, extension services and policy-advisors to identify mitigation options for agriculture.","Feliciano D, Nayak DR, Vetter SH, Hillier J. 2017. CCAFS-MOT - A tool for farmers, extension services and policy-advisors to identify mitigation options for agriculture. Agriculture Systems 154:100-111."," Agriculture Systems 154:100-111.",2017,"Feliciano D, Nayak DR, Vetter SH, Hillier J.",1,1,"201700000009_11",,,,"https://doi.org/10.1016/j.agsy.2017.03.006",,"201700000009"
