pk_id_publication_info,version,date_from,date_to,id,"title","citation","Journal",year,"authors",is_ISI_journal,is_open_access,"pk","volume","issue","pages","DOI","Handle","deliverable_group"
0,1,,,,,,,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,269,"Nitrous oxide (N2O) flux responds exponentially to nitrogen fertilizer in irrigated wheat in the Yaqui Valley, Mexico","Millar, N., Urrea, A., Kahmark, K., Shcherbak, I., Robertson, G. P., & Ortiz-Monasterio, I. (2018). Nitrous oxide (N2O) flux responds exponentially to nitrogen fertilizer in irrigated wheat in the Yaqui Valley, Mexico. Agriculture, Ecosystems and Environment, 261(April), 125–132. https://doi.org/10.1016/j.agee.2018.04.003","Agriculture, Ecosystems & Environment",2018,"Millar Neville,Urrea Abisaí,Kahmark Kevin,Shcherbak Iurii,Robertson G.Philip,Ortiz-Monasterio Ivan",1,1,"269_56","261","N/A","125-132","https://doi.org/10.1016/j.agee.2018.04.003","https://hdl.handle.net/10883/19498","A05-4012"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,366,"Emergency drills for agricultural drought response: A case study in Guatemala","Muller, A.; Mora, V.; Rojas, E.; Diaz, J.; Fuentes, O.; Grion, E.; Gayaan, A.; van Etten, J. (2018) Emergency drills for agricultural drought response: A case study in Guatemala. Disasters, On-line first: 05 December 2018. ISSN:0361-3666.","Disasters",2018,"Muller A.,Mora V.,Rojas E.,Diaz J.,Fuentes O,Grion E.,Gayaan A.,Etten J. van",1,1,"366_56","43","2","410-430","https://doi.org/10.1111/disa.12316","https://hdl.handle.net/10568/99311","366"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,477,"Climate smart agriculture, farm household typologies and food security An ex-ante assessment from Eastern India","Lopez-Ridaura, Santiago; Frelat, Romain; Van Wijk, Mark T.; Valbuena, Diego; Krupnik, Timothy J.; Jate, M.L. 2018. Climate smart agriculture, farm household typologies and food security An ex-ante assessment from Eastern India . Agricultural Systems 159: 57-68.","Agricultural Systems",2018,"López-Ridaura Santiago,Frelat Romain,Wijk Mark T. van,Valbuena Diego,Krupnik Timothy J.,Jate M.L.",1,1,"477_56","159","N/A","57-68","http://dx.doi.org/10.1016/j.agsy.2017.09.007","https://hdl.handle.net/10568/89276","477"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,763,"Index insurance and climate risk management: Addressing social equity","Fisher E, Hellin J, Greatrex H, Jensen N. 2018. Index insurance and climate risk management: Addressing social equity. Development Policy Review.","Development Policy Review",2018,"Fisher Eleanor,Hellin Jon,Greatrex Helen,Jensen Nathaniel D.",1,1,"763_56","37","5","581-602","https://doi.org/10.1111/dpr.12387","https://hdl.handle.net/10568/93075","A05-4047"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,806,"The contribution of sectoral climate change mitigation options to national targets: a quantitative assessment of dairy production in Kenya","Brandt P, Harold M, Rufino MC. 2018. The contribution of sectoral climate change mitigation options to national targets: a quantitative assessment of dairy production in Kenya. Environmental Research Letters 13:3."," Environmental Research Letters",2018,"Brandt Patric,Harold Martin,Rufino Mariana C.",1,1,"806_56","13","3","034016","https://doi.org/10.1088/1748-9326/aaac84","https://hdl.handle.net/10568/93147","A05-4041"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,940,"Institutional Perspectives of Climate-Smart Agriculture: A Systematic Literature Review","Totin E, Segnon AC, Schut M, Affognon H, Zougmore RB, Rosenstock T, Thornton PK. 2018. Institutional Perspectives of Climate-Smart Agriculture: A Systematic Literature Review. Sustainability 10(6):1990.","Sustainability",2018,"Totin Edmond,Segnon Alcade C,Schut Marc,Affognon Hippolyte D.,Zougmoré Robert B.,Rosenstock Todd,Thornton Philip K.",1,1,"940_56","10","6","1990","https://doi.org/10.3390/su10061990","https://hdl.handle.net/10568/93352","940"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,941,"Can scenario planning catalyse transformational change? Evaluating a climate change policy case study in Mali","Totin E, Butler JR, Sidibe A, Partey S, Thornton PK, Tabo R. 2018. Can scenario planning catalyse transformational change? Evaluating a climate change policy case study in Mali. Futures 96:44-56.","Futures",2018,"Totin Edmond,Butler James,Sidibe Amadou,Partey Samuel,Thornton Philip K.,Tabo Ramadjita",1,1,"941_56","96","1","44-56","https://doi.org/10.1016/j.futures.2017.11.005","https://hdl.handle.net/10568/89643","941"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,949,"How does institutional embeddedness shape innovation platforms? A diagnostic study of three districts in the Upper West Region of Ghana","Totin E,  Roncolic C, Traor?a PS, Somdad J, Zougmor?a R. 2017. How does institutional embeddedness shape innovation platforms? A diagnostic study of three districts in the Upper West Region of Ghana. NJAS - Wageningen Journal of Life Sciences.","NJAS - Wageningen Journal of Life Sciences",2018,"Totin Edmond,Roncoli Carla,Traoré Pierre Sibiry,Somda Jacques,Zougmoré Robert B.",1,1,"949_56","84","N/A","27-40","http://dx.doi.org/10.1016/j.njas.2017.07.002","http://hdl.handle.net/10568/89109","949"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1020,"Assessing yield and fertilizer response in heterogeneous smallholder fields with UAVs and satellites","Schut AGT, Traore PCS, Blaes Xavier, de By RA. 2018. Assessing yield and fertilizer response in heterogeneous smallholder fields with UAVs and satellites. Field Crops Research 221:98-107.","Field Crops Research",2018,"Schut Antonius G. T.,Traore Pierre C. Sibiry,Blaes Xavier,By Rolf A. de",1,1,"1020_56","221","N/A","98-107","https://doi.org/10.1016/j.fcr.2018.02.018","https://hdl.handle.net/10568/92841","1020"
