pk_id_sdg,version,date_from,date_to,"id",sdg_id,"sdg_short_name","sdg_name",sdg_target_id,"sdg_target_code","sdg_target_name",sdg_indicator_id,"sdg_indicator_unsd_code","sdg_indicator_codes","sdg_indicator_name",sub_ido_id,"sub_ido_code","sub_ido_description"
0,1,,,,,,,,,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"3_5",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",5,"C010401","1.4.1","Proportion of population living in households with access to basic services",3,"1.2.1","Improved access to financial and other services"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"13_5",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",5,"C010401","1.4.1","Proportion of population living in households with access to basic services",13,"1.4.5","Increased access to productive assets, including natural resources"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"36_5",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",5,"C010401","1.4.1","Proportion of population living in households with access to basic services",36,"B.1.1","Gender-equitable control of productive assets and resources"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"3_6",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",6,"C010402","1.4.2","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",3,"1.2.1","Improved access to financial and other services"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"13_6",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",6,"C010402","1.4.2","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",13,"1.4.5","Increased access to productive assets, including natural resources"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"36_6",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",4,"1.4","By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance",6,"C010402","1.4.2","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",36,"B.1.1","Gender-equitable control of productive assets and resources"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1_7",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",7,"C200303","1.5.1","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,"1.1.1","Increased household capacity to cope with shocks"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"2_7",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",7,"C200303","1.5.1","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2,"1.1.2","Reduced smallholders production risk"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"34_7",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",7,"C200303","1.5.1","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",34,"A.1.4","Enhanced capacity to deal with climatic risks and extremes (Mitigation and adaptation achieved)"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"42_7",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",7,"C200303","1.5.1","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",42,"C.1.4","Conducive environment for managing shocks and vulnerability, as evidenced in rapid response mechanisms"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1_8",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",8,"C010502","1.5.2","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)",1,"1.1.1","Increased household capacity to cope with shocks"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"2_8",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",8,"C010502","1.5.2","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)",2,"1.1.2","Reduced smallholders production risk"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"34_8",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",8,"C010502","1.5.2","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)",34,"A.1.4","Enhanced capacity to deal with climatic risks and extremes (Mitigation and adaptation achieved)"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"42_8",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",8,"C010502","1.5.2","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)",42,"C.1.4","Conducive environment for managing shocks and vulnerability, as evidenced in rapid response mechanisms"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1_9",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",9,"C200304","1.5.3","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030",1,"1.1.1","Increased household capacity to cope with shocks"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"2_9",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",9,"C200304","1.5.3","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030",2,"1.1.2","Reduced smallholders production risk"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"34_9",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",9,"C200304","1.5.3","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030",34,"A.1.4","Enhanced capacity to deal with climatic risks and extremes (Mitigation and adaptation achieved)"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"42_9",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",9,"C200304","1.5.3","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030",42,"C.1.4","Conducive environment for managing shocks and vulnerability, as evidenced in rapid response mechanisms"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"1_10",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",10,"C200305","1.5.4","Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies",1,"1.1.1","Increased household capacity to cope with shocks"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"2_10",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",10,"C200305","1.5.4","Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies",2,"1.1.2","Reduced smallholders production risk"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"34_10",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",10,"C200305","1.5.4","Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies",34,"A.1.4","Enhanced capacity to deal with climatic risks and extremes (Mitigation and adaptation achieved)"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,"42_10",1,"Goal 1: No Poverty","End poverty in all its forms everywhere",5,"1.5","By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters",10,"C200305","1.5.4","Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies",42,"C.1.4","Conducive environment for managing shocks and vulnerability, as evidenced in rapid response mechanisms"
