pk_id_srf_cases_info,version,date_from,date_to,id,"brief_summary","additional_contribution"
0,1,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"New evidence on adoption: The GIFT strain of improved tilapia (farmed fish), which continues to be genetically improved over time, has now been disseminated in 16 countries and there are high rates of adoption, with 53% of production in fish hatcheries in Bangladesh and 40% in the Philippines found to use GIFT or GIFT-derived tilapia strains. (Reported by FISH)",
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"New evidence on adoption: At least 69,540 households in Kenya had adopted CGIAR-informed agroforestry innovations. (Reported by FTA)",
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"New evidence on increased species conservation: On-farm crop diversity and fruit consumption and/or marketing increased for 160,000 households across Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. (Reported by FTA)",
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"Updated adoption data: The total area sown with CGIAR Brachiaria hybrids (forage grasses) increased by 103,000 ha in 23 countries in 2017 (monitoring data). Global acreage has nearly doubled since 2013 and is now estimated to be 829,000 ha in 30 countries. In a separate study of five Latin American countries, the total area planted with improved CGIAR Brachiaria varieties (including hybrids) was estimated to be about 3.9 million ha. (Reported by LIVESTOCK)",
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"Monitoring data for 2017: In Bangladesh and Nepal, 81,100 farmers (11% women) adopted improved rice varieties and/or management practices on 26,800 ha in 2017. (Reported by RICE)",
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"New evidence on adoption: 60% of the potato area in Peru (approximately 192,000 ha) is planted with improved varieties, and half of this (approximately 30% of the total potato area) is planted with varieties that were released by CGIAR with national partners. The new varieties showed an increase in yields in farmers’ fields of about 1 ton/ha, equivalent to an additional average annual profit of US$ 585 per farmer. (Reported by RTB)",
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"New evidence on adoption: An estimated 3.1 million farm households in Nigeria (66%, varying across regions) have adopted improved cassava varieties. (Reported by RTB/IITA).",
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"Monitoring data for 2017: 271,000 rural households (1.6 million individuals) in Ethiopia were provided with emergency seed of improved varieties, which they grew on 100,000 ha. (Reported by WHEAT)",
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"Updated adoption data: 79 CGIAR-derived winter wheat varieties, including those released between 2000 and 2017 by the Kazakhstan-Siberian Network on Wheat Improvement were grown on 130,000 ha. (Reported by WHEAT.)",
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"New evidence on adoption and impact: In Nigeria, about a quarter (24%) of sampled farmers had adopted drought tolerant maize varieties. Adoption on average reduced the level of downside risk of crop failure by 80% (this is critical for food insecure smallholders) and maize yields were also 13% higher compared to non-adoption. An estimated 2.1 million individuals were lifted out of poverty. A smaller study in southeast Zimbabwe estimated that 30% of farmers had adopted drought tolerant maize and that this provided extra income of US$ 240/ha or more than nine months of food at no additional seed cost. (Reported by MAIZE)",
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"New evidence on adoption and impact: Around 9.6 million households adopted improved rice varieties (including NERICA) in Africa between 2000 and 2014. The rate of adoption of these varieties increased over these years and was more significant after the 2008 food crisis. Average income from rice more than doubled for NERICA adopters, from US$ 25 per capita to US$ 58 per capita. An estimated 8 million people were lifted out of poverty. (Reported by RICE)",
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"New evidence on impact: Gains in cassava productivity in Nigeria are associated with reduced poverty. At a poverty line of US$ 1.25 per person per day and using national adoption estimates from DNA fingerprinting, cassava productivity gains were associated with a reduction in poverty by an estimated 4.7 percentage points, implying that 8.4% of Nigeria’s rural poor cassava producers (1.8 million people) escaped poverty in 2015/16. (Reported by RTB/IITA)",
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"New evidence on adoption and yields: A survey in western Bangladesh, checked with DNA fingerprinting, indicates that improved lentil varieties, developed by CGIAR and the Bangladesh Agricultural Research Institute, may have increased lentil production in Bangladesh by an estimated 52,600 tons per year (about 27%). Improved lentil varieties have almost completely replaced landraces: approximately 99% of the 150,000 ha of lentil area in the rice-lentil system are planted with varieties released after 1995, and 69% of the area with varieties released after 2005. Modeling showed that adoption of newer (post-2005) varieties was associated with average on-farm yield increases of 382 kg/ha (29%). (Reported by SPIA, for GLDC)",
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"New evidence on yields: A major review of the adoption of NERICA and other improved rice varieties in Africa (see above) reported positive and significant impacts of improved rice varieties on on-farm yields, with estimated impact ranging from 0.16 to 0.71 tons/ha. In many cases, yields and total factor productivity (TFP) gains were significantly higher for women rice farmers than for men (e.g. average TFP of rice farming increased by 38% for women and 25% for men in a study in Benin. However, there appeared to be a decreasing trend in the impact on yield observed over the years, estimated at 0.03 tons per ha per year. This is probably due to farmers saving their own poor-quality seed and not buying new certified seed. (Reported by RICE)",
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"New evidence on yields: Using DNA-fingerprinted adoption data suggests that improved varieties are associated with an 82% increase in cassava yields in Nigerian farmers’ fields. (Reported by RTB/IITA.)",
