pk_id_srf_cases_links,version,date_from,date_to,id,"link","link_name"
0,1,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"https://www.harvestplus.org/sites/default/files/publications/153613_HarvestPlus_AR_2018_Proof.pdf","Link1"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3328","Link1"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3334","Link2"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3321","Link3"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3331","Link4"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3337","Link5"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3318","Link6"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3319","Link7"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"https://www.harvestplus.org/sites/default/files/Biofortification_%20Evidence_Aug2018.pdf","Link1"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"https://www.dropbox.com/s/mpzhh5qrcc43e6m/2018%20Table%201_GHRPM_Methodology.docx?dl=0","Link1"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"https://www.dropbox.com/s/6dpmik5w62jxpq3/2018%20Table%201_HH_Reached_Methodology.docx?dl=0","Link2"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,"https://www.dropbox.com/sh/dvhx3r9585w4gpy/AAAWfaubXo7pwg55QJIK53J5a?dl=0","Link1"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,"https://www.dropbox.com/sh/0m8r1amlo5ye9of/AABaLHoX3YLAOXRkZ0bgl7Tva?dl=0","Link2"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,14,"https://mel.cgiar.org/projects/-15/127/adoption-estimates-of-improved-cassava-varieties-in-nine-countries-in-south-and-southeast-asia-indicate-that-27-million-hectares-are-grown-using-ciat-related-varieties","Link1"
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,15,"https://cgspace.cgiar.org/handle/10568/97927","Link1"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,"https://iwaponline.com/wp/article-abstract/20/4/692/39066/Improved-water-management-practices-and-their?redirectedFrom=fulltext","Link1"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,"https://iwaponline.com/wp/article-abstract/20/4/692/39066/Improved-water-management-practices-and-their?redirectedFrom=fulltext","Link1"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,18,"http://oar.icrisat.org/10626/","Link1"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,19,"https://onlinelibrary.wiley.com/doi/full/10.1111/1477-9552.12221","Link1"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,"https://link.springer.com/article/10.1007%2Fs12571-017-0759-y","Link1"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,"https://repository.cimmyt.org/bitstream/handle/10883/19532/59614.pdf?sequence=1&isAllowed=y","Link1"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3314","Link1"
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,23,"https://digitalarchive.worldfishcenter.org/handle/20.500.12348/3314","Link1"
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,"http://oar.icrisat.org/10626/","Link1"
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,"https://www.cgiar.org/happy-solution-clean-air-climate-smart-agriculture-india/","Link1"
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,"https://csisa.org/wp-content/uploads/sites/2/2018/01/CSISA-III-BD-NP-USAID-annual-report_2017_for-DEC.pdf","Link1"
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915736/","Link1"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"https://agresults.org/","Link2"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"https://www.worldfishcenter.org/pubs/Ecofish-Midterm-Performance-Evaluation-Report.pdf","Link1"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"https://www.sciencedirect.com/science/article/abs/pii/S2211912416300700","Link1"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"https://www.researchgate.net/publication/318895868_Measuring_the_impacts_of_adaptation_strategies_to_drought_stress_The_case_of_drought_tolerant_maize_varieties","Link1"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"https://www.researchgate.net/publication/319536834_Impact_of_adoption_of_drought-tolerant_maize_varieties_on_total_maize_production_in_south_Eastern_Zimbabwe","Link2"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"https://ispc.cgiar.org/sites/default/files/pdf/ispc_brief_63_lentils_0.pdf","Link1"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"https://cgspace.cgiar.org/handle/10568/83497","Link1"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"https://cgspace.cgiar.org/handle/10568/80706","Link1"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"http://old.worldagroforestry.org/downloads/Publications/PDFS/WP18033.pdf","Link1"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"https://ispc.cgiar.org/sites/default/files/pdf/ispc_technicalnote_cgiar_research_innovations_0.pdf","Link1"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"https://www.researchgate.net/publication/289501179_Technological_Advances_that_Led_to_Growth_of_Shrimp_Salmon_and_Tilapia_Farming","Link2"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"https://onlinelibrary.wiley.com/doi/abs/10.1111/agec.12358","Link1"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"https://onlinelibrary.wiley.com/doi/abs/10.1111/agec.12358","Link2"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"https://www.sciencedirect.com/science/article/abs/pii/S2211912416300700","Link1"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"https://cgspace.cgiar.org/handle/10568/80706","Link1"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,43,"https://www.researchgate.net/publication/313231968_Livelihood_implications_of_in_situ-on_farm_conservation_strategies_of_fruit_species_in_Uzbekistan","Link1"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,44,"https://www.researchgate.net/publication/315715301_Contribution_of_improved_rice_varieties_to_poverty_reduction_and_food_security_in_sub-Saharan_Africa","Link1"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,45,"https://cgspace.cgiar.org/handle/10568/80706","Link1"
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,46,"http://old.worldagroforestry.org/downloads/Publications/PDFS/WP18033.pdf","Link1"
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,47,"https://link.springer.com/article/10.1007%2Fs12571-017-0759-y","Link1"
