attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
1,0,0,0,1,0,74,1,6,1
12,0,1,0,6,0,23,1,6,2
4,0,0,0,6,0,265,1,6,3
3,0,0,0,4,0,59,1,6,4
20,0,1,0,13,1,60,1,6,5
3,0,0,0,4,0,160,1,6,6
11,0,0,0,18,0,86,1,6,7
1,0,0,0,1,0,72,1,6,8
1,0,0,0,1,0,133,1,6,9
11,0,2,0,0,0,34,1,6,10
0,0,0,0,0,0,0,1,6,11
0,0,0,0,0,0,0,1,6,12
0,0,0,0,0,0,0,1,6,13
0,0,0,0,0,0,0,1,6,14
15,0,1,0,10,0,74,1,6,15
14,0,0,2,13,0,295,1,6,16
49,0,1,0,65,2,155,1,6,17
52,3,2,0,20,0,78,1,6,18
11,0,1,0,6,1,76,1,6,19
31,1,2,0,10,1,145,1,6,20
41,0,2,1,34,1,94,1,6,21
10,0,0,1,11,1,287,1,6,22
6,0,0,1,5,1,118,1,6,23
0,0,0,0,0,0,0,1,6,24
13,0,1,0,8,0,32,1,6,25
0,0,0,0,0,0,0,1,6,26
2,0,0,0,2,0,24,1,6,27
4,0,0,1,1,0,106,1,6,28
1,0,0,0,1,0,24,1,6,29
3,0,0,0,4,0,86,1,6,30
50,3,4,0,13,0,45,1,6,31
0,0,0,0,0,0,0,1,6,32
4,0,0,1,1,0,69,1,6,33
8,0,1,0,1,0,72,1,6,34
1,0,0,0,2,0,140,1,6,35
22,2,0,0,7,0,74,1,6,36
2,0,0,0,3,0,475,1,6,37
17,0,1,1,9,1,143,1,6,38
16,0,1,0,7,1,36,1,6,39
45,1,4,0,24,0,90,1,6,40
34,3,0,1,11,1,175,1,6,41
8,0,0,0,7,0,23,1,6,42
2,0,0,0,4,0,80,1,6,43
8,0,1,0,2,0,94,1,6,44
1,0,0,0,1,0,49,1,6,45
35,3,1,0,6,0,62,1,6,46
2,0,0,0,4,0,22,1,6,47
7,0,0,1,7,0,103,1,6,48
0,0,0,0,0,0,0,1,6,49
1,0,0,0,1,0,73,1,6,50
1,0,0,0,1,0,73,1,6,51
20,0,2,0,6,0,146,1,6,52
3,0,0,0,4,0,60,1,6,53
0,0,0,0,0,0,0,1,6,54
2,0,0,0,3,0,71,1,6,55
14,1,0,0,7,0,125,1,6,56
5,0,0,0,7,0,126,1,6,57
2,0,0,0,3,0,15,1,6,58
0,0,0,0,0,0,0,1,6,59
1,0,0,0,1,0,15,1,6,60
2,0,0,0,2,0,24,1,6,61
27,0,2,0,16,1,110,1,6,62
12,0,1,0,8,0,36,1,6,63
3,0,0,0,5,0,38,1,6,64
0,0,0,0,0,0,0,1,6,65
0,0,0,0,0,0,0,1,6,66
28,0,1,1,30,1,97,1,6,67
12,0,1,0,2,1,43,1,6,68
619,12,8,0,669,14,107,1,6,69
17,0,2,0,7,0,43,1,6,70
3,0,0,0,5,0,31,1,6,71
1,0,0,0,1,0,75,1,6,72
1,0,0,0,1,0,29,1,6,73
28,0,1,1,21,0,101,1,6,74
108,0,1,0,146,1,84,1,6,75
14,0,1,0,9,0,192,1,6,76
42,2,1,1,17,0,72,1,6,77
4,0,0,1,1,0,4,1,6,78
0,0,0,0,0,0,0,1,6,79
6,0,1,0,0,0,8,1,6,80
4,0,0,0,8,0,90,1,6,81
1,0,0,0,1,0,0,1,6,82
20,0,2,2,2,0,36,1,6,83
26,0,1,0,30,1,101,1,6,84
61,4,2,1,15,1,146,1,6,85
1,0,0,0,1,0,82,1,6,86
40,1,0,0,45,1,256,1,6,87
0,0,0,0,0,0,0,1,6,88
4,0,0,0,6,0,42,1,6,89
6,0,1,0,0,0,17,1,6,90
4,0,0,0,8,0,26,1,6,91
4,0,0,0,5,0,155,1,6,92
9,0,0,0,15,1,19,1,6,93
12,1,0,0,3,0,130,1,6,94
5,0,0,0,7,0,119,1,6,95
4,0,0,0,6,0,50,1,6,96
4,0,0,0,7,0,101,1,6,97
1,0,0,0,1,0,89,1,6,98
6,0,0,0,10,0,80,1,6,99
32,3,0,1,5,0,87,1,6,100
978,59,13,3,588,8,154,1,6,101
3,0,0,0,5,0,150,1,6,102
14,1,0,0,7,0,170,1,6,103
204,6,1,3,189,0,211,1,6,104
52,1,1,0,45,1,211,1,6,105
27,1,2,0,9,1,58,1,6,106
0,0,0,0,0,0,0,1,6,107
8,0,0,0,11,0,188,1,6,108
17,0,1,0,18,3,70,1,6,109
0,0,0,0,0,0,0,1,6,110
3,0,0,0,5,0,38,1,6,111
1,0,0,0,2,0,4,1,6,112
11,0,1,0,7,0,32,1,6,113
13,0,0,2,8,0,85,1,6,114
0,0,0,0,0,0,0,1,6,115
10,0,0,1,11,0,93,1,6,116
6,0,0,2,0,0,137,1,6,117
21,0,1,1,16,0,109,1,6,118
2413,147,30,9,1487,13,1721,1,6,119
33,3,0,0,12,0,80,1,6,120
30,1,0,1,25,1,239,1,6,121
18,0,0,0,24,0,59,1,6,122
8,0,0,0,11,0,97,1,6,123
