fk_id_crp,fk_id_phases,fk_id_geo_scopes,fk_id_location,fk_general_status,fk_study_type,fk_melia_info
1,9,4,222,3,2,56
1,9,2,276,3,5,77
1,9,4,72,3,5,77
1,9,1,87,3,5,81
1,9,2,299,3,5,82
1,9,1,87,3,5,84
1,9,1,87,3,4,85
1,9,4,105,3,6,93
1,9,4,105,3,6,94
1,9,1,87,2,6,103
1,9,5,85,3,6,8
2,26,0,0,3,8,104
2,26,0,0,4,6,105
2,26,0,0,4,6,106
2,26,0,0,1,2,107
3,43,4,189,3,2,63
3,43,1,87,3,6,64
3,43,1,87,4,6,65
3,43,4,72,3,4,66
3,43,4,105,2,4,67
3,43,3,85,3,4,86
3,43,3,236,3,4,86
4,60,4,50,3,7,17
4,60,4,93,3,7,18
4,60,4,93,3,7,18
4,60,4,262,2,4,1
4,60,4,262,2,4,1
4,60,5,105,3,4,24
4,60,5,19,2,4,25
4,60,3,37,2,4,32
4,60,3,72,2,4,32
4,60,4,19,2,4,33
4,60,4,85,2,4,34
4,60,4,236,2,4,35
4,60,3,189,2,4,37
4,60,3,269,2,4,37
4,60,1,87,3,10,38
4,60,4,269,2,4,39
4,60,3,19,2,4,40
4,60,3,189,2,4,40
4,60,4,269,3,3,42
4,60,4,189,3,4,44
4,60,4,189,3,4,44
4,60,4,189,3,4,48
4,60,4,189,2,4,49
4,60,4,258,2,6,50
4,60,3,37,3,4,2
4,60,3,37,3,4,2
4,60,3,139,3,4,2
4,60,4,118,3,4,52
4,60,4,118,5,4,53
4,60,3,118,3,4,54
4,60,3,258,3,4,54
4,60,5,118,3,3,55
4,60,4,274,3,7,57
4,60,4,19,2,4,3
4,60,4,19,2,4,3
4,60,5,105,3,4,4
4,60,5,105,3,4,4
4,60,4,105,2,7,87
4,60,5,105,2,4,5
4,60,5,105,2,4,5
4,60,4,105,2,4,6
4,60,4,105,2,4,6
4,60,4,105,2,4,7
4,60,4,105,2,4,7
4,60,5,118,2,4,9
4,60,5,118,2,4,9
4,60,4,19,2,3,10
4,60,4,19,2,3,10
4,60,4,189,2,7,11
4,60,4,189,2,7,11
5,77,4,72,4,8,15
5,77,3,72,3,6,16
5,77,3,262,3,6,16
5,77,3,258,3,6,16
5,77,3,269,3,6,16
5,77,5,72,5,2,19
5,77,2,284,3,10,36
5,77,4,50,3,10,41
5,77,5,72,4,7,43
5,77,3,146,3,6,45
5,77,3,187,3,6,45
5,77,5,118,5,3,46
5,77,5,105,4,3,47
5,77,4,118,3,7,62
5,77,4,50,3,7,76
5,77,4,50,3,6,78
5,77,4,118,3,6,79
5,77,4,262,3,10,83
9,94,1,87,3,4,97
9,94,4,106,3,6,98
9,94,4,118,3,7,99
9,94,3,106,3,5,100
9,94,3,200,3,5,100
9,94,4,200,3,8,101
9,94,4,106,2,8,102
9,94,1,87,2,4,110
9,94,4,72,2,10,111
9,94,1,87,3,8,112
9,94,1,87,3,5,181
9,94,5,105,3,7,182
9,94,2,277,3,4,183
9,94,2,276,3,4,183
9,94,5,269,3,10,184
15,145,4,72,3,2,12
15,145,4,19,2,6,13
15,145,2,278,2,6,13
15,145,5,19,2,6,13
15,145,3,262,3,5,193
15,145,3,154,3,5,193
15,145,4,72,3,10,88
15,145,1,87,3,3,95
15,145,1,87,3,7,96
15,145,4,116,3,7,194
15,145,4,153,3,2,187
15,145,5,105,2,6,195
16,162,1,87,3,3,14
16,162,4,183,2,5,23
16,162,4,183,2,3,26
16,162,4,183,2,6,27
16,162,4,146,3,6,89
16,162,3,85,3,3,188
16,162,3,118,3,3,188
16,162,4,274,3,10,189
16,162,4,40,3,3,190
16,162,4,136,3,6,191
16,162,4,72,3,10,192
19,183,2,278,2,4,20
19,183,4,118,4,6,21
19,183,4,248,2,5,75
19,183,5,105,3,10,80
1,12,5,37,3,3,200
1,12,5,37,3,6,201
1,12,2,298,3,5,202
1,12,2,279,3,5,202
1,12,2,278,3,5,202
1,12,2,276,3,5,202
1,12,2,277,3,5,202
1,12,5,262,3,3,203
1,12,2,276,3,6,204
1,12,4,72,3,3,206
1,12,4,209,3,8,235
1,12,4,118,3,7,248
1,12,4,118,3,2,249
1,12,4,258,3,7,250
1,12,4,209,3,4,251
1,12,4,209,3,4,252
1,12,4,50,3,5,253
1,12,4,37,3,6,257
1,12,1,87,3,2,291
1,12,4,19,3,2,292
1,12,4,105,3,6,301
2,29,1,87,2,5,229
2,29,1,87,2,8,230
2,29,1,87,2,8,231
2,29,2,299,2,8,231
2,29,4,72,2,2,232
2,29,1,87,2,4,313
2,29,1,87,2,4,314
2,29,1,87,2,4,315
2,29,1,87,2,4,316
2,29,1,87,2,4,317
3,46,1,87,5,8,233
3,46,1,87,5,4,234
3,46,4,105,3,8,299
3,46,1,87,3,8,300
4,63,4,222,2,9,209
4,63,4,189,3,7,210
4,63,4,19,3,7,211
4,63,5,105,3,7,212
4,63,4,136,2,7,213
4,63,4,136,2,7,214
4,63,4,61,2,7,216
4,63,2,299,3,8,217
4,63,3,189,2,8,218
4,63,3,258,2,8,218
4,63,1,87,2,10,219
4,63,1,87,2,6,220
4,63,3,118,2,10,221
4,63,3,269,2,10,221
4,63,4,105,3,7,236
4,63,4,275,3,7,297
4,63,3,118,2,10,196
4,63,3,105,2,10,196
4,63,3,262,2,10,196
4,63,4,118,3,7,197
4,63,4,19,3,3,198
4,63,4,19,3,3,198
4,63,4,189,3,7,199
4,63,4,189,3,7,199
5,80,4,50,3,10,207
5,80,4,50,3,10,208
5,80,4,72,2,5,237
5,80,4,72,2,10,238
5,80,4,258,2,10,239
5,80,4,269,2,10,240
5,80,4,262,2,10,241
5,80,4,72,3,7,242
5,80,4,118,2,7,243
5,80,4,118,2,5,244
5,80,2,276,2,5,244
5,80,4,72,2,4,245
5,80,4,258,2,8,246
5,80,4,139,3,5,247
5,80,4,209,3,9,298
9,97,3,50,3,4,296
9,97,3,66,3,4,296
9,97,3,200,3,4,296
9,97,4,72,3,4,302
9,97,1,87,2,8,303
9,97,4,106,3,8,304
9,97,1,87,2,4,305
9,97,1,87,2,8,306
9,97,1,87,3,5,307
15,148,1,87,2,6,222
15,148,3,1,3,5,223
15,148,3,72,3,5,223
15,148,3,195,3,5,223
15,148,1,87,3,6,224
15,148,2,278,2,5,225
15,148,3,72,3,6,226
15,148,3,146,3,6,226
15,148,2,278,2,6,227
15,148,2,299,2,6,227
15,148,2,298,2,6,227
15,148,1,87,2,6,228
15,148,4,72,3,3,259
15,148,4,72,3,7,260
15,148,2,278,3,9,261
15,148,4,105,3,10,262
15,148,2,281,3,7,263
15,148,4,153,3,7,263
15,148,4,105,3,9,264
15,148,2,278,3,9,264
15,148,4,105,3,10,265
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,1,87,3,5,266
15,148,2,287,3,5,266
15,148,2,288,3,5,266
15,148,2,298,3,5,266
15,148,2,281,3,5,266
15,148,2,278,3,5,266
15,148,2,299,3,5,266
15,148,2,289,3,5,266
15,148,1,87,3,5,267
15,148,1,87,3,5,268
15,148,2,281,3,10,269
15,148,2,289,3,10,269
15,148,4,153,3,10,269
15,148,4,153,3,10,269
15,148,4,183,3,4,270
15,148,4,183,3,8,271
15,148,1,87,2,6,272
15,148,4,153,3,8,275
15,148,1,87,3,6,276
15,148,1,87,3,10,286
15,148,1,87,3,10,287
15,148,4,195,2,7,288
15,148,1,87,3,10,290
16,165,4,262,3,10,258
16,165,4,136,3,7,273
16,165,2,282,3,7,273
16,165,2,282,3,9,274
16,165,4,136,3,9,274
16,165,1,87,3,8,277
16,165,4,275,3,8,277
16,165,1,87,3,3,278
16,165,1,87,3,2,279
16,165,1,87,3,3,280
16,165,4,136,3,10,281
16,165,4,72,3,3,282
16,165,4,72,3,10,283
16,165,2,276,3,3,284
16,165,2,282,3,3,284
16,165,4,72,3,2,285
16,165,3,50,2,6,289
16,165,3,72,2,6,289
16,165,3,146,2,6,289
16,165,4,189,2,6,293
16,165,2,278,2,6,294
16,165,4,183,2,6,295
16,165,4,118,3,3,378
19,186,1,87,5,3,205
19,186,1,87,3,5,215
19,186,1,87,3,5,254
19,186,1,87,3,5,255
12,111,1,87,2,4,28
12,111,5,105,2,3,29
12,111,4,19,2,3,30
12,111,4,19,2,3,31
12,111,2,283,2,8,51
12,111,2,285,2,8,51
12,111,2,284,2,8,51
12,111,4,66,3,6,68
12,111,4,50,3,4,69
12,111,3,27,2,3,70
12,111,3,54,2,3,70
12,111,3,66,2,3,70
12,111,3,187,2,3,70
12,111,3,197,2,3,70
12,111,3,200,2,3,70
12,111,3,268,2,3,70
12,111,4,27,2,3,71
12,111,1,87,2,5,72
12,111,4,66,2,6,73
12,111,1,87,2,6,74
12,111,2,277,3,10,90
12,111,3,139,2,4,91
12,111,3,222,2,4,91
12,111,2,277,3,2,92
12,111,5,105,3,8,185
12,111,4,269,3,8,186
13,128,3,258,4,2,127
13,128,3,262,4,2,127
13,128,4,258,3,2,128
13,128,3,258,4,2,129
13,128,3,262,4,2,129
13,128,1,87,3,5,130
13,128,3,258,3,3,131
13,128,3,262,3,3,131
13,128,4,105,3,3,132
13,128,1,87,3,6,133
13,128,1,87,3,5,134
13,128,3,258,3,10,135
13,128,3,72,3,10,135
13,128,3,27,3,5,136
13,128,3,66,3,5,136
13,128,3,200,3,5,136
13,128,2,299,3,5,137
13,128,1,87,4,6,138
13,128,4,258,4,9,139
13,128,4,247,4,9,140
13,128,4,258,4,9,141
13,128,4,258,5,9,142
13,128,4,258,4,9,143
13,128,4,201,5,9,144
13,128,4,118,3,4,145
13,128,3,258,4,9,146
13,128,3,262,4,9,146
13,128,4,118,3,9,147
13,128,4,118,3,9,148
13,128,4,105,3,8,149
13,128,4,118,3,9,150
13,128,3,19,3,8,151
13,128,3,118,3,8,151
13,128,3,136,3,8,151
13,128,3,154,3,8,151
13,128,3,209,3,8,151
13,128,4,118,3,4,152
13,128,3,105,3,8,153
13,128,3,201,3,8,153
13,128,3,27,3,9,154
13,128,3,200,3,9,154
13,128,3,258,3,9,154
13,128,3,72,3,9,154
13,128,3,27,3,8,155
13,128,3,66,3,8,155
13,128,3,200,3,8,155
13,128,4,258,3,4,156
13,128,3,118,3,4,157
13,128,3,136,3,4,157
13,128,3,154,3,4,157
13,128,3,209,3,4,157
13,128,4,154,3,4,158
13,128,3,258,4,4,159
13,128,3,262,4,4,159
13,128,3,19,3,6,160
13,128,3,118,3,6,160
13,128,3,136,3,6,160
13,128,3,154,3,6,160
13,128,3,209,3,6,160
13,128,3,19,3,4,161
13,128,3,118,3,4,161
13,128,3,136,3,4,161
13,128,3,154,3,4,161
13,128,3,209,3,4,161
13,128,4,201,3,8,162
13,128,4,258,3,5,163
17,216,3,19,3,7,113
17,216,3,67,3,7,113
17,216,3,155,3,7,113
17,216,3,19,4,8,114
17,216,3,67,4,8,114
17,216,3,155,4,8,114
17,216,4,230,4,4,115
17,216,4,189,3,10,116
17,216,4,19,4,4,117
17,216,2,280,3,4,118
17,216,2,282,3,4,118
17,216,4,155,1,8,119
17,216,4,67,3,4,120
17,216,4,19,3,2,121
17,216,1,87,3,6,122
17,216,4,67,3,4,123
17,216,4,67,3,10,124
17,216,1,87,3,6,125
17,216,1,87,3,6,126
18,233,2,278,4,9,164
18,233,3,37,4,2,165
18,233,3,72,4,2,165
18,233,3,118,4,2,165
18,233,3,139,4,2,165
18,233,3,188,4,2,165
18,233,4,136,3,2,166
18,233,4,189,3,2,167
18,233,3,258,4,2,168
18,233,3,262,4,2,168
18,233,2,277,5,2,169
18,233,2,276,5,2,169
18,233,2,282,5,2,169
18,233,4,72,4,2,170
18,233,2,278,4,5,171
18,233,2,299,4,5,171
18,233,2,278,3,10,172
18,233,2,299,3,10,172
18,233,1,87,3,6,173
18,233,2,278,4,2,174
18,233,2,299,4,2,174
18,233,2,278,4,2,175
18,233,2,299,4,2,175
18,233,4,262,3,3,176
18,233,2,276,4,5,177
18,233,2,277,4,5,177
18,233,2,299,4,5,177
18,233,2,278,4,6,178
18,233,2,299,4,6,178
18,233,4,209,3,2,179
18,233,1,87,4,6,180
12,114,1,87,3,10,256
13,131,4,258,3,2,323
13,131,4,258,3,4,324
13,131,4,209,3,4,325
13,131,4,19,3,8,326
13,131,4,118,3,8,327
13,131,4,262,3,8,328
13,131,4,209,3,8,329
13,131,0,0,3,8,330
13,131,4,19,3,10,331
13,131,3,24,3,10,332
13,131,3,50,3,10,332
13,131,3,60,3,10,332
13,131,3,85,3,10,332
13,131,3,113,3,10,332
13,131,3,189,3,10,332
13,131,3,198,3,10,332
13,131,3,249,3,10,332
13,131,4,258,3,10,333
13,131,4,258,3,10,334
13,131,3,66,3,6,335
13,131,3,209,3,6,335
13,131,3,262,3,6,335
13,131,0,0,3,6,336
13,131,4,66,3,8,337
13,131,4,269,4,2,338
13,131,3,85,4,2,339
13,131,3,189,4,2,339
13,131,4,136,4,2,340
13,131,4,247,4,2,341
13,131,4,136,4,2,342
13,131,3,262,4,2,343
13,131,3,258,4,2,343
13,131,0,0,4,10,344
17,219,4,67,3,10,360
17,219,4,274,3,10,361
17,219,4,19,3,9,362
17,219,4,155,4,10,363
17,219,4,19,4,10,364
17,219,0,0,3,5,365
17,219,4,19,4,10,366
17,219,4,105,4,4,367
17,219,4,155,4,4,368
17,219,0,0,4,4,369
17,219,0,0,4,4,369
17,219,4,19,4,2,370
17,219,0,0,4,5,371
17,219,0,0,4,5,371
17,219,4,189,4,10,372
17,219,4,155,5,5,373
17,219,0,0,4,10,374
17,219,0,0,3,6,375
17,219,0,0,3,6,376
17,219,0,0,3,6,377
18,236,0,0,4,6,345
18,236,0,0,4,2,346
18,236,0,0,4,2,346
18,236,3,72,4,2,347
18,236,3,262,4,2,347
18,236,3,37,4,2,348
18,236,3,105,4,2,348
18,236,3,188,4,2,348
18,236,4,72,4,2,349
18,236,0,0,3,9,350
18,236,4,189,3,2,351
18,236,4,72,3,2,352
18,236,3,37,3,2,353
18,236,3,72,3,2,353
18,236,3,118,3,2,353
18,236,3,139,3,2,353
18,236,3,188,3,2,353
18,236,0,0,3,5,354
18,236,0,0,3,5,354
18,236,0,0,3,5,355
18,236,0,0,3,5,355
18,236,0,0,3,5,355
18,236,0,0,3,6,356
18,236,0,0,3,6,356
18,236,0,0,3,6,357
18,236,0,0,3,5,358
18,236,0,0,3,5,358
18,236,4,19,3,2,359
21,267,1,87,2,4,58
21,267,1,87,2,4,59
21,267,1,87,1,4,60
21,267,1,87,3,6,61
21,270,1,87,3,4,308
21,270,1,87,3,4,309
21,270,1,87,3,4,310
21,270,1,87,2,6,311
21,270,1,87,2,6,312
22,278,1,87,2,6,318
22,278,1,87,4,6,319
22,278,1,87,4,5,320
22,278,1,87,5,6,321
22,278,1,87,3,6,322
