fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stg_maturity,fk_id_stage_processes,fk_id_phases,fk_id_oics,fk_id_tag
18,0,0,3,0,236,998,1
18,0,0,2,0,236,997,1
18,0,0,2,0,236,996,1
18,0,0,2,0,236,974,1
18,0,0,3,0,236,845,1
18,0,0,2,0,236,793,1
18,0,0,2,0,236,792,2
18,0,0,2,0,236,791,1
17,0,0,1,0,219,1002,1
17,0,0,1,0,219,1001,1
17,0,0,1,0,219,979,1
17,0,0,1,0,219,978,1
17,0,0,1,0,219,977,1
17,0,0,1,0,219,976,1
17,0,0,1,0,219,975,1
17,0,0,2,0,219,790,1
17,0,0,1,0,219,789,1
17,0,0,1,0,219,788,2
17,0,0,3,0,219,787,1
17,0,0,2,0,219,786,1
17,0,0,2,0,219,785,1
17,0,0,1,0,219,784,1
17,0,0,1,0,219,783,1
17,0,0,1,0,219,782,1
17,0,0,2,0,219,781,1
17,0,0,2,0,219,780,1
13,0,0,1,0,131,1059,1
13,0,0,1,0,131,1000,1
13,0,0,2,0,131,999,1
13,0,0,2,0,131,995,1
13,0,0,3,0,131,994,1
13,0,0,1,0,131,993,1
13,0,0,1,0,131,992,1
13,0,0,3,0,131,991,1
13,0,0,2,0,131,990,1
13,0,0,1,0,131,989,1
13,0,0,1,0,131,988,1
13,0,0,2,0,131,987,1
13,0,0,1,0,131,986,1
13,0,0,1,0,131,985,1
13,0,0,1,0,131,984,1
13,0,0,2,0,131,983,1
13,0,0,1,0,131,982,1
13,0,0,1,0,131,981,1
13,0,0,1,0,131,980,1
13,0,0,1,0,131,779,1
13,0,0,1,0,131,778,1
12,0,0,3,0,114,830,1
12,0,0,3,0,114,828,1
12,0,0,2,0,114,825,1
12,0,0,1,0,114,823,1
12,0,0,1,0,114,731,1
12,0,0,2,0,114,725,1
12,0,0,2,0,114,724,2
12,0,0,3,0,114,722,2
18,0,0,3,0,233,683,1
18,0,0,2,0,233,682,2
18,0,0,3,0,233,681,1
18,0,0,1,0,233,680,1
18,0,0,3,0,233,679,1
18,0,0,1,0,233,678,1
18,0,0,2,0,230,293,1
18,0,0,3,0,230,292,1
18,0,0,3,0,230,291,1
18,0,0,3,0,230,290,1
18,0,0,1,0,230,289,1
18,0,0,1,0,230,288,1
18,0,0,1,0,230,287,1
18,0,0,2,0,230,286,1
18,0,0,1,0,230,285,1
17,0,0,2,0,216,676,1
17,0,0,1,0,216,675,1
17,0,0,1,0,216,674,2
17,0,0,3,0,216,673,1
17,0,0,2,0,216,672,1
17,0,0,2,0,216,671,1
17,0,0,1,0,216,670,1
17,0,0,1,0,216,669,1
17,0,0,2,0,216,668,1
17,0,0,1,0,216,667,1
17,0,0,2,0,216,666,1
17,0,0,2,0,216,665,1
17,0,0,1,0,216,664,1
17,0,0,2,0,216,663,1
17,0,0,1,0,216,662,1
17,0,0,2,0,216,661,1
17,0,0,2,0,216,660,1
17,0,0,2,0,216,659,1
17,0,0,1,0,216,658,1
17,0,0,1,0,213,284,2
17,0,0,1,0,213,283,1
17,0,0,1,0,213,282,1
13,0,0,1,0,128,653,1
13,0,0,1,0,128,652,1
13,0,0,2,0,128,651,1
13,0,0,1,0,128,650,1
13,0,0,1,0,128,649,1
13,0,0,2,0,128,648,2
13,0,0,1,0,128,647,1
13,0,0,3,0,128,646,1
13,0,0,2,0,125,281,1
13,0,0,2,0,125,280,2
13,0,0,1,0,125,279,1
13,0,0,3,0,125,278,1
13,0,0,3,0,125,277,1
13,0,0,3,0,125,276,1
12,0,0,1,0,111,696,1
12,0,0,1,0,111,508,1
12,0,0,3,0,111,505,1
12,0,0,1,0,111,496,1
12,0,0,3,0,111,481,1
12,0,0,2,0,111,480,1
12,0,0,3,0,111,472,1
12,0,0,2,0,111,435,1
12,0,0,1,0,111,434,1
12,0,0,1,0,111,429,1
12,0,0,1,0,111,427,3
12,0,0,1,0,111,424,1
12,0,0,2,0,111,423,2
12,0,0,2,0,111,421,1
12,0,0,1,0,111,420,1
12,0,0,1,0,111,419,1
12,0,0,1,0,111,418,1
12,0,0,1,0,111,417,1
12,0,0,1,0,111,416,1
12,0,0,2,0,111,415,1
12,0,0,2,0,111,404,1
12,0,0,3,0,111,403,2
12,0,0,2,0,111,402,1
12,0,0,2,0,111,400,2
12,0,0,3,0,108,248,1
12,0,0,2,0,108,230,1
12,0,0,2,0,108,228,1
12,0,0,2,0,108,227,1
12,0,0,2,0,108,221,1
12,0,0,2,0,108,220,1
12,0,0,1,0,108,214,1
12,0,0,2,0,108,212,1
20,0,0,1,0,202,897,1
19,0,0,1,0,186,839,1
19,0,0,2,0,186,824,1
19,0,0,1,0,186,816,1
16,0,0,1,0,165,911,1
16,0,0,1,0,165,910,1
16,0,0,2,0,165,908,1
16,0,0,2,0,165,907,1
16,0,0,1,0,165,904,1
16,0,0,1,0,165,896,1
16,0,0,2,0,165,880,1
16,0,0,1,0,165,760,1
16,0,0,2,0,165,720,1
15,0,0,2,0,148,906,1
15,0,0,1,0,148,901,1
15,0,0,3,0,148,900,1
15,0,0,1,0,148,899,1
15,0,0,1,0,148,893,1
15,0,0,2,0,148,878,1
15,0,0,1,0,148,877,1
15,0,0,1,0,148,844,1
15,0,0,2,0,148,843,1
9,0,0,2,0,97,963,1
9,0,0,2,0,97,951,1
9,0,0,2,0,97,950,1
9,0,0,1,0,97,949,1
9,0,0,1,0,97,948,1
9,0,0,2,0,97,947,1
9,0,0,1,0,97,946,1
9,0,0,2,0,97,921,1
9,0,0,2,0,97,914,1
9,0,0,1,0,97,869,1
5,0,0,1,0,80,841,1
5,0,0,2,0,80,774,2
4,0,0,1,0,63,933,1
4,0,0,1,0,63,932,1
4,0,0,1,0,63,931,1
4,0,0,1,0,63,923,1
4,0,0,1,0,63,922,1
4,0,0,1,0,63,916,1
4,0,0,1,0,63,915,1
4,0,0,1,0,63,723,2
3,0,0,3,0,46,939,1
3,0,0,1,0,46,937,1
3,0,0,1,0,46,909,1
3,0,0,1,0,46,886,1
3,0,0,1,0,46,857,1
3,0,0,2,0,46,856,1
3,0,0,2,0,46,852,1
3,0,0,1,0,46,851,1
3,0,0,1,0,46,850,1
3,0,0,1,0,46,849,1
3,0,0,2,0,46,848,1
3,0,0,2,0,46,833,1
3,0,0,2,0,46,728,1
3,0,0,1,0,46,727,1
2,0,0,1,0,29,942,1
2,0,0,2,0,29,941,1
2,0,0,1,0,29,938,1
2,0,0,2,0,29,936,1
2,0,0,1,0,29,935,1
2,0,0,1,0,29,934,1
2,0,0,1,0,29,930,1
2,0,0,2,0,29,929,1
2,0,0,1,0,29,928,1
2,0,0,1,0,29,927,1
2,0,0,2,0,29,926,1
2,0,0,1,0,29,925,1
2,0,0,1,0,29,905,1
2,0,0,1,0,29,898,1
2,0,0,1,0,29,861,1
2,0,0,1,0,29,853,1
