fk_id_crp,fk_id_phases,fk_id_publication_info,fk_id_ext_partner
1,6,501,108
1,6,501,1697
1,6,502,184
1,6,502,107
1,6,502,711
1,6,502,270
1,6,502,554
1,6,503,106
1,6,503,108
1,6,503,110
1,6,504,104
1,6,504,108
1,6,504,110
1,6,504,1650
1,6,504,1684
1,6,505,1631
1,6,505,115
1,6,505,1942
1,6,506,1631
1,6,506,105
1,6,506,1639
1,6,506,110
1,6,506,112
1,6,506,1718
1,6,506,118
1,6,506,2294
1,6,507,694
1,6,507,118
1,6,507,2294
1,6,508,11
1,6,508,118
1,6,508,1862
1,6,508,2294
1,6,509,1631
1,6,509,1724
1,6,509,118
1,6,509,2031
1,6,510,110
1,6,511,104
1,6,511,1642
1,6,511,1656
1,6,511,739
1,6,511,2695
1,6,512,104
1,6,512,1657
1,6,512,2230
1,6,513,951
1,6,513,108
1,6,513,1667
1,6,514,1631
1,6,514,1633
1,6,514,105
1,6,514,110
1,6,514,1008
1,6,514,739
1,6,514,2695
1,6,515,966
1,6,515,118
1,6,516,106
1,6,516,118
1,6,517,104
1,6,517,107
1,6,517,1673
1,6,517,1227
1,6,517,1805
1,6,517,1841
1,6,517,1876
1,6,517,2064
1,6,517,2572
1,6,518,106
1,6,518,1637
1,6,519,108
1,6,520,106
1,6,520,110
1,6,520,112
1,6,520,1684
1,6,520,93
1,6,520,1374
1,6,521,1688
1,6,521,1830
1,6,522,1731
1,6,523,697
1,6,523,1758
1,6,524,112
1,6,524,1826
1,6,525,1650
1,6,525,673
1,6,526,1631
1,6,526,1633
1,6,526,105
1,6,526,694
1,6,536,104
1,6,536,1657
1,6,536,1739
1,6,550,106
1,6,550,739
1,6,550,118
1,6,552,110
1,6,552,1734
1,6,555,118
1,6,556,110
1,6,556,1657
1,6,556,1663
1,6,556,1915
1,6,575,1650
1,6,575,1913
1,6,576,110
1,6,576,1888
1,6,578,105
1,6,578,108
1,6,578,110
1,6,578,1669
1,6,578,1689
1,6,578,730
1,6,578,1300
1,6,579,108
1,6,579,2689
1,6,580,951
1,6,580,108
1,6,580,1667
1,6,581,1631
1,6,581,107
1,6,581,110
1,6,581,1650
1,6,581,969
1,6,581,1661
1,6,581,699
1,6,581,1711
1,6,581,1969
1,6,581,2520
1,6,581,2311
1,6,582,110
1,6,582,1662
1,6,582,694
1,6,582,1698
1,6,583,105
1,6,583,106
1,6,583,110
1,6,583,115
1,6,583,1657
1,6,583,1942
1,6,583,2566
1,6,584,110
1,6,584,1657
1,6,584,1676
1,6,584,1915
1,6,585,105
1,6,585,112
1,6,585,739
1,6,585,1869
1,6,585,1599
1,6,586,945
1,6,586,105
1,6,586,112
1,6,586,739
1,6,587,105
1,6,587,112
1,6,587,739
1,6,588,112
1,6,588,1656
1,6,588,693
1,6,588,1008
1,6,588,739
1,6,588,2695
1,6,589,692
1,6,589,112
1,6,589,1663
1,6,589,1938
1,6,590,110
1,6,591,104
1,6,591,1657
1,6,591,694
1,6,591,1015
1,6,591,1826
1,6,592,1631
1,6,592,104
1,6,592,1656
1,6,593,104
1,6,593,951
1,6,593,108
1,6,593,1047
1,6,593,1856
1,6,594,951
1,6,594,108
1,6,595,951
1,6,595,108
1,6,600,945
1,6,600,110
1,6,600,1669
1,6,600,681
1,6,601,106
1,6,601,673
1,6,601,1789
1,6,602,1530
1,6,603,106
1,6,604,110
1,6,604,1746
1,6,604,1888
1,6,605,106
1,6,605,1789
1,6,606,106
1,6,606,1669
1,6,606,981
1,6,606,1785
1,6,610,104
1,6,610,1642
1,6,610,1656
1,6,610,739
1,6,610,2695
1,6,611,104
1,6,611,1826
1,6,612,104
1,6,612,1657
1,6,612,1739
1,6,613,110
1,6,613,2572
1,6,614,1867
1,6,614,2003
1,6,614,2572
1,6,615,0
1,6,616,111
1,6,616,1689
1,6,617,118
1,6,617,740
1,6,618,694
1,6,618,699
1,6,618,457
1,6,619,646
1,6,619,79
1,6,619,832
1,6,619,1830
1,6,621,1731
1,6,621,1830
1,6,621,2688
1,6,625,106
1,6,625,690
1,6,625,195
1,6,625,1676
1,6,626,106
1,6,626,195
1,6,626,1676
1,6,627,1631
1,6,627,112
1,6,627,115
1,6,628,0
1,6,629,106
1,6,630,106
1,6,630,711
1,6,631,108
1,6,631,110
1,6,631,113
1,6,632,0
1,6,633,108
1,6,633,116
1,6,634,108
1,6,634,959
1,6,634,1915
1,6,635,108
1,6,635,113
1,6,636,1631
1,6,636,1632
1,6,636,106
1,6,636,108
1,6,636,692
1,6,636,1660
1,6,636,1661
1,6,636,694
1,6,636,979
1,6,636,1676
1,6,636,1680
1,6,636,700
1,6,636,1697
1,6,636,1008
1,6,636,1725
1,6,636,1821
1,6,636,733
1,6,636,1915
1,6,636,766
1,6,636,1947
1,6,636,1197
1,6,636,2292
1,6,636,2695
1,6,636,2690
1,6,636,2684
1,6,636,2697
1,6,637,1631
1,6,637,106
1,6,637,108
1,6,637,692
1,6,637,1660
1,6,637,1661
1,6,637,694
1,6,637,1671
1,6,637,195
1,6,637,1676
1,6,637,1680
1,6,637,1697
1,6,637,1008
1,6,637,1725
1,6,637,1726
1,6,637,1821
1,6,637,1827
1,6,637,733
1,6,637,1904
1,6,637,766
1,6,637,1947
1,6,637,1197
1,6,637,2089
1,6,637,2292
1,6,637,2695
1,6,637,2690
1,6,637,2684
1,6,639,116
1,6,640,0
1,6,641,110
1,6,641,1652
1,6,641,694
1,6,642,1631
1,6,642,110
1,6,642,115
1,6,642,1682
1,6,642,1841
1,6,642,1843
1,6,642,859
1,6,642,1846
1,6,642,1953
1,6,642,2033
1,6,643,1631
1,6,643,110
1,6,643,694
1,6,643,699
1,6,644,104
1,6,644,1841
1,6,645,110
1,6,645,694
1,6,646,110
1,6,646,203
1,6,646,1758
1,6,646,1871
1,6,646,2032
1,6,649,104
1,6,649,106
1,6,649,107
1,6,649,111
