fk_id_crp,fk_id_phases,fk_id_gender,fk_id_training_term,quantity
1,6,1,1,337449.0
1,9,1,1,11480.0
1,12,1,1,9986.0
1,6,2,1,366418.0
1,9,2,1,12000.0
1,12,2,1,23635.0
1,6,1,2,321.0
1,9,1,2,5059.0
1,12,1,2,66.0
1,6,2,2,247.0
1,9,2,2,5090.0
1,12,2,2,86.0
1,6,1,4,18.0
1,9,1,4,23.0
1,12,1,4,35.0
1,6,2,4,18.0
1,9,2,4,16.0
1,12,2,4,62.0
2,23,1,1,3049.0
2,26,1,1,3516.0
2,29,1,1,9811.0
2,23,2,1,4976.0
2,26,2,1,6870.0
2,29,2,1,15255.0
2,23,1,2,6.0
2,26,1,2,20.0
2,29,1,2,53.0
2,23,2,2,4.0
2,26,2,2,8.0
2,29,2,2,35.0
2,23,1,4,5.0
2,26,1,4,10.0
2,29,1,4,8.0
2,23,2,4,8.0
2,26,2,4,5.0
2,29,2,4,6.0
3,40,1,1,426.0
3,43,1,1,3342.0
3,46,1,1,1920.0
3,40,2,1,2293.0
3,43,2,1,6046.0
3,46,2,1,2995.0
3,40,1,2,475.0
3,43,1,2,77.0
3,46,1,2,292.0
3,40,2,2,1233.0
3,43,2,2,167.0
3,46,2,2,470.0
3,40,1,4,1.0
3,43,1,4,6.0
3,46,1,4,3.0
3,40,2,4,3.0
3,43,2,4,7.0
3,46,2,4,6.0
4,57,1,1,1318.0
4,60,1,1,22331.0
4,63,1,1,248844.0
4,57,2,1,956.0
4,60,2,1,21975.0
4,63,2,1,217675.0
4,57,1,2,10.0
4,60,1,2,129.0
4,63,1,2,62.0
4,57,2,2,10.0
4,60,2,2,91.0
4,63,2,2,60.0
4,57,1,4,10.0
4,60,1,4,20.0
4,63,1,4,24.0
4,57,2,4,10.0
4,60,2,4,22.0
4,63,2,4,48.0
5,74,1,1,1020.0
5,77,1,1,4729.0
5,80,1,1,2314.0
5,74,2,1,1213.0
5,77,2,1,9209.0
5,80,2,1,5488.0
5,74,1,2,15.0
5,77,1,2,12.0
5,80,1,2,8012.0
5,74,2,2,20.0
5,77,2,2,20.0
5,80,2,2,15116.0
5,74,1,4,15.0
5,77,1,4,7.0
5,80,1,4,6.0
5,74,2,4,20.0
5,77,2,4,5.0
5,80,2,4,4.0
9,91,1,1,4514.0
9,94,1,1,7842.0
9,97,1,1,808.0
9,91,2,1,5627.0
9,94,2,1,6361.0
9,97,2,1,15619.0
9,91,1,2,140.0
9,94,1,2,45.0
9,97,1,2,300.0
9,91,2,2,153.0
9,94,2,2,39.0
9,97,2,2,555.0
9,91,1,4,15.0
9,94,1,4,24.0
9,97,1,4,33.0
9,91,2,4,13.0
9,94,2,4,23.0
9,97,2,4,58.0
12,108,1,1,26000.0
12,111,1,1,11994.0
12,114,1,1,19359.0
12,108,2,1,49000.0
12,111,2,1,23359.0
12,114,2,1,38235.0
12,108,1,2,59.0
12,111,1,2,224.0
12,114,1,2,120.0
12,108,2,2,87.0
12,111,2,2,243.0
12,114,2,2,147.0
12,108,1,4,59.0
12,111,1,4,61.0
12,114,1,4,48.0
12,108,2,4,87.0
12,111,2,4,71.0
12,114,2,4,61.0
13,125,1,1,33317.0
13,128,1,1,51287.0
13,131,1,1,33161.0
13,125,2,1,36576.0
13,128,2,1,41044.0
13,131,2,1,53222.0
13,125,1,2,110.0
13,128,1,2,130.0
13,131,1,2,44.0
13,125,2,2,132.0
13,128,2,2,123.0
13,131,2,2,119.0
13,125,1,4,48.0
13,128,1,4,59.0
13,131,1,4,22.0
13,125,2,4,58.0
13,128,2,4,36.0
13,131,2,4,58.0
15,142,1,1,2663.0
15,145,1,1,2793.0
15,148,1,1,2019.0
15,142,2,1,15305.0
15,145,2,1,10277.0
15,148,2,1,6462.0
15,142,1,2,105.0
15,145,1,2,784.0
15,148,1,2,50.0
15,142,2,2,54.0
15,145,2,2,2241.0
15,148,2,2,78.0
15,142,1,4,11.0
15,145,1,4,12.0
15,148,1,4,10.0
15,142,2,4,6.0
15,145,2,4,12.0
15,148,2,4,19.0
16,159,1,1,6562.0
16,162,1,1,3783.0
16,165,1,1,1072.0
16,159,2,1,14979.0
16,162,2,1,13740.0
16,165,2,1,4340.0
16,159,1,2,77.0
16,162,1,2,816.0
16,165,1,2,31.0
16,159,2,2,143.0
16,162,2,2,13795.0
16,165,2,2,51.0
16,159,1,4,35.0
16,162,1,4,21.0
16,165,1,4,6.0
16,159,2,4,52.0
16,162,2,4,37.0
16,165,2,4,13.0
19,180,1,1,169.0
19,183,1,1,106.0
19,186,1,1,10.0
19,180,2,1,356.0
19,183,2,1,157.0
19,186,2,1,58.0
19,180,1,2,164.0
19,183,1,2,1.0
19,186,1,2,0.0
19,180,2,2,211.0
19,183,2,2,11.0
19,186,2,2,0.0
19,180,1,4,0.0
19,183,1,4,0.0
19,186,1,4,0.0
19,180,2,4,0.0
19,183,2,4,1.0
19,186,2,4,0.0
20,196,1,1,35.0
20,199,1,1,73.0
20,202,1,1,20.0
20,196,2,1,207.0
20,199,2,1,201.0
20,202,2,1,18.0
20,196,1,2,0.0
20,199,1,2,0.0
20,202,1,2,0.0
20,196,2,2,0.0
20,199,2,2,0.0
20,202,2,2,0.0
20,196,1,4,0.0
20,199,1,4,0.0
20,202,1,4,0.0
20,196,2,4,0.0
20,199,2,4,0.0
20,202,2,4,0.0
21,264,1,1,181.0
21,267,1,1,2682.0
21,270,1,1,440.0
21,264,2,1,255.0
21,267,2,1,5952.0
21,270,2,1,684.0
21,264,1,2,0.0
21,267,1,2,0.0
21,270,1,2,1.0
21,264,2,2,0.0
21,267,2,2,0.0
21,270,2,2,1.0
21,264,1,4,0.0
21,267,1,4,0.0
21,270,1,4,1.0
21,264,2,4,0.0
21,267,2,4,0.0
21,270,2,4,1.0
17,213,1,1,67687.0
17,216,1,1,145441.0
17,219,1,1,267673.0
17,213,2,1,25270.0
17,216,2,1,32033.0
17,219,2,1,138431.0
17,213,1,2,12.0
17,216,1,2,13.0
17,219,1,2,13.0
17,213,2,2,7.0
17,216,2,2,12.0
17,219,2,2,13.0
17,213,1,4,12.0
17,216,1,4,6.0
17,219,1,4,16.0
17,213,2,4,6.0
17,216,2,4,6.0
17,219,2,4,11.0
18,230,1,1,2417.0
18,233,1,1,90045.0
18,236,1,1,13152.0
